organizator;inn_organizatora;inn_primechanie;predmet;summa;data_publikacii;data_konca_priema;status;tip_procedury;sekciya;reestrovyy_nomer;okpd2;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКУТСКАЯ НЕФТЯНАЯ КОМПАНИЯ""";;нет в словаре площадки;Реализация: Насосно-компрессорное оборудование (Насосы центробежные, Насосы герметичные);НМЦ не установлена;2025-05-20;2026-07-31;Приём заявок;Запрос предложений;sale/irkutskoil_sale;ПИ505241;;https://www.tektorg.ru/sale/procedures/13882921;компрессор+компрессорная+центробежный;нет;;
Акционерное общество «Томская генерация»;;нет в словаре площадки;"1155/УПЗ Насос центробежный для АО ""Томская генерация""";НМЦ не установлена;2026-07-27;2026-08-03;Приём заявок;Ценовой запрос;market;930309;28.13.14.110;https://www.tektorg.ru/market/procedures/19468770;центробежный;нет;;
"ООО ""РН-КОМСОМОЛЬСКИЙ НПЗ""";;нет в словаре площадки;Агрегат электронасосный центробежный (Конденсаторный насос КС-20-50-УХЛ4) (3498);НМЦ не установлена;2026-05-28;2026-08-04;Приём заявок;Запрос (Т)КП;rosnefttkp;РН60504656;28.13,28.13.14.110;https://www.tektorg.ru/rosneft/procedures/19167148;центробежный;нет;;
"ООО ""РН-КОМСОМОЛЬСКИЙ НПЗ""";;нет в словаре площадки;Агрегат электронасосный центробежный  (3495);НМЦ не установлена;2026-05-27;2026-08-04;Приём заявок;Запрос (Т)КП;rosnefttkp;РН60504410;28.13,28.13.14.110;https://www.tektorg.ru/rosneft/procedures/19163878;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКУТСКАЯ НЕФТЯНАЯ КОМПАНИЯ""";;нет в словаре площадки;Реализация Насосов центробежных, объемных, полупогружных, циркуляционных, вакуумных, герметичных;41870685.14 ₽;2026-02-17;2026-08-04;Приём заявок;Запрос предложений;sale/irkutskoil_sale;ПИ601010;;https://www.tektorg.ru/sale/procedures/17841440;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКУТСКАЯ НЕФТЯНАЯ КОМПАНИЯ""";;нет в словаре площадки;Насосы центробежные шламовые;1777194.74 ₽;2026-04-20;2026-08-04;Приём заявок;Запрос предложений;sale/irkutskoil_sale;ПИ604346;;https://www.tektorg.ru/sale/procedures/18860780;центробежный;нет;;
"ФИЛИАЛ ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ"" ""БАШНЕФТЬ - УНПЗ""";;нет в словаре площадки;Центробежные насосы;НМЦ не установлена;2026-07-22;2026-08-05;Приём заявок;Запрос (Т)КП;rosnefttkp;РН60704642;28.13.14.110;https://www.tektorg.ru/rosneft/procedures/19461333;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация нового насоса центробежного одноступенчатого консольного горизонтального 10КН 40-160М (ном. № 74143);НМЦ не установлена;2026-07-15;2026-08-07;Приём заявок;Запрос предложений;sale/vitrine;ПИ607262;;https://www.tektorg.ru/sale/procedures/19447287;центробежный;нет;;
РН-ВАНКОР;2465142996;;"Станция насосная подачи воды с гидроак., Клипса 20086, Клипса 20086, Шпилька 1.1/8"" UNC Х 210мм A193 B8 SFC и д.р.";1674876.44 ₽;2026-05-14;2026-08-07;Приём заявок;Запрос предложений;sale/vitrine;ПИ4111143;;https://www.tektorg.ru/sale/procedures/12667686;центробежный;нет;;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Самаранефтепродукт""";;нет в словаре площадки;Запрос предложений о приобретении актива - бывш. «Клявлинской нефтебазы» в составе 4 зданий общ. площадью 261,60 кв.м., с иным имуществом на арендуемом земельном участке площадью 27 859 кв.м., к.н. 63:21:0906028:51, земли населенных пунктов, для размещения производственной деятельности, координаты 54.264554 52.028398;НМЦ не установлена;2026-07-01;2026-08-12;Приём заявок;Запрос предложений;sale/vitrine;ПИ504043;;https://www.tektorg.ru/sale/procedures/13432179;центробежный;нет;;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Самаранефтепродукт""";;нет в словаре площадки;Продажа площадки бывш. «Клявлинской нефтебазы» в составе 4 зданий общ. площадью 261,60 кв.м., с иным имуществом на арендуемом земельном участке площадью 27 859 кв.м., к.н. 63:21:0906028:51, земли населенных пунктов, для размещения производственной деятельности, П-1 производственная зона, координаты 54.264554 52.028398;3336938.91 ₽;2026-07-01;2026-08-12;Приём заявок;Тендер с онлайн подачей ценовых предложений (на повышение);sale/vitrine;ПИ002389;;https://www.tektorg.ru/sale/procedures/341051;центробежный;нет;;
РН-ВАНКОР;2465142996;;Оборудование пожарное, ЗИП для техники и оборудования пожарного, огнетушитель;1153032.86 ₽;2026-01-26;2026-08-14;Приём заявок;Запрос предложений;sale/vitrine;ПИ410411;;https://www.tektorg.ru/sale/procedures/12440220;центробежный;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""ЦЕНТР ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ПОЖАРНОЙ БЕЗОПАСНОСТИ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ""";6315700776;;Насос пожарный центробежный;4178355 ₽;2026-03-31;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0342200042826000007;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/18682095;центробежный;нет;;
"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УЧЕБНО-ТРЕНИРОВОЧНЫЙ КОМПЛЕКС КРАСНОЯРСКОГО КРАЯ""";2466059966;;Насос химический центробежный;121151 ₽;2025-07-17;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0819200000925000005;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/15066753;центробежный;нет;;
"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УЧЕБНО-ТРЕНИРОВОЧНЫЙ КОМПЛЕКС КРАСНОЯРСКОГО КРАЯ""";2466059966;;Насос химический центробежный;121151 ₽;2025-07-10;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0819200000925000004;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/14860865;центробежный;нет;;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. ХАБАРОВСК)";2724139667;;Насос химический центробежный;560000 ₽;2025-03-26;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0322100002525000146;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/13353620;центробежный;нет;;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. ХАБАРОВСК)";2724139667;;Насос химический центробежный;560000 ₽;2025-03-24;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0322100002525000141;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/13350184;центробежный;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""СЛУЖБА ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ""";6315800989;;Насос химический центробежный;39700 ₽;2024-07-18;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0342200020824000075;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/11565523;центробежный;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""СЛУЖБА ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ""";6315800989;;Насос химический центробежный;39700 ₽;2024-07-10;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0342200020824000073;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/11497508;центробежный;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""СЛУЖБА ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ""";6315800989;;Насос химический центробежный;106300 ₽;2024-07-05;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0342200020824000072;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/11455223;центробежный;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""СЛУЖБА ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ""";6315800989;;Насос химический центробежный;106300 ₽;2024-07-04;;Архив;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;44fz;0342200020824000071;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/11441375;центробежный;нет;;
РН-ВАНКОР;2465142996;;Агрегат электронасосный центробежный скважинный для воды ЭЦВ8-40-60;971876.36 ₽;2026-06-30;2026-07-28;Работа комиссии;Запрос предложений;sale/vitrine;ПИ510008;;https://www.tektorg.ru/sale/procedures/16378729;центробежный;нет;;
АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА БЕЛОРЕЦКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;0256016289;;Поставка погружных скважинных насосов центробежного типа для нужд муниципального района Белорецкий район Республики Башкортостан;307345.34 ₽;2026-06-19;2026-06-29;Архив;Электронный аукцион;44fz;0101300045626000095;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/19217075;центробежный;нет;;
АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА БЕЛОРЕЦКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;0256016289;;Поставка погружного скважинного насоса центробежного типа для нужд муниципального района Белорецкий район Республики Башкортостан;157480.66 ₽;2026-06-03;2026-06-11;Архив;Электронный аукцион;44fz;0101300045626000076;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/19180249;центробежный;нет;;
"Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ""""";;нет в словаре площадки;Поставка насосов центробежных Н-1, Н-2 для участка МО и ДОС цеха №12 ПАО «Славнефть-ЯНОС»;НМЦ не установлена;2026-05-25;2026-06-08;Работа комиссии;Запрос предложений;zakupki;ЗП6052029;;https://www.tektorg.ru/223-fz/procedures/19157881;центробежный;нет;;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖНЕВАРТОВСКАВИА""";8603119138;;№42-ЭЗП/2026. Выполнение работ по капитальному ремонту  центробежного электроприводного насоса 463Б.;234977.33 ₽;2026-04-13;2026-04-23;Отменён;Запрос предложений;zakupki;ЗП6041215;30.30.60.190;https://www.tektorg.ru/223-fz/procedures/18845331;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛ5-ЭНЕРГО""";6671156423;;"Поставка насосных агрегатов центробежных в рамках проекта ""Модернизация очистных сооружений исходной воды теплофикационного комплекса филиала Среднеуральской ГРЭС ПАО ""ЭЛ5-Энерго"" """;2171450 ₽;2026-04-08;2026-04-20;Архив;Запрос цен;zakupki;ЗП604807;28.13.14.110;https://www.tektorg.ru/223-fz/procedures/18772872;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;224319/ОЗП Насосы сетевые центробежные для Уренгойской ГРЭС;3396763.64 ₽;2026-03-19;2026-04-10;Архив;Запрос предложений;interrao;ИР603651;28.13.14.110;https://www.tektorg.ru/inter_rao/procedures/18328419;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;224157_Центробежные насосы для филиала «ЮГРЭС-1» ООО «Каширская ГРЭС»;1550000 ₽;2026-03-12;2026-04-09;Архив;Конкурс;interrao;ИР603450;28.13.14.110;https://www.tektorg.ru/inter_rao/procedures/18309844;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСВЕННОСТЬЮ ""СТАВРОПОЛЬНЕФТЕГАЗ""";;нет в словаре площадки;Поставка центробежного насоса;НМЦ не установлена;2026-03-20;2026-04-03;Архив;Запрос цен;zakupki;ЗП6031956;28.13.14.110;https://www.tektorg.ru/223-fz/procedures/18399563;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;"223988 Приобретение вентилятора центробежного для БашРТС-Стерлитамак филиала ООО ""БашРТС""";5540931.6 ₽;2026-03-03;2026-03-24;Архив;Запрос предложений;interrao;ИР603151;28.25.20.112;https://www.tektorg.ru/inter_rao/procedures/17961245;центробежный;да;центробежный+газовая машина;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;224034_поставка «Насос центробежный ЦН 400» для нужд Верхнетагильской ГРЭС АО «Интер РАО – Электрогенерация»;8052366.16 ₽;2026-03-04;2026-03-17;Архив;Запрос предложений;interrao;ИР603185;28.13.14.110;https://www.tektorg.ru/inter_rao/procedures/18011386;центробежный;нет;;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;Выполнение дефектации и ремонта пожарного центробежного насоса Azcue CA 50/7A буксира «Пётр Негодов»;НМЦ не установлена;2026-01-20;2026-03-10;Архив;Ценовой запрос;market/rosmorport_kim;874419;33.15.10.000;https://www.tektorg.ru/market/procedures/17852663;центробежный;нет;;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;Запрос ценовой информации в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства,(ЗЦИ ДБФ ВУ МСП 23-26) для определения начальной (максимальной) цены договора на поставку насоса центробежного вертикального – НЦВ 25/30 охлаждающего назначения для г/с «Невская» Восточного управления Дальневосточного бассейнового филиала ФГУП «Росморпорт».;НМЦ не установлена;2026-02-27;2026-03-10;Архив;Запрос предоставления ценовой информации;zakupki/rosmorport_zakupki;ЗП6022591;28.13.14.110;https://www.tektorg.ru/223-fz/procedures/17951902;центробежный;нет;;
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК ЧЕЛЯБИНСКОЙ ОБЛАСТИ""";7451402146;;Поставка насосов центробежных консольных для воды;1426000 ₽;2026-02-26;2026-03-06;Архив;Электронный аукцион;44fz;0869200000226001274;28.13.14.110;https://www.tektorg.ru/44-fz/procedures/17948680;центробежный;нет;;
"Акционерное общество ""Нижневартовская ГРЭС""";8620018330;;Насосы центробежные с запасными частями к ним для Нижневартовской ГРЭС;405008 ₽;2026-02-19;2026-03-02;Отменён;Ценовой запрос;market;885673;28.13.14.110;https://www.tektorg.ru/market/procedures/17932089;центробежный;нет;;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОЯРСКНЕФТЕПРОДУКТ""";2460002949;;Поставка электронасоса центрабежного К 200-125-250Е;НМЦ не установлена;2026-02-16;2026-03-02;Архив;Запрос предоставления ценовой информации;zakupki;ЗП6021430;;https://www.tektorg.ru/223-fz/procedures/17917763;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;223348_Запасные части центробежных консольных насосов цеха ПГУ Южноуральской ГРЭС;750600 ₽;2026-02-06;2026-02-18;Архив;Запрос предложений;interrao;ИР602490;28.14.20.390;https://www.tektorg.ru/inter_rao/procedures/17895597;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;223060_поставка «Центробежные одноступенчатые насосы» для нужд филиала «Пермская ГРЭС» АО «Интер РАО – Электрогенерация»;1115901.94 ₽;2026-02-03;2026-02-13;Архив;Запрос предложений;interrao;ИР602185;28.13.14.110;https://www.tektorg.ru/inter_rao/procedures/17885408;центробежный;нет;;
РН-ВАНКОР;2465142996;;Электронасос центробежный для загрязненных вод SEV.80.80.110.2.51D p/n 96047877 Grundfos;1845067.2 ₽;2025-07-21;2026-02-12;Отменён;Запрос предложений;sale/vitrine;ПИ412392;;https://www.tektorg.ru/sale/procedures/12945252;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;"222465_Поставка агрегатов электронасосных центробежных типа АР для Стерлитамакской ТЭЦ филиала ООО ""БГК""";1012649.82 ₽;2026-01-22;2026-02-11;Архив;Конкурс;interrao;ИР601975;28.13.14.110;https://www.tektorg.ru/inter_rao/procedures/17860738;центробежный;нет;;
"ЗФ ПАО «ГМК «Норильский никель""";8401005730;;163913. Ремонт механической части компрессора центробежного К-525 агрегаты № 1, 2, 3, 4 рудника «Скалистый» ЗФ;10243076 ₽;2026-02-02;2026-02-06;Архив;Редукцион;nornikel/nornikel;20053453/2;33.12.29.900;;компрессор+центробежный;да;центробежный+газовая машина;
"Филиал ""Костромская ГРЭС"" Акционерного общества ""Интер РАО – Электрогенерация""";7704784450;;Насос центробежный для Ивановских ПГУ;158110.66 ₽;2026-01-22;2026-01-29;Архив;Ценовой запрос (с закрытыми ценами);market;875301;28.13.14.110;https://www.tektorg.ru/market/procedures/17860882;центробежный;нет;;
"ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЕКАТЕРИНБУРГСКИЙ МЕТРОПОЛИТЕН""";6608002436;;Поставка насоса химического центробежного Х 100-65-200 КСД У2;195600 ₽;2025-12-23;2026-01-15;Архив;Аукцион;zakupki;ЗП5122336;28.13.14.110;https://www.tektorg.ru/223-fz/procedures/17160842;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;221634/ОЗП Запасные части к насосам центробежным для АО ТГК-11;6432981.6 ₽;2025-12-17;2026-01-14;Архив;Запрос предложений;interrao;ИР512458;28.13.31.120;https://www.tektorg.ru/inter_rao/procedures/16991402;центробежный;нет;;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖНЕВАРТОВСКАВИА""";8603119138;;№158-ЭЗП/2025. Выполнение работ по капитальному ремонту насосов топливных центробежных электроприводных ЭЦН-75Б.;243192 ₽;2025-12-09;2025-12-19;Архив;Запрос предложений;zakupki;ЗП5121015;30.30.60.190;https://www.tektorg.ru/223-fz/procedures/16783111;центробежный;нет;;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";;нет в словаре площадки;221363_поставка «Насосы центробежные» для нужд филиала «Уренгойская ГРЭС» АО «Интер РАО – Электрогенерация»;2292569.02 ₽;2025-11-28;2025-12-17;Архив;Запрос предложений;interrao;ИР511743;28.13.14.110;https://www.tektorg.ru/inter_rao/procedures/16735620;центробежный;нет;;
"Общество с ограниченной ответственностью ""Башнефть-Добыча""";0277106840;;СТАНОК ТОКАРНО-ВИНТОРЕЗНЫЙ б/у, СТАНОК ШЛИФОВАЛЬНЫЙ б/у, ПОДЪЕМНИК ГАРАЖНЫЙ П-238 б/у, Вентилятор центробежный FUK-3000/SR б/у, Установка для резки кернов б/у, Шлагбаум CAME G 60000 б/у, ТЕЛЕЖКА-ВЫПРЯМИТЕЛЬ б/у;522575 ₽;2025-11-25;2025-12-15;Архив;Запрос предложений;sale;ПИ510084;;https://www.tektorg.ru/sale/procedures/16386121;центробежный;нет;центробежный+газовая машина;ручной инструмент
АО «Кольская ГМК»;5191431170;;Оказание транспортных услуг колесным трактором с дополнительным навесным оборудованием (механизм отбора мощности (ВОМ), фронтальный  отвал и центробежный насос), с машинистом по управлению для проведения строительно-монтажных и ремонтных работ на объектах АО «Кольская ГМК», в соответствии с техническим заданием № 25 ОА ТУ;НМЦ не установлена;2025-10-21;2025-12-11;Архив;Редукцион;nornikel/nornikel;20050245/2;49.41;;центробежный;нет;;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;;Поставка центробежного насоса для двигателя 6Д30/50-4;НМЦ не установлена;2025-12-01;2025-12-05;Отменён;Ценовой запрос;market/rosmorport_kim;863824;28.13.14.110;https://www.tektorg.ru/market/procedures/16740206;центробежный;нет;;
