inn;predpriyatie;company_id;procedure_id;nomer;predmet;vid;sekciya;summa;data;stadiya;ssylka
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;740464;ГП217821;"Открытый аукцион в электронной форме по реализации невостребованных МТР. Собственник: ООО ""Газпром добыча Оренбург"".";закупка;ЭТП Торги;568512418.44;2022-05-17;completed;https://etpgpb.ru/procedure/tender/etp/635340-otkrytyy-auktsion-v-elektronnoy-forme-po-realizatsii-nevostrebovannyh-mtr-sobstvennik-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742261;32211395929;Выполнение работ по капитальному ремонту объектов ж/д инфраструктуры для нужд ООО «Газпром добыча Оренбург» в 2022 году (0026/22/5.3/0048660/ДОренбург/К/ГОС/Э/19.05.2022);закупка;Закупки ГК «Газпром»;2826568.8;2022-05-19;completed;https://etpgpb.ru/procedure/tender/gaz/182288-vypolnenie-rabot-po-kapitalnomu-remontu-obektov-zh-d-infrastruktury-dlya-nuzhd-ooo-gazprom-dobycha-orenburg-v-2022-godu-0026-22-5-3
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742412;305078;Поставка ЗИП к газоанализаторам;закупка;Торговый портал;238735.96;2022-05-19;completed;https://etpgpb.ru/procedure/tender/price_request/305078-postavka-zip-k-gazoanalizatoram/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742537;304999;Поставка гербицида;закупка;Торговый портал;1197900.0;2022-05-19;completed;https://etpgpb.ru/procedure/tender/price_request/304999-postavka-gerbitsida/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742618;304728;Поставка счетчика газа;закупка;Торговый портал;753600.0;2022-05-19;completed;https://etpgpb.ru/procedure/tender/price_request/304728-postavka-schetchika-gaza/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742964;305022;Поставка приборов для измерения или контроля;закупка;Торговый портал;131215.92;2022-05-20;completed;https://etpgpb.ru/procedure/tender/price_request/305022-postavka-priborov-dlya-izmereniya-ili-kontrolya/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742965;301436;поставка колец уплотнительных для НКО;закупка;Торговый портал;662256.0;2022-05-20;completed;https://etpgpb.ru/procedure/tender/price_request/301436-postavka-kolets-uplotnitelnyh-dlya-nko/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742966;306252;Поставка кабельно проводниковых изделий;закупка;Торговый портал;;2022-05-20;completed;https://etpgpb.ru/procedure/tender/price_request/306252-postavka-kabelno-provodnikovyh-izdeliy/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742967;301428;поставка колец пары трения для НКО;закупка;Торговый портал;688224.0;2022-05-20;completed;https://etpgpb.ru/procedure/tender/price_request/301428-postavka-kolets-pary-treniya-dlya-nko/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;742968;301360;поставка вкладышей подшипника для НКО;закупка;Торговый портал;1178640.0;2022-05-20;completed;https://etpgpb.ru/procedure/tender/price_request/301360-postavka-vkladyshey-podshipnika-dlya-nko/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;743036;ГП229587;"Публичное предложение в электронной форме по реализации невостребованных МТР. Собственник: ООО ""Газпром добыча Оренбург"".";закупка;ЭТП Торги;20242390.91;2022-05-20;completed;https://etpgpb.ru/procedure/tender/etp/636921-publichnoe-predlozhenie-v-elektronnoy-forme-po-realizatsii-nevostrebovannyh-mtr-sobstvennik-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;744200;305816;Поставка ламината;закупка;Торговый портал;903442.8;2022-05-23;completed;https://etpgpb.ru/procedure/tender/price_request/305816-postavka-laminata/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;744210;306915;Поставка ячеек электрохимических и комплектующих;закупка;Торговый портал;920878.66;2022-05-23;completed;https://etpgpb.ru/procedure/tender/price_request/306915-postavka-yacheek-elektrohimicheskih-i-komplektuyuschih/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;744279;297414;Поставка полиграфической продукции;закупка;Торговый портал;1189198.31;2022-05-23;completed;https://etpgpb.ru/procedure/tender/price_request/297414-postavka-poligraficheskoy-produktsii/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;744280;307145;Поставка сенсора для газоанализатора GasAlert Max XTII;закупка;Торговый портал;1199520.0;2022-05-23;completed;https://etpgpb.ru/procedure/tender/price_request/307145-postavka-sensora-dlya-gazoanalizatora-gasalert-max-xtii/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;744282;306931;Поставка сенсоров электрохимичексих и прочих МТР;закупка;Торговый портал;696785.32;2022-05-23;completed;https://etpgpb.ru/procedure/tender/price_request/306931-postavka-sensorov-elektrohimicheksih-i-prochih-mtr/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;744555;304951;Поставка электротехнических МТР ;закупка;Торговый портал;235509.52;2022-05-23;completed;https://etpgpb.ru/procedure/tender/price_request/304951-postavka-elektrotehnicheskih-mtr/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;746340;310369;Поставка Днища Д I 720x22;закупка;Торговый портал;445387.2;2022-05-25;completed;https://etpgpb.ru/procedure/tender/price_request/310369-postavka-dnischa-d-i-720x22/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;746817;32211415467;Поставка лабораторных химических материалов для нужд Компаний Группы Газпром (№ 0001/22/СЗ/0000001592);закупка;Закупки ГК «Газпром»;433816993.71;2022-05-25;completed;https://etpgpb.ru/procedure/tender/gaz/182702-postavka-laboratornyh-himicheskih-materialov-dlya-nuzhd-kompaniy-gruppy-gazprom-0001-22-sz-0000001592/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;746913;309269; поставка Микрозима ТМ Петро Трит ТМ;закупка;Торговый портал;1169756.4;2022-05-26;completed;https://etpgpb.ru/procedure/tender/price_request/309269-postavka-mikrozima-tm-petro-trit-tm/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;747171;308861;Поставка отвода ОГ 12°-720 для сред H2S;закупка;Торговый портал;553400.4;2022-05-26;completed;https://etpgpb.ru/procedure/tender/price_request/308861-postavka-otvoda-og-12-gradusov-720-dlya-sred-h2s/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;747172;308957;Поставка тройника ТШС 720x22-К50-168x12-К48 для сред Н2S;закупка;Торговый портал;1085928.0;2022-05-26;completed;https://etpgpb.ru/procedure/tender/price_request/308957-postavka-troynika-tshs-720x22-k50-168x12-k48-dlya-sred-n2s/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;747173;308758;Поставка электродвигателей ;закупка;Торговый портал;1114000.44;2022-05-26;completed;https://etpgpb.ru/procedure/tender/price_request/308758-postavka-elektrodvigateley/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;747174;307574;Поставка сенсоров для газоанализаторов;закупка;Торговый портал;1012647.84;2022-05-26;completed;https://etpgpb.ru/procedure/tender/price_request/307574-postavka-sensorov-dlya-gazoanalizatorov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;747204;307190;Галит;закупка;Торговый портал;;2022-05-26;completed;https://etpgpb.ru/procedure/tender/price_request/307190-galit/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;749283;303647;Поставка накопителей;закупка;Торговый портал;273600.0;2022-05-30;completed;https://etpgpb.ru/procedure/tender/price_request/303647-postavka-nakopiteley/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;749284;311854;Поставка картриджей к фильтрам для воды;закупка;Торговый портал;640557.6;2022-05-30;completed;https://etpgpb.ru/procedure/tender/price_request/311854-postavka-kartridzhey-k-filtram-dlya-vody/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;750949;313150;Поставка сенсоров;закупка;Торговый портал;1199982.86;2022-05-31;completed;https://etpgpb.ru/procedure/tender/price_request/313150-postavka-sensorov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;752230;315849;Поставка Микрозима ТМ Петро Трим ТМ-2;закупка;Торговый портал;1169756.4;2022-06-02;completed;https://etpgpb.ru/procedure/tender/price_request/315849-postavka-mikrozima-tm-petro-trim-tm-2/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;752232;315098;Поставка полиуретановых изделий;закупка;Торговый портал;1161023.68;2022-06-02;completed;https://etpgpb.ru/procedure/tender/price_request/315098-postavka-poliuretanovyh-izdeliy/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;753839;32211446135;"Поставка металлопроката для нужд ООО ""Газпром добыча Оренбург"" 0026/22/4.2/0055347/ДОренбург/К/ГОС/Э/06.06.2022";закупка;Закупки ГК «Газпром»;1062600.0;2022-06-06;completed;https://etpgpb.ru/procedure/tender/gaz/183143-postavka-metalloprokata-dlya-nuzhd-ooo-gazprom-dobycha-orenburg-0026-22-4-2-0055347-dorenburg-k-gos-e-06-06-2022/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;754820;311991;Поставка хозяйственного инвентаря;закупка;Торговый портал;724779.4;2022-06-07;completed;https://etpgpb.ru/procedure/tender/price_request/311991-postavka-hozyaystvennogo-inventarya/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;754821;313801;Поставка счетчика газа;закупка;Торговый портал;753600.0;2022-06-07;completed;https://etpgpb.ru/procedure/tender/price_request/313801-postavka-schetchika-gaza/
