nomer_stroki;model;strana;zakazchik_i_obekt;zakazchik;god_postavki;hvost_stroki;istochnik;data_sbora
506;Н-220-21-1;Россия;Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетического каучука;Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетического каучука;1963;Химическая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
507;Н-280-12-4;Россия;Государственный производственный комитет по Государственный производственный комитет по газовой промышленности СССР;Государственный производственный комитет по;1963;Газовая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
508;Н-360-22-1;Украина;Азот Азот;Азот;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
509;Н-360-22-1;Россия;Киришский газо-бензиновый завод Киришский газо-бензиновый завод;Киришский газо-бензиновый завод;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
510;Н-360-22-1;Украина;Константиновский ХЗ Константиновский ХЗ;Константиновский ХЗ;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
511;Н-360-22-1;Украина;Лисичанский ХК Лисичанский ХК;Лисичанский ХК;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
512;Н-360-22-1;Россия;Уфимский ХЗ Уфимский ХЗ;Уфимский ХЗ;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
513;Н-900-31-1;Россия;Средне-Уральский медосплав. завод Среднеуральский медеплавильный завод;Средне-Уральский медосплав. завод Среднеуральский медеплавильный завод;1963;3,5 880 1 0,28 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
514;Н-900-31-1;Россия;Челябинский МК Челябинский МК;Челябинский МК;1963;3,5 880 1 0,28 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
515;К-1500-61-2;Россия;Магнитогорский МК Магнитогорский МК;Магнитогорский МК;1963;8,5 1558 3 0,74 0,96 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
516;К-1500-62-1;Болгария;Кремиковцы МК Кремиковцы МК;Кремиковцы МК;1963;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
517;Н-360-22-2;Армения;Алавердский медно-хим. комбинат Алавердский медно-химический комбинат;Алавердский медно-хим. комбинат Алавердский медно-химический комбинат;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
518;Н-360-22-2;Литва;Азот Азот;Азот;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
519;Н-360-22-2;Украина;Бердянский нефтемаслозавод Бердянский нефтемаслозавод;Бердянский нефтемаслозавод;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
520;Н-360-22-2;Россия;Дорогобужский ЗАУ Дорогобужский ЗАУ;Дорогобужский ЗАУ;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
521;Н-360-22-2;Украина;Львовские очистит.сооруж. Львовские очистит.сооруж.;Львовские очистит.сооруж.;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
522;Н-360-22-2;Россия;Мосводоканал Мосводоканал;Мосводоканал;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
523;Н-360-22-2;Россия;Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетич.каучука;Стерлитомакский завод синтетич.каучука;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
524;К-1500-62-1;Россия;Череповецкий МК Череповецкий МК;Череповецкий МК;1963;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
525;К-1500-62-2;Украина;Алчевский МК Алчевский МК;Алчевский МК;1963;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
526;К-1500-62-2;Украина;Криворожский МЗ Криворожский МЗ;Криворожский МЗ;1963;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
527;Н-370-12-2;Россия;Государственный производственный комитет по Государственный производственный комитет по газовой промышленности СССР;Государственный производственный комитет по;1963;6 370 1 5,49 3,73 Газовая турбина Газовая природный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
528;Н-45-21-1;Азербайджан;Сумгаитский ХК Сумгаитский ХК;Сумгаитский ХК;1963;0,8 45,5 1 1,86 1,00 Электродвигатель Химическая пропилен;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
529;К-1500-62-2;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1963;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
530;К-1500-62-2;Румыния;1;1;1963;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
531;К-3000-61-1;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1963;20,5 3200 3 0,65 0,10 Паровая турбина Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
532;К-3000-61-1;Польша;Хута им.Сендземира Хута им.Сендземира;Хута им.Сендземира;1963;20,5 3200 3 0,65 0,10 Паровая турбина Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
533;К-5500-41-1;Россия;Западно-Сибирский МК Западно-Сибирский МК;Западно-Сибирский МК;1963;22 5500 2 0,51 0,10 Паровая турбина Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
534;К-5500-41-1;Украина;Криворожский МЗ Криворожский МЗ;Криворожский МЗ;1963;22 5500 2 0,51 0,10 Паровая турбина Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
535;Н-360-22-2;Россия;Орловский метизно- металлург.завод Орловский метизно-металлургический завод;Орловский метизно- металлург.завод Орловский метизно-металлургический завод;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
536;Н-360-22-2;Россия;Уфалейский никелевый завод Уфалейский никелевый завод;Уфалейский никелевый завод;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
537;Н-360-22-2;Россия;Шебекинский завод СЖК Шебекинский завод СЖК;Шебекинский завод СЖК;1963;не менее 0.4 230 1 0,17 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
538;Н-360-22-1;Украина;Азовсталь Азовсталь;Азовсталь;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
539;Н-360-22-1;Россия;Ефремовский завод стальных конструкций Ефремовский завод стальных конструкций;Ефремовский завод стальных конструкций;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
540;Н-360-22-1;Казахстан;Карагандинский МЗ Карагандинский МЗ;Карагандинский МЗ;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
541;Н-360-22-1;Россия;Челябинский МК Челябинский МК;Челябинский МК;1963;не менее 0.7 280 1 0,24 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
542;165-21-1;Россия;Салаватнефтеоргсинтез Салаватнефтеоргсинтез;Салаватнефтеоргсинтез;1964;2,5 167 1 1,47 0,74 Электродвигатель Химическая смесь газов;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
543;К-105-61-1;Азербайджан;Сумгаитский ХК Сумгаитский ХК;Сумгаитский ХК;1964;3,5 115 3 1,72 0,15 Электродвигатель Химическая пропилен;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
544;К-105-61-1;Азербайджан;Сумгаитский ХК Сумгаитский ХК;Сумгаитский ХК;1964;3,5 115 3 1,72 0,15 Электродвигатель Химическая пропилен;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
545;К-4250-41-2;Индия;Бхилайский МЗ Бхилайский МЗ;Бхилайский МЗ;1964;18 4240 2 0,40 0,10 Паровая турбина Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
546;К-4250-41-2;Украина;МЗ им.Дзержинского МЗ им.Дзержинского;МЗ им.Дзержинского;1964;18 4240 2 0,40 0,10 Паровая турбина Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
547;К-1500-62-1;Россия;Азот Азот;Азот;1964;9 1590 3 0,74 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
548;К-500-61-2;Казахстан;Балхашский ГМК Балхашский ГМК;Балхашский ГМК;1964;3,15 510 3 0,75 0,10 Электродвигатель Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
549;К-500-61-2;Россия;Новолипецкий МК Новолипецкий МК;Новолипецкий МК;1964;3,15 510 3 0,75 0,10 Электродвигатель Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
550;К-1500-62-2;Россия;Азот Азот;Азот;1964;9 1590 3 0,74 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
551;К-1500-62-2;Армения;Армянский СНХ Армянский СНХ;Армянский СНХ;1964;9 1590 3 0,74 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
552;К-1500-62-2;Россия;Куйбышевазот Куйбышевазот;Куйбышевазот;1964;9 1590 3 0,74 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
553;К-1500-62-2;Украина;Лисичанский ХК Лисичанский ХК;Лисичанский ХК;1964;9 1590 3 0,74 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
554;К-500-61-2;Казахстан;Чимкентский свинцово- цинковый комбинат Чимкентский свинцово-цинковый комбинат;Чимкентский свинцово- цинковый комбинат Чимкентский свинцово-цинковый комбинат;1964;3,15 510 3 0,75 0,10 Электродвигатель Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
555;Н-561;Россия;Южуралникель Южуралникель;Южуралникель;1964;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
556;К-350-61-2;Россия;Азот Азот;Азот;1964;9 370 3 7,35 0,97 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
557;К-350-61-2;Россия;Иркутский ХК Иркутский ХК;Иркутский ХК;1964;9 370 3 7,35 0,97 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
558;К-350-61-2;Азербайджан;Сумгаитский ХК Сумгаитский ХК;Сумгаитский ХК;1964;9 370 3 7,35 0,97 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
559;Н-200-11-1;Украина;Одесский литейный завод Одесский литейный завод;Одесский литейный завод;1964;0,1 200 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
560;К-380-101-1;Россия;Миннибаевский газобензиновый завод Миннибаевский газобензиновый завод;Миннибаевский газобензиновый завод;1964;не менее 2.6 363 2 4,12 0,15 Электродвигатель Нефтяная попутный нефтяной газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
561;Н-200-11-1;Россия;Электроцинк Электроцинк;Электроцинк;1964;0,1 200 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
562;Н-3500-14-1;Индия;Бхилайский МЗ Бхилайский МЗ;Бхилайский МЗ;1964;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
563;К-480-42-1;Украина;Азот Азот;Азот;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
564;К-480-42-1;Белоруссия;Азот Азот;Азот;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
565;К-480-42-1;Россия;Азот Азот;Азот;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
566;К-480-42-1;Россия;Ангарскнефтеоргсинтез Ангарскнефтеоргсинтез;Ангарскнефтеоргсинтез;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
567;К-480-42-1;Россия;Куйбышевазот Куйбышевазот;Куйбышевазот;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
568;К-480-42-1;Узбекистан;Навоиазот Навоиазот;Навоиазот;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
569;К-480-42-1;Россия;Новокуйбышевский НХК Новокуйбышевский НХК;Новокуйбышевский НХК;1964;1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
570;К-500-61-1;Армения;Кировоканский ХК Кировоканский ХК;Кировоканский ХК;1964;3,15 525 3 0,90 0,10 Электродвигатель Химическая Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
571;К-500-61-1;Польша;"ХК ""Азоты"" ХК ""Азоты""";"ХК ""Азоты""";1964;3,15 525 3 0,90 0,10 Электродвигатель Химическая Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
572;Н-3500-14-1;Россия;МЗ им.А.К.Серова МЗ им.А.К.Серова;МЗ им.А.К.Серова;1964;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
573;Н-6500-11-1;Украина;Алчевский МК Алчевский МК;Алчевский МК;1964;1,6 6500 1 0,10 0,09 Электродвигатель Металлургия дымовой газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
574;К-500-61-2;Россия;Азот Азот;Азот;1964;3,15 525 3 0,90 0,10 Электродвигатель Химическая Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
575;К-500-61-2;Россия;Азот Азот;Азот;1964;3,15 525 3 0,90 0,10 Электродвигатель Химическая Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
576;К-500-61-2;Россия;Невинномысский ХК Невинномысский ХК;Невинномысский ХК;1964;3,15 525 3 0,90 0,10 Электродвигатель Химическая Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
577;К-500-61-2;Польша;Химический комбинат Химический комбинат;Химический комбинат;1964;3,15 525 3 0,90 0,10 Электродвигатель Химическая Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
578;Н-6500-11-1;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1964;1,6 6500 1 0,10 0,09 Электродвигатель Металлургия дымовой газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
579;Н-6500-11-1;Казахстан;Карагандинский МЗ Карагандинский МЗ;Карагандинский МЗ;1964;1,6 6500 1 0,10 0,09 Электродвигатель Металлургия дымовой газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
580;Н-6500-11-1;Россия;Нижнетагильский МК Нижнетагильский МК;Нижнетагильский МК;1964;1,6 6500 1 0,10 0,09 Электродвигатель Металлургия дымовой газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
581;К-505-121-1;Россия;Невинномысский ХК Невинномысский ХК;Невинномысский ХК;1964;3,15 500 3 0,98 0,10 Электродвигатель Химическая газы пиролиза метана;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
582;Н-170-71-1;Россия;Красный треугольник Красный треугольник;Красный треугольник;1964;1,25 165 1 0,61 0,15 Электродвигатель Химическая природный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
583;Н-200-11-1;Белоруссия;Гомель Гомельский суперф. завод;Гомель Гомельский суперф. завод;1964;0,1 200 1 0,11 0,09 Электродвигатель Химическая сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
584;Н-200-11-1;Россия;Минудобрения Минудобрения;Минудобрения;1964;0,1 200 1 0,11 0,09 Электродвигатель Химическая сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
585;Н-200-11-1;Россия;Уваровский завод двойного суперфосфата Уваровский завод двойного суперфосфата;Уваровский завод двойного суперфосфата;1964;0,1 200 1 0,11 0,09 Электродвигатель Химическая сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
586;Н-6500-11-1;Россия;Череповецкий МК Череповецкий МК;Череповецкий МК;1964;1,6 6500 1 0,10 0,09 Электродвигатель Металлургия дымовой газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
587;К-500-61-1;Украина;Запорожский железорудный комбинат Запорожский железорудный комбинат;Запорожский железорудный комбинат;1964;3,15 525 3 0,90 0,10 Электродвигатель Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
588;Н-220-21-1;Россия;Самарский завод синтетического каучука Самарский завод синтетического каучука;Самарский завод синтетического каучука;1964;Химическая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
589;Н-220-21-1;Россия;Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетического каучука;Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетического каучука;1964;Химическая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
590;Н-280-12-4;Россия;Государственный производственный комитет по Государственный производственный комитет по газовой промышленности СССР;Государственный производственный комитет по;1964;Газовая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
591;К-500-61-1;Казахстан;Павлодарский алюминиевый завод Павлодарский алюминиевый завод;Павлодарский алюминиевый завод;1964;3,15 525 3 0,90 0,10 Электродвигатель Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
592;Н-900-31-1;Россия;МЗ им.А.К.Серова МЗ им.А.К.Серова;МЗ им.А.К.Серова;1964;3,5 880 1 0,28 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
593;Н-360-22-1;Россия;Ангарскнефтеоргсинтез Ангарскнефтеоргсинтез;Ангарскнефтеоргсинтез;1964;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
594;Н-360-22-1;Россия;Архангельский бум. комбинат Архангельский бум. комбинат;Архангельский бум. комбинат;1964;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
595;Н-360-22-1;Россия;Калужский ХМК Калужский ХМК;Калужский ХМК;1964;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
596;Н-360-22-1;Украина;Лисичанский ХК Лисичанский ХК;Лисичанский ХК;1964;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
597;Н-360-22-1;Белоруссия;Минская ст.аэрации Минская ст.аэрации;Минская ст.аэрации;1964;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
598;Н-360-22-1;Россия;Уфимский ХЗ Уфимский ХЗ;Уфимский ХЗ;1964;не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
599;Н-900-31-1;Россия;Челябинский МК Челябинский МК;Челябинский МК;1964;3,5 880 1 0,28 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
600;Н-360-22-4;Украина;Азот Азот;Азот;1964;не менее 0.4 230 1 0,17 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
601;Н-370-12-2;Россия;Государственный производственный комитет по Государственный производственный комитет по газовой промышленности СССР;Государственный производственный комитет по;1964;6 370 1 5,49 3,73 Газовая турбина Газовая природный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
602;К-350-61-2;Россия;Губахинский ХЗ Губахинский ХЗ;Губахинский ХЗ;1964;9 370 3 7,35 0,97 Электродвигатель Металлургия Воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
603;К-1500-62-1;Украина;Алчевский МК Алчевский МК;Алчевский МК;1964;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
604;К-1500-62-1;Россия;Череповецкий МК Череповецкий МК;Череповецкий МК;1964;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
605;К-1500-62-2;Таджикистан;Алтын-Топканский свинцово- цинковый комбинат Алтын-Топканский свинцово-цинковый комбинат;Алтын-Топканский свинцово- цинковый комбинат Алтын-Топканский свинцово-цинковый комбинат;1964;9 1590 3 0,74 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
