inn;zakazchik;mashin_vsego;mashin_istekaet;prioritet;istochnik_kartochki
6315000291;"ООО ""ГАЗПРОМ ТРАНСГАЗ САМАРА""";26;14;54;https://monitor-pb.ru/customer/6315000291
0268036071;"ОАО ""Синтез-Каучук""";46;3;52;https://monitor-pb.ru/customer/0268036071
2308128945;"ООО ""ГАЗПРОМ ТРАНСГАЗ КРАСНОДАР""";51;0;51;https://monitor-pb.ru/customer/2308128945
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";47;2;51;https://monitor-pb.ru/customer/7601001107
6330000553;"АО ""НК НПЗ""";45;3;51;https://monitor-pb.ru/customer/6330000553
5103070023;"АО ""АПАТИТ""";43;4;51;https://monitor-pb.ru/customer/5103070023
1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ""";50;0;50;https://monitor-pb.ru/customer/1658087524
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";40;5;50;https://monitor-pb.ru/customer/4214000608
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск""";25;9;43;https://monitor-pb.ru/customer/7101006354
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";42;0;42;https://monitor-pb.ru/customer/8602060555
6314006396;"АО ""КНПЗ""";38;2;42;https://monitor-pb.ru/customer/6314006396
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";18;12;42;https://monitor-pb.ru/customer/2365004375
7022000310;"АО ""ТОМСКНЕФТЬ"" ВНК";37;2;41;https://monitor-pb.ru/customer/7022000310
8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";37;2;41;https://monitor-pb.ru/customer/8905026850
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";40;0;40;https://monitor-pb.ru/customer/6453010110
5321029508;"ПАО ""АКРОН""";33;3;39;https://monitor-pb.ru/customer/5321029508
7206025040;"ООО ""СИБУР Тобольск""";38;0;38;https://monitor-pb.ru/customer/7206025040
5905018998;"АО ""СИБУР-ХИМПРОМ""";37;0;37;https://monitor-pb.ru/customer/5905018998
3627000397;"АО ""МИНУДОБРЕНИЯ""";32;2;36;https://monitor-pb.ru/customer/3627000397
6623000680;"ПАО ""ЕВРАЗ""";32;1;34;https://monitor-pb.ru/customer/6623000680
2205001753;"АО ""АЛТАЙ-КОКС""";31;1;33;https://monitor-pb.ru/customer/2205001753
7840346335;"АО ""ГРУППА ""ИЛИМ""";30;1;32;https://monitor-pb.ru/customer/7840346335
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";28;2;32;https://monitor-pb.ru/customer/5610058025
4708007089;"ООО""КИНЕФ""";29;1;31;https://monitor-pb.ru/customer/4708007089
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";25;3;31;https://monitor-pb.ru/customer/4223036696
7414003633;"ПАО ""ММК""";28;1;30;https://monitor-pb.ru/customer/7414003633
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";20;5;30;https://monitor-pb.ru/customer/5908007560
5606001611;"ООО ""ММСК""";27;1;29;https://monitor-pb.ru/customer/5606001611
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";27;1;29;https://monitor-pb.ru/customer/3528000597
0266033685;"ООО ""ПВК""";17;6;29;https://monitor-pb.ru/customer/0266033685
5003065767;"ООО ""ГАЗПРОМ ПХГ""";27;0;27;https://monitor-pb.ru/customer/5003065767
6451114900;"ПАО ""САРАТОВСКИЙ НПЗ""";13;7;27;https://monitor-pb.ru/customer/6451114900
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";26;0;26;https://monitor-pb.ru/customer/1644003838
6704000505;"ПАО ""Дорогобуж""";18;4;26;https://monitor-pb.ru/customer/6704000505
5501023216;"АО ""ОМСКИЙ КАУЧУК""";25;0;25;https://monitor-pb.ru/customer/5501023216
3801072394;"ООО ""ААТЗ""";25;0;25;https://monitor-pb.ru/customer/3801072394
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";16;4;24;https://monitor-pb.ru/customer/3448017919
2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";14;5;24;https://monitor-pb.ru/customer/2308065678
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";21;1;23;https://monitor-pb.ru/customer/5607019523
7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";22;0;22;https://monitor-pb.ru/customer/7723006328
3435900186;"АО ""ВТЗ""";19;1;21;https://monitor-pb.ru/customer/3435900186
2124009521;"ПАО ""ХИМПРОМ""";12;4;20;https://monitor-pb.ru/customer/2124009521
6335007320;"АО ""ПРОМСИНТЕЗ""";10;5;20;https://monitor-pb.ru/customer/6335007320
3448003962;"АО ""КАУСТИК""";19;0;19;https://monitor-pb.ru/customer/3448003962
3435801192;"ОАО ""ЭКТОС-ВОЛГА""";19;0;19;https://monitor-pb.ru/customer/3435801192
8602067092;"ПАО ""ЮНИПРО""";17;1;19;https://monitor-pb.ru/customer/8602067092
0277077282;"ООО ""БГК"" (ИНН 0277077282)";15;2;19;https://monitor-pb.ru/customer/0277077282
4205001274;"ПАО ""КОКС""";11;4;19;https://monitor-pb.ru/customer/4205001274
7705035012;"ПАО ""Мосэнерго""";18;0;18;https://monitor-pb.ru/customer/7705035012
3128005752;"АО ""ОЭМК ИМ. А.А. УГАРОВА""";12;3;18;https://monitor-pb.ru/customer/3128005752
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";12;3;18;https://monitor-pb.ru/customer/5615002700
1434031363;"АО ""ДГК"" (ИНН 1434031363)";15;1;17;https://monitor-pb.ru/customer/1434031363
4223057424;"ООО ""ОФ ""Коксовая""";13;2;17;https://monitor-pb.ru/customer/4223057424
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";14;1;16;https://monitor-pb.ru/customer/0270007455
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";14;1;16;https://monitor-pb.ru/customer/5003063216
7450043423;"ООО ""Мечел-Кокс""";15;0;15;https://monitor-pb.ru/customer/7450043423
7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";13;1;15;https://monitor-pb.ru/customer/7203162698
7606053324;"ПАО ""ТГК-2""";11;2;15;https://monitor-pb.ru/customer/7606053324
5250051800;"ООО ""СИБУР-КСТОВО""";9;3;15;https://monitor-pb.ru/customer/5250051800
0268004714;"АО ""СНХЗ""";14;0;14;https://monitor-pb.ru/customer/0268004714
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";12;1;14;https://monitor-pb.ru/customer/4633001577
7723332561;"ООО ""НПП ""НЕФТЕХИМИЯ""";12;1;14;https://monitor-pb.ru/customer/7723332561
7450001007;"ПАО ""ЧМК""";12;1;14;https://monitor-pb.ru/customer/7450001007
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";10;2;14;https://monitor-pb.ru/customer/7017156263
6315376946;"ПАО ""Т ПЛЮС""";11;1;13;https://monitor-pb.ru/customer/6315376946
6618000220;"ОАО ""Святогор""";12;0;12;https://monitor-pb.ru/customer/6618000220
7610052644;"ПАО""ОДК-Сатурн""";4;4;12;https://monitor-pb.ru/customer/7610052644
4219000048;"АО  ""ЦОФ ""Абашевская""""";11;0;11;https://monitor-pb.ru/customer/4219000048
5249051203;"АО ""СИБУР-НЕФТЕХИМ""";11;0;11;https://monitor-pb.ru/customer/5249051203
7017005289;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";11;0;11;https://monitor-pb.ru/customer/7017005289
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";11;0;11;https://monitor-pb.ru/customer/7705739450
4407006010;"ООО ""СВИСС КРОНО""";11;0;11;https://monitor-pb.ru/customer/4407006010
4203001617;"ПАО ""ЦОФ ""Березовская""""";9;1;11;https://monitor-pb.ru/customer/4203001617
1627005779;"АО ""АММОНИЙ""";10;0;10;https://monitor-pb.ru/customer/1627005779
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)";10;0;10;https://monitor-pb.ru/customer/6623000708
2636032629;"ООО ""ГАЗПРОМ ТРАНСГАЗ СТАВРОПОЛЬ""";10;0;10;https://monitor-pb.ru/customer/2636032629
5501085734;"ООО ""ПОЛИОМ""";10;0;10;https://monitor-pb.ru/customer/5501085734
6615001962;"АО ""ЕВРАЗ КГОК""";8;1;10;https://monitor-pb.ru/customer/6615001962
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";8;1;10;https://monitor-pb.ru/customer/0263009557
5404037541;"ООО  ""ГОФ Анжерская""";6;2;10;https://monitor-pb.ru/customer/5404037541
6623029538;"АО ""НПК ""Уралвагонзавод""";9;0;9;https://monitor-pb.ru/customer/6623029538
6625004271;"АО ""ПНТЗ""";9;0;9;https://monitor-pb.ru/customer/6625004271
6612005052;"АО ""РУСАЛ УРАЛ""";9;0;9;https://monitor-pb.ru/customer/6612005052
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";9;0;9;https://monitor-pb.ru/customer/2722130919
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";9;0;9;https://monitor-pb.ru/customer/1106014140
3448046860;"ООО ""ПРАКСАЙР ВОЛГОГРАД""";9;0;9;https://monitor-pb.ru/customer/3448046860
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";9;0;9;https://monitor-pb.ru/customer/6451122250
3814007314;"АО ""САЯНСКХИМПЛАСТ""";7;1;9;https://monitor-pb.ru/customer/3814007314
4212024138;"АО ""СУЭК-КУЗБАСС""";7;1;9;https://monitor-pb.ru/customer/4212024138
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";7;1;9;https://monitor-pb.ru/customer/1102057865
7017368130;"ООО ""Завод углеродистых материалов""";7;1;9;https://monitor-pb.ru/customer/7017368130
6829012680;"АО ""РИР ЭНЕРГО""";5;2;9;https://monitor-pb.ru/customer/6829012680
9106001900;"АО ""СЗ""";5;2;9;https://monitor-pb.ru/customer/9106001900
7707422881;"ООО ""ИНТЕГРАЛ"" (ИНН 7707422881)";3;3;9;https://monitor-pb.ru/customer/7707422881
4029045298;"АО ""БиоТех Росва""";8;0;8;https://monitor-pb.ru/customer/4029045298
4216001565;"АО ""КФ""";8;0;8;https://monitor-pb.ru/customer/4216001565
5003003915;"АО ""Москокс""";8;0;8;https://monitor-pb.ru/customer/5003003915
1402046085;"АО ""Полюс Алдан""";8;0;8;https://monitor-pb.ru/customer/1402046085
8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";8;0;8;https://monitor-pb.ru/customer/8903019871
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";8;0;8;https://monitor-pb.ru/customer/7728640182
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""";8;0;8;https://monitor-pb.ru/customer/3444070534
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";8;0;8;https://monitor-pb.ru/customer/7722245108
5603045522;"ООО ""РН-БГПП""";8;0;8;https://monitor-pb.ru/customer/5603045522
2204001528;"ФКП  ""БОЗ""";8;0;8;https://monitor-pb.ru/customer/2204001528
2303025270;"ООО ""ЕВРОХИМ-БМУ""";4;2;8;https://monitor-pb.ru/customer/2303025270
6377005317;"АО ""НГПЗ""";7;0;7;https://monitor-pb.ru/customer/6377005317
8913000816;"АО ""ПУРГАЗ""";7;0;7;https://monitor-pb.ru/customer/8913000816
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";7;0;7;https://monitor-pb.ru/customer/7716182080
7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";7;0;7;https://monitor-pb.ru/customer/7709930344
3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";7;0;7;https://monitor-pb.ru/customer/3815011264
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";7;0;7;https://monitor-pb.ru/customer/5036074848
3524015320;"ООО ""ШКХП""";7;0;7;https://monitor-pb.ru/customer/3524015320
7841312071;"ПАО ""ТГК-1""";7;0;7;https://monitor-pb.ru/customer/7841312071
1121003135;"АО ""СЛПК""";5;1;7;https://monitor-pb.ru/customer/1121003135
0275075378;"ООО ""Башнефть-Сервис НПЗ""";3;2;7;https://monitor-pb.ru/customer/0275075378
2443000518;"АО ""АНПЗ ВНК""";6;0;6;https://monitor-pb.ru/customer/2443000518
3802008553;"АО ""ВЫСОЧАЙШИЙ""";6;0;6;https://monitor-pb.ru/customer/3802008553
1103019252;"АО ""Воркутауголь""";6;0;6;https://monitor-pb.ru/customer/1103019252
7701984274;"АО ""Мосводоканал""";6;0;6;https://monitor-pb.ru/customer/7701984274
7117000076;"АО ""Пластик""";6;0;6;https://monitor-pb.ru/customer/7117000076
1651025328;"АО ""ТАИФ-НК""";6;0;6;https://monitor-pb.ru/customer/1651025328
7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";6;0;6;https://monitor-pb.ru/customer/7728060368
8603138733;"ООО ""Белозерный ГПК""";6;0;6;https://monitor-pb.ru/customer/8603138733
5003028028;"ООО ""ГАЗПРОМ ТРАНСГАЗ МОСКВА""";6;0;6;https://monitor-pb.ru/customer/5003028028
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";6;0;6;https://monitor-pb.ru/customer/4312126856
7113502396;"ООО ""КАРГИЛЛ""";6;0;6;https://monitor-pb.ru/customer/7113502396
4205037640;"ООО ""ОФ ""Тайбинская""";6;0;6;https://monitor-pb.ru/customer/4205037640
6382018657;"ООО ""ТОМЕТ""";6;0;6;https://monitor-pb.ru/customer/6382018657
4205072099;"ООО ""ХИМПРОМ""";6;0;6;https://monitor-pb.ru/customer/4205072099
9403000070;"ООО ""ЮГМК""";6;0;6;https://monitor-pb.ru/customer/9403000070
6626002291;"ПАО ""СТЗ""";6;0;6;https://monitor-pb.ru/customer/6626002291
7802849641;"ООО ""ПК ""БАЛТИКА""";4;1;6;https://monitor-pb.ru/customer/7802849641
6500000024;"ПАО ""Сахалинэнерго""";4;1;6;https://monitor-pb.ru/customer/6500000024
2310040800;"АО ""КТК-Р""";2;2;6;https://monitor-pb.ru/customer/2310040800
3811185573;"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ""";2;2;6;https://monitor-pb.ru/customer/3811185573
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";5;0;5;https://monitor-pb.ru/customer/1004001744
7727547920;"АО ""КБК ""Черемушки""";5;0;5;https://monitor-pb.ru/customer/7727547920
1648032420;"АО ""ПОЗИС""";5;0;5;https://monitor-pb.ru/customer/1648032420
5920014645;"АО ""УРАЛОРГСИНТЕЗ""";5;0;5;https://monitor-pb.ru/customer/5920014645
6629022962;"АО ""УЭХК""";5;0;5;https://monitor-pb.ru/customer/6629022962
7448000013;"АО ""ЧЦЗ""";5;0;5;https://monitor-pb.ru/customer/7448000013
7415036215;"АО ""ЭнСер""";5;0;5;https://monitor-pb.ru/customer/7415036215
3327112205;"ООО ""ДИС"" (ИНН 3327112205)";5;0;5;https://monitor-pb.ru/customer/3327112205
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";5;0;5;https://monitor-pb.ru/customer/5250043567
7704214548;"ООО""АФИПСКИЙ НПЗ""";5;0;5;https://monitor-pb.ru/customer/7704214548
7424024375;"ПАО ""ЮГК""";3;1;5;https://monitor-pb.ru/customer/7424024375
2462206345;"АО ""Красмаш""";4;0;4;https://monitor-pb.ru/customer/2462206345
7704655662;"АО НПКЦ ""ЭНЕРГИЯ"" (ИНН 7704655662)";4;0;4;https://monitor-pb.ru/customer/7704655662
6323106975;"ЗАО ""Тольяттисинтез""";4;0;4;https://monitor-pb.ru/customer/6323106975
5019002730;"ОАО ""БАЙСАД-КАШИРА""";4;0;4;https://monitor-pb.ru/customer/5019002730
5020002781;"ОАО ""ГЕРКУЛЕС""";4;0;4;https://monitor-pb.ru/customer/5020002781
2426005202;"ООО ""БОГОЛЮБОВСКОЕ""";4;0;4;https://monitor-pb.ru/customer/2426005202
2455024746;"ООО ""КДВ Минусинск""";4;0;4;https://monitor-pb.ru/customer/2455024746
7718918689;"ООО ""КФ""Черемушки""";4;0;4;https://monitor-pb.ru/customer/7718918689
2457080792;"ООО ""МЕДВЕЖИЙ РУЧЕЙ""";4;0;4;https://monitor-pb.ru/customer/2457080792
8911020768;"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""";4;0;4;https://monitor-pb.ru/customer/8911020768
8610012450;"ООО ""Няганьгазпереработка""";4;0;4;https://monitor-pb.ru/customer/8610012450
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";2;1;4;https://monitor-pb.ru/customer/3663002167
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";2;1;4;https://monitor-pb.ru/customer/4221000535
7452027843;"ООО ""ЧТЗ - УРАЛТРАК""";2;1;4;https://monitor-pb.ru/customer/7452027843
4253042369;"ООО ""ЭР ЛИКИД КУЗБАСС""";2;1;4;https://monitor-pb.ru/customer/4253042369
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";3;0;3;https://monitor-pb.ru/customer/7839395419
5005000148;"АО ""Воскресенские минеральные удобрения""";3;0;3;https://monitor-pb.ru/customer/5005000148
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";3;0;3;https://monitor-pb.ru/customer/2465000141
0266036534;"АО ""СХЗ"" (ИНН 0266036534)";3;0;3;https://monitor-pb.ru/customer/0266036534
4205049090;"АО ""УК ""КУЗБАССРАЗРЕЗУГОЛЬ""";3;0;3;https://monitor-pb.ru/customer/4205049090
4218000253;"АО ""ЦОФ ""КУЗНЕЦКАЯ""";3;0;3;https://monitor-pb.ru/customer/4218000253
7113000847;"ОАО ""ЕЗСК""";3;0;3;https://monitor-pb.ru/customer/7113000847
7718018279;"ОАО ""Мелькомбинат в Сокольниках""";3;0;3;https://monitor-pb.ru/customer/7718018279
7723451304;"ООО ""ГК ""СИНЕРГИЯ""";3;0;3;https://monitor-pb.ru/customer/7723451304
5406766317;"ООО ""ГОФ Красногорская""";3;0;3;https://monitor-pb.ru/customer/5406766317
7706415345;"ООО ""КДВ ВОСКРЕСЕНСК""";3;0;3;https://monitor-pb.ru/customer/7706415345
4011033206;"ООО ""МИРФУДС""";3;0;3;https://monitor-pb.ru/customer/4011033206
2801147023;"ООО ""Маломырский рудник""";3;0;3;https://monitor-pb.ru/customer/2801147023
2426003607;"ООО ""НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";3;0;3;https://monitor-pb.ru/customer/2426003607
7802118578;"ООО ""ОПХ""";3;0;3;https://monitor-pb.ru/customer/7802118578
5607014437;"ООО ""ПРОМТЭК""";3;0;3;https://monitor-pb.ru/customer/5607014437
8913008332;"ООО ""ПУРНЕФТЕПЕРЕРАБОТКА""";3;0;3;https://monitor-pb.ru/customer/8913008332
2465142996;"ООО ""РН-ВАНКОР""";3;0;3;https://monitor-pb.ru/customer/2465142996
2434012299;"ООО ""СОВРУДНИК""";3;0;3;https://monitor-pb.ru/customer/2434012299
6906011179;"ООО ""Тверская генерация""";3;0;3;https://monitor-pb.ru/customer/6906011179
4220023963;"ООО ""ШАХТА №12""";3;0;3;https://monitor-pb.ru/customer/4220023963
2631805988;"ООО МЭЗ ""РЕСУРС""";3;0;3;https://monitor-pb.ru/customer/2631805988
6142025298;"ООО ТУ ""Шолоховское""";3;0;3;https://monitor-pb.ru/customer/6142025298
6320004630;"ПАО ""АЗОТРЕММАШ""";3;0;3;https://monitor-pb.ru/customer/6320004630
5921002508;"ЗАО""ЧУСОВСКАЯ МЕЛЬНИЦА""";1;1;3;https://monitor-pb.ru/customer/5921002508
4632001366;"ОАО ""Курскхлеб""";1;1;3;https://monitor-pb.ru/customer/4632001366
5256049357;"ООО ""АВТОЗАВОДСКАЯ ТЭЦ""";1;1;3;https://monitor-pb.ru/customer/5256049357
7721427433;"ООО ""МАРИЗЕРНОПРОДУКТ""";1;1;3;https://monitor-pb.ru/customer/7721427433
6167055777;"ООО ""МЭЗ ЮГ РУСИ""";1;1;3;https://monitor-pb.ru/customer/6167055777
9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские Острова) в городе Южно-Сахалинске";2;0;2;https://monitor-pb.ru/customer/9909071164
6162015019;"АО ""АСТОН""";2;0;2;https://monitor-pb.ru/customer/6162015019
5806003172;"АО ""БАШМАКОВСКИЙ ЭЛЕВАТОР""";2;0;2;https://monitor-pb.ru/customer/5806003172
5913004822;"АО ""ГУБАХИНСКИЙ КОКС""";2;0;2;https://monitor-pb.ru/customer/5913004822
5452114972;"АО ""Ерофеев""";2;0;2;https://monitor-pb.ru/customer/5452114972
4221000133;"АО ""ЗАВОД УНИВЕРСАЛ""";2;0;2;https://monitor-pb.ru/customer/4221000133
5249105219;"АО ""КОРУНД-ЦИАН""";2;0;2;https://monitor-pb.ru/customer/5249105219
4004002750;"АО ""Кондровский хлебокомбинат""";2;0;2;https://monitor-pb.ru/customer/4004002750
5001000041;"АО ""ЛГР""";2;0;2;https://monitor-pb.ru/customer/5001000041
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";2;0;2;https://monitor-pb.ru/customer/5913001268
8620018330;"АО ""НИЖНЕВАРТОВСКАЯ ГРЭС""";2;0;2;https://monitor-pb.ru/customer/8620018330
8603089941;"АО ""ННК - ННП""";2;0;2;https://monitor-pb.ru/customer/8603089941
7813012206;"АО ""НПФ ""НЕВИНТЕРМАШ""";2;0;2;https://monitor-pb.ru/customer/7813012206
6340005960;"АО ""ОТРАДНЕНСКИЙ ГПЗ""";2;0;2;https://monitor-pb.ru/customer/6340005960
7735004068;"АО ""Хлебозавод №28""";2;0;2;https://monitor-pb.ru/customer/7735004068
