srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
active;центробежный компрессор;53-ТУ-48483-2022;12.08.2022;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки ЦК-135/8, технологический индекс К-3, заводской № 70010, Цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС-6);ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-48483-2022;https://monitor-pb.ru/customer/6330000553
active;центробежный компрессор;23-ЗС-474184-2025;19.11.2025;6320004728;"АО ""ТОАЗ""";ЗАКЛЮЧЕНИЕ № 860-11-ОСТ/25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ Трубопровод масла обратного от штуцера №1 масляного охладителя E1.3.2-2 с воздушным обдувом центробежного компрессора C1.3.2 до штуцера Gc двигателя Т1.3.1 компрессора поз. C1.3.2 (одна двухвальная газовая турбина) Линия 01.МО.100;ЗС;7710909058;"ООО ""ПРОММАШ ТЕСТ ИНЖИНИРИНГ""";соответствует;https://monitor-pb.ru/conclusion/23-%D0%97%D0%A1-474184-2025;https://monitor-pb.ru/customer/6320004728
active;центробежный компрессор;63-ТУ-319116-2025;29.09.2025;6314006396;"АО ""КНПЗ""";Центробежный компрессор типа ZH7000+5-10.4, технологический индекс C-001, заводской № APF175762, инвентарный № 64132, местонахождение: цех №5 энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (АВК);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-319116-2025;https://monitor-pb.ru/customer/6314006396
active;центробежный компрессор;63-ТУ-319146-2025;29.09.2025;6314006396;"АО ""КНПЗ""";Центробежный компрессор типа ZH7000+5-10.4, технологический индекс C-002, заводской № APF175453, инвентарный № 64133, местонахождение: цех №5 энергопроизводства участок по эксплуатации объектов производства сжатого воздуха (АВК);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-319146-2025;https://monitor-pb.ru/customer/6314006396
active;центробежный компрессор;63-ТУ-319435-2025;29.09.2025;6314006396;"АО ""КНПЗ""";Центробежный компрессор типа ZH7000+5-10.4, технологический индекс C-003, заводской № APF175763, инвентарный № 64134, местонахождение: цех №5 энергопроизводства участок по эксплуатации объектов производства сжатого воздуха (АВК);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-319435-2025;https://monitor-pb.ru/customer/6314006396
active;центробежный компрессор;63-ТУ-319436-2025;29.09.2025;6314006396;"АО ""КНПЗ""";Центробежный компрессор типа ZH7000+5-10.4, технологический индекс C-004, заводской № APF175452, инвентарный № 64135, местонахождение: цех №5 энергопроизводства участок по эксплуатации объектов производства сжатого воздуха (АВК);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-319436-2025;https://monitor-pb.ru/customer/6314006396
active;центробежный компрессор;23-ЗС-474172-2025;19.11.2025;6320004728;"АО ""ТОАЗ""";ЗАКЛЮЧЕНИЕ № 861-11-ОСТ/25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ Трубопровод масла прямого от штуцера №2 маслянного охладителя с воздушным обдувом центробежного компрессора поз. С1.3.2 Е1.3.2-2 до штуцера Fc двигателя компрессора поз. С1.3.2. Т1.1.3 (одна двухвальная газовая турбина) Линия 01.МП.100;ЗС;7710909058;"ООО ""ПРОММАШ ТЕСТ ИНЖИНИРИНГ""";соответствует;https://monitor-pb.ru/conclusion/23-%D0%97%D0%A1-474172-2025;https://monitor-pb.ru/customer/6320004728
active;центробежный компрессор;43-ТУ-45942-2025;14.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Техническое устройство, применяемое на опасном производственном объекте: Воздухоохладитель II секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-26Б/2, зав. № 90021 эксплуатируемое ПАО «Казаньоргсинтез». Энергопроизводство. Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45942-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;41-ТУ-40428-2021;18.08.2021;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";центробежный компрессор марки 32ВЦ-100/9, поз. 21/1, зав. №96012 (установка «Получения холода и воздуха», цех 20, завод «Мономер», ООО «Газпром нефтехим Салават»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40428-2021;https://monitor-pb.ru/customer/0266048970
active;центробежный компрессор;41-ТУ-41983-2021;26.08.2021;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";центробежный компрессор марки 32ВЦ-100/9, поз. 21/4, зав. №97006 (установка «Получения холода и воздуха», цех 20, завод «Мономер», ООО «Газпром нефтехим Салават»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-41983-2021;https://monitor-pb.ru/customer/0266048970
active;центробежный компрессор;43-ТУ-46016-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Техническое устройство, применяемое на опасном производственном объекте Воздухоохладитель I секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-25А/1, зав.№90031 эксплуатируемого на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46016-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;44-ТУ-287973-2023;06.02.2023;2124009521;"ПАО ""ХИМПРОМ""";Техническое устройство, применяемое на опасном производственном объекте: Компрессор центробежный воздушный ЦК-135/8(зав.№78027, техн.№ 8-3),эксплуатируемый на ПАО «Химпром»,цех № 23, корпус 851;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-287973-2023;https://monitor-pb.ru/customer/2124009521
active;центробежный компрессор;62-ТУ-27156-2022;16.08.2022;5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";Предназначен для охлаждения воздуха после второй ступени центробежного воздушного компрессора К-500-61-1.;ТУ;7017010480;"НП ""Томский центр технической диагностики, экспертизы и сертификации ""ХИМОТЕСТ""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-27156-2022;https://monitor-pb.ru/customer/5003063216
active;центробежный компрессор;62-ТУ-27157-2022;16.08.2022;5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";Предназначен для охлаждения воздуха после первой ступени центробежного воздушного компрессора К-500-61-1.;ТУ;7017010480;"НП ""Томский центр технической диагностики, экспертизы и сертификации ""ХИМОТЕСТ""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-27157-2022;https://monitor-pb.ru/customer/5003063216
active;центробежный компрессор;62-ТУ-27159-2022;16.08.2022;5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";Предназначен для охлаждения воздуха после первой ступени центробежного воздушного компрессора К-500-61-1.;ТУ;7017010480;"НП ""Томский центр технической диагностики, экспертизы и сертификации ""ХИМОТЕСТ""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-27159-2022;https://monitor-pb.ru/customer/5003063216
active;центробежный компрессор;57-ТУ-33830-2024;30.09.2024;1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ""";Воздуходувка на базе центробежного компрессора марки MT-116-4VS, поз.GB-101-1, зав.№6-705001 (установка дегидрирования бутана (ДБО-2), производство «Бутадиен», ООО «ЗапСибНефтехим»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-33830-2024;https://monitor-pb.ru/customer/1658087524
active;центробежный компрессор;57-ТУ-45946-2024;12.12.2024;1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ""";Воздуходувка на базе центробежного компрессора марки MT-116-4VS, поз.GB-101-2, зав.№6-705002 (установка дегидрирования бутана (ДБО-2), производство «Бутадиен», ООО «ЗапСибНефтехим»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45946-2024;https://monitor-pb.ru/customer/1658087524
active;центробежный компрессор;42-ТУ-58896-2025;12.08.2025;4250005979;"АО ""УК ""СЕВЕРНЫЙ КУЗБАСС""";"Заключение экспертизы промышленной безопасности на технические устройства:насосы консольныеК100-65-250 (позН1инвФ000000051;позН2инвФ000000052;позН3инвФ000000053;позН4инвФ000000054;позН5инвФ000000055);К100-65-200(позН20инвФ000000678);погружные насосные агрегатыFLUGTBS2125(позН3инвФ000000274);FLUGTBS2102(позН2инвФ000000163);компрессора технологического воздуха ESN2008.5(поз483инвФ000000549;поз484инвФ000000550;поз486инвФ000000551;поз485инвТ00000000008897); компрессор технологического воздухаESN30810 (поз489инвФ000003982);насосПРВП6331,5(позН5 инвТ00000000006190);насос центробежныйКМ6550160(поз280 инвФ000000579);насосы центробежные шламовыеПГМ8/6 МСП2(поз432инвТ00000000011971);ШН25034(поз273 инвТ00000000010348);ШН 25034(поз274инвФ000000600); насосы центробежные шламовыеSP65QV(позН1инвФ000000576); SP65QV(позН1инвФ000000574);насос центробежныйКМ8050200а/2/5(поз279инвФ000000577);применяемые на ОПО II класса опасностиПлощадка обогащения угляОбогатительная фабрикаСеверная рег№А68-02265-0004";ТУ;4205995812;"АССОЦИАЦИЯ ""КЦНТО ""ПРОМБЕЗОПАСНОСТЬ""";соответствует;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-58896-2025;https://monitor-pb.ru/customer/4250005979
active;центробежный компрессор;62-ТУ-27155-2022;16.08.2022;5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";Предназначен для охлаждения воздуха после полного цикла сжатия и выхода из центробежного воздушного компрессора К-500-61-1.;ТУ;7017010480;"НП ""Томский центр технической диагностики, экспертизы и сертификации ""ХИМОТЕСТ""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-27155-2022;https://monitor-pb.ru/customer/5003063216
active;центробежный компрессор;43-ТУ-41498-2025;06.02.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Заключение № КН-2440-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор центробежный воздушный К905-61-1 (зав.№6379, техн.№ 6Б), эксплуатируемый на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов, Установка по участку осушенного воздуха;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-41498-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;41-ТУ-81582-2024;05.12.2024;0274051582;"ПАО АНК ""БАШНЕФТЬ""";№ 340/1179/24 - Новойл экспертизы промышленной безопасности на техническое устройство: Центробежный воздушный компрессор марки 32ВЦ-100/9, технологический индекс К-1, зав. № 92014 - Площадка газокаталитического производства Филиала ПАО АНК «Башнефть» «Башнефть-Новойл», установка ЦВК-2;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-81582-2024;https://monitor-pb.ru/customer/0274051582
active;центробежный компрессор;43-ТУ-36959-2024;26.12.2024;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Заключение № КН-2252-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор центробежный воздушный К905-61-1 (зав.№6377, техн.№ 6А), эксплуатируемый на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов, Установка по участку осушенного воздуха;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-36959-2024;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;89-ТУ-883225-2026;19.06.2026;8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";"Компрессор воздушный 2ВМ2,5-12/9 УХЛ4Э (3 ед.); Электронасосы центробежные консольные моноблочные типа КМ80-65-160ас (2 ед.); инв. № 105520; техн. №№ ВК-1, ВК-2, ВК-3, Н-2, Н-3; зав. №№ 4563, 5213, 5432, 9У71, 9У72";ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-883225-2026;https://monitor-pb.ru/customer/8905026850
active;центробежный компрессор;41-ТУ-16944-2025;01.04.2025;0274051582;"ПАО АНК ""БАШНЕФТЬ""";Центробежный воздушный компрессор марки 32ВЦ-109/9, технологический индекс К-3, зав. № 92019, применяемый на ОПО № А41-05559-0005 I класса опасности «Площадка газокаталитического производства Филиала ПАО АНК «Башнефть» «Башнефть-Новойл», ЦВК-3, г. Уфа, Республика Башкортостан;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-16944-2025;https://monitor-pb.ru/customer/0274051582
active;центробежный компрессор;43-ТУ-28306-2024;02.11.2024;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Заключение № КН-0699-23 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор центробежный воздушный ЦК-135/8 (зав.№80046, техн.№ 10Б), эксплуатируемый на ПАО «Казаньоргсинтез», завод Энергопроизводство, Производство технических газов, Установка по участку осушенного воздуха;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-28306-2024;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;43-ТУ-34805-2024;17.12.2024;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Заключение № КН-2058-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор центробежный воздушный ЦК-135/8 (зав.№91020, техн.№ 26В), эксплуатируемый на ПАО «Казаньоргсинтез», завод Энергопроизводство, Производство технических газов, Установка по участку осушенного воздуха;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-34805-2024;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;61-ТУ-35129-2020;24.12.2020;5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";техническое устройство – центробежный воздушный компрессор марки К-250-61-2, зав. № 1367, тех. № ТК-3, применяемый на опасном производственном объекте – площадка цеха №17, установка ЦВК-3 ТЭК, УГЭ АО «Газпромнефть-Омский НПЗ;ТУ;5501254365;"ООО ""Центр технической безопасности и диагностики ""Полисервис""";соответствует;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-35129-2020;https://monitor-pb.ru/customer/5501041254
active;центробежный компрессор;43-ТУ-33919-2024;11.12.2024;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Заключение № КН-1239-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор центробежный воздушный ЦК-135/8 М1 (зав.№91021, техн.№ 26Б), эксплуатируемый на ПАО «Казаньоргсинтез», завод Энергопроизводство, Производство технических газов, Установка по участку осушенного воздуха;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-33919-2024;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;63-ТУ-55309-2025;24.08.2025;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 32ВЦ-100/9 М1, Технологический индекс ЦК-7, зав. №93025, инв. №36114 Применяемое на опасном производственном объекте: «Участки цеха Энергопроизводства»рег. номер: №А53-00301-0078 – I класс опасности, цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС-7);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-55309-2025;https://monitor-pb.ru/customer/6330000553
active;центробежный компрессор;10-ТУ-34823-2024;09.10.2024;6320004728;"АО ""ТОАЗ""";Центробежный компрессор технологического воздуха, тех.№ 402, зав.№ 6063, инв.№ 0052354, опасный производственный объект (ОПО): Площадка по производству аммиака на агрегатах АМ-76, регистрационный номер ОПО: № А53-01507-0002, класс опасности ОПО: I, эксплуатирующая организация: АО «ТОАЗ», место установки: цех № 05А;ТУ;9723002648;"ООО ""ГКС""";соответствует;https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-34823-2024;https://monitor-pb.ru/customer/6320004728
active;центробежный компрессор;42-ТУ-726258-2026;05.03.2026;4205000908;"КАО ""АЗОТ""";"На техническое устройство «Компрессор центробежный ЦК 135/8» поз. № ВК-М21А, применяемое на опасном производственном объекте ""Площадка установки получения кислорода и азота методом глубокого охлаждения атмосферного воздуха с последующей его ректификацией"", рег.№А68-00013-0017, III класс опасности"", ЦГС УГС, эксплуатирующая организация КАО ""Азот""";ТУ;7017216956;"ООО ""РУСЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-726258-2026;https://monitor-pb.ru/customer/4205000908
active;центробежный компрессор;42-ТУ-726270-2026;05.03.2026;4205000908;"КАО ""АЗОТ""";"На техническое устройство «Компрессор центробежный ЦК 135/8» поз. № ВК-М21Б, применяемое на опасном производственном объекте ""Площадка установки получения кислорода и азота методом глубокого охлаждения атмосферного воздуха с последующей его ректификацией"", рег.№А68-00013-0017, III класс опасности"", ЦГС УГС, эксплуатирующая организация КАО ""Азот""";ТУ;7017216956;"ООО ""РУСЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-726270-2026;https://monitor-pb.ru/customer/4205000908
active;центробежный компрессор;34-ТУ-19521-2025;29.08.2025;3435900186;"АО ""ВТЗ""";техническое устройство: Компрессор центробежный К-500-61-5, зав. № 9127, инв. 140127, ККУ, ЭНЦ-2. ОПО – Установка воздухоразделительная Энергетического цеха № 2, рег. № А39-00790-0007, III класс опасности. АО «Волжский трубный завод», Волгоградская область, город Волжский, проспект Металлургов, дом 6. М-ТУ-0297-2025;ТУ;3442110647;"ООО ""ИТЦ ""СЕРТИФИКАЦИЯ""";соответствует;https://monitor-pb.ru/conclusion/34-%D0%A2%D0%A3-19521-2025;https://monitor-pb.ru/customer/3435900186
active;центробежный компрессор;42-ТУ-726248-2026;05.03.2026;4205000908;"КАО ""АЗОТ""";"На техническое устройство «Компрессор центробежный К-905-61-1» ВК-4 (включая элементы маслосистемы), применяемое на опасном производственном объекте ""Площадка установки получения кислорода и азота методом глубокого охлаждения атмосферного воздуха с последующей его ректификацией"", рег.№А68-00013-0017, III класс опасности"", ЦГС УГС, эксплуатирующая организация КАО ""Азот""";ТУ;7017216956;"ООО ""РУСЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-726248-2026;https://monitor-pb.ru/customer/4205000908
active;центробежный компрессор;53-ТУ-02581-2025;11.02.2025;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 32ВЦ-100/9 М1, Технологический индекс ЦК-1, зав. №94001, инв. №36110 Применяемое на опасном производственном объекте: «Участки цеха Энергопроизводства», рег. номер: №А53-00301-0078 – I класс опасности, цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС-7);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-02581-2025;https://monitor-pb.ru/customer/6330000553
active;центробежный компрессор;53-ТУ-02691-2025;12.02.2025;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 32ВЦ-100/9 М1, Технологический индекс ЦК-3, зав. №93035, инв. №36112, применяемое на опасном производственном объекте:«Участки цеха Энергопроизводства», рег. номер: №А53-00301-0078 – I класс опасности, цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС-7);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-02691-2025;https://monitor-pb.ru/customer/6330000553
active;центробежный компрессор;53-ТУ-08852-2025;19.05.2025;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 32ВЦ-100/9 М1, Технологический индекс ЦК-2, зав. №93030, инв. №12166, применяемое на опасном производственном объекте: «Участки цеха Энергопроизводства» рег. номер: №А53-00301-0078 – I класс опасности, цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС №7);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08852-2025;https://monitor-pb.ru/customer/6330000553
active;центробежный компрессор;53-ТУ-30499-2024;29.10.2024;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 32ВЦ-100/9 М1, технологический индекс ЦК-6, зав. №94002, инв. №38880, применяемое на опасном производственном объекте: «Участки цеха Энергопроизводства», рег. номер: №А53-00301-0078 – I класс опасности, цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС-7);ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-30499-2024;https://monitor-pb.ru/customer/6330000553
active;центробежный компрессор;38-ТУ-422005-2025;08.12.2025;7840346335;"АО ""ГРУППА ""ИЛИМ""";Компрессор центробежный воздушный К250-61-2, зав.№ 907, инв.№ 37401040021508, опасного производственного объекта «Площадка установки получения кислорода, Иркутская область, г. Усть-Илимск» рег. №А19-07153-0095, III класс опасности Филиал АО «Группа «Илим» в г. Усть-Илимске ККЦ. Иркутская область, Усть-Илимск г., промплощадка УИ ЛПК, Правобережная часть города;ТУ;5403167763;"ФГБУ ""ЦЛАТИ ПО СФО""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-422005-2025;https://monitor-pb.ru/customer/7840346335
