inn;kluch;rol;vsego;vzyato;pochemu
7610052644;7610052644_761001001;organizator;4;4;обойдено
7610052644;7610052644_761001001;zakazchik;9;9;обойдено
5243000185;5243000185_524301001;organizator;0;0;обойдено
5243000185;5243000185_524301001;zakazchik;0;0;обойдено
7830001910;7830001910_780101001;organizator;1;1;обойдено
7830001910;7830001910_780101001;zakazchik;4;4;обойдено
7714572888;7714572888_781001001;organizator;0;0;обойдено
7714572888;7714572888_781001001;zakazchik;0;0;обойдено
5001000041;5001000041_500101001;organizator;0;0;обойдено
5001000041;5001000041_500101001;zakazchik;0;0;обойдено
7327077188;7327077188_732701001;organizator;0;0;обойдено
7327077188;7327077188_732701001;zakazchik;0;0;обойдено
1653006666;1653006666_166001001;organizator;0;0;обойдено
1653006666;1653006666_166001001;zakazchik;0;0;обойдено
2012006949;2012006949_201201001;organizator;0;0;обойдено
2012006949;2012006949_201201001;zakazchik;0;0;обойдено
8401005730;8401005730_245702001;organizator;0;0;обойдено
8401005730;8401005730_245702001;zakazchik;0;0;обойдено
8401005730;8401005730_840101001;organizator;0;0;обойдено
8401005730;8401005730_840101001;zakazchik;0;0;обойдено
7703647595;7703647595_770301001;organizator;0;0;обойдено
7703647595;7703647595_770301001;zakazchik;0;0;обойдено
7721632827;7721632827_365143004;organizator;0;0;обойдено
7721632827;7721632827_365143004;zakazchik;0;0;обойдено
7721632827;7721632827_390943002;organizator;0;0;обойдено
7721632827;7721632827_390943002;zakazchik;0;0;обойдено
7721632827;7721632827_691643001;organizator;0;0;обойдено
7721632827;7721632827_691643001;zakazchik;0;0;обойдено
7721632827;7721632827_663943002;organizator;0;0;обойдено
7721632827;7721632827_663943002;zakazchik;0;0;обойдено
7721632827;7721632827_997650001;organizator;0;0;обойдено
7721632827;7721632827_997650001;zakazchik;0;0;обойдено
7721632827;7721632827_772643004;organizator;0;0;обойдено
7721632827;7721632827_772643004;zakazchik;0;0;обойдено
7721632827;7721632827_365143001;organizator;0;0;обойдено
7721632827;7721632827_365143001;zakazchik;0;0;обойдено
7721632827;7721632827_472643003;organizator;0;0;обойдено
7721632827;7721632827_472643003;zakazchik;0;0;обойдено
7721632827;7721632827_772543002;organizator;0;0;обойдено
7721632827;7721632827_772543002;zakazchik;0;0;обойдено
7721632827;7721632827_870043001;organizator;0;0;обойдено
7721632827;7721632827_870043001;zakazchik;0;0;обойдено
7721632827;7721632827_463443001;organizator;0;0;обойдено
7721632827;7721632827_463443001;zakazchik;0;0;обойдено
7721632827;7721632827_614343002;organizator;0;0;обойдено
7721632827;7721632827_614343002;zakazchik;0;0;обойдено
7721632827;7721632827_772101001;organizator;0;0;обойдено
7721632827;7721632827_772101001;zakazchik;0;0;обойдено
7721632827;7721632827_511743001;organizator;0;0;обойдено
7721632827;7721632827_511743001;zakazchik;0;0;обойдено
7721632827;7721632827_472643001;organizator;0;0;обойдено
7721632827;7721632827_472643001;zakazchik;0;0;обойдено
7721632827;7721632827_643943001;organizator;0;0;обойдено
7721632827;7721632827_643943001;zakazchik;0;0;обойдено
7721632827;7721632827_672443001;organizator;0;0;обойдено
7721632827;7721632827_672443001;zakazchik;0;0;обойдено
7721632827;7721632827_870343001;organizator;0;0;обойдено
7721632827;7721632827_870343001;zakazchik;0;0;обойдено
2902059091;2902059091_997850001;organizator;448;448;обойдено
2902059091;2902059091_997850001;zakazchik;448;448;обойдено
2902059091;2902059091_231702001;organizator;0;0;обойдено
2902059091;2902059091_231702001;zakazchik;0;0;обойдено
2902059091;2902059091_997850001-deleted;organizator;0;0;обойдено
2902059091;2902059091_997850001-deleted;zakazchik;0;0;обойдено
2902059091;2902059091_290201001;organizator;42;42;обойдено
2902059091;2902059091_290201001;zakazchik;45;45;обойдено
6623029538;6623029538_220943001;organizator;0;0;обойдено
6623029538;6623029538_220943001;zakazchik;0;0;обойдено
