inn;predpriyatie;nomer;predmet;zakazchik;summa;data;stadiya;ssylka
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110805373;32110805373 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32110805373/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110642564;"Выполнение работ по реконструкции сети напорной канализации НК1, НК2 Ду 300 мм по ул. Инженерная ( 1 этап) на объекте: ""Сооружение: сети канализации жилой и промышленной зоны речного порта""";;;;;https://www.roseltorg.ru/procedure/32110642564/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110642564;32110642564 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32110642564/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110291197;Поставка горюче-смазочных материалов и автохимии;;;;;https://www.roseltorg.ru/procedure/32110291197/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110291197;32110291197 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32110291197/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110170272;Оказание услуг по техническому обследованию сетей холодного водоснабжения и водоотведения;;;;;https://www.roseltorg.ru/procedure/32110170272/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110170272;32110170272 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32110170272/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110158217;Поставка кругов отрезных и шлифовальных;;;;;https://www.roseltorg.ru/procedure/32110158217/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32110158217;32110158217 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32110158217/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009762803;Поставка запорной арматуры (клапаны обратные);;;;;https://www.roseltorg.ru/procedure/32009762803/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009762803;32009762803 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009762803/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009707210;Поставка препарата для дезинвазии сточных вод и осадков;;;;;https://www.roseltorg.ru/procedure/32009707210/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009707210;32009707210 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009707210/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009643475;Поставка поверочной установки переносной УПСЖ 5П (или эквивалент).;;;;;https://www.roseltorg.ru/procedure/32009643475/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009643475;32009643475 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009643475/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009485017;Поставка преобразователей частоты;;;;;https://www.roseltorg.ru/procedure/32009485017/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009485017;32009485017 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009485017/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009470577;Поставка запорной арматуры с хранением на складе Заказчика;;;;;https://www.roseltorg.ru/procedure/32009470577/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009470577;32009470577 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009470577/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009403752;Поставка автоматических выключателей;;;;;https://www.roseltorg.ru/procedure/32009403752/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009403752;32009403752 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009403752/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009261442;Поставка системы хранения данных;;;;;https://www.roseltorg.ru/procedure/32009261442/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009261442;32009261442 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009261442/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009204672;"Выполнение работ по реконструкции ограждения объекта ""Благоустройство и проезды 8А промузла""";;;;;https://www.roseltorg.ru/procedure/32009204672/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009204672;32009204672 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009204672/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009177332;"Выполнение работ по реконструкции РУ-0,4 кВ объекта ""Здание КНС-7 (12) пр. Комсомольский"".";;;;;https://www.roseltorg.ru/procedure/32009177332/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009177332;32009177332 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009177332/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009111285;"Выполнение работ по реконструкции участка водовода от ВК-19 до 3ТК-20 по пр. Ленина объекта: ""Водовод по пр. Ленина""";;;;;https://www.roseltorg.ru/procedure/32009111285/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009111285;32009111285 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009111285/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009084027;Поставка электрооборудования и электроустановочной продукции;;;;;https://www.roseltorg.ru/procedure/32009084027/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009084027;32009084027 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009084027/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009076289;Поставка электрооборудования и электроустановочной продукции;;;;;https://www.roseltorg.ru/procedure/32009076289/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32009076289;32009076289 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32009076289/1
