nomer;data_reg;data_konec;deklarant;izgotovitel;produkt;est_v_zerkale;istochnik;data_sbora
ТС N RU Д-CN.АГ73.В.46907;12.07.2016;11.07.2021;"Общество с ограниченной ответственностью ""ДС Компания""";"""FS-Elliott (Shanghai) Machinery Co., Ltd.""";Оборудование компрессорное: центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АГ73.В.46905;12.07.2016;11.07.2021;"Общество с ограниченной ответственностью ""ДС Компания""";"""FS-Elliott (Shanghai) Machinery Co., Ltd.""";Оборудование компрессорное: центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АГ73.В.46901;12.07.2016;11.07.2021;"Общество с ограниченной ответственностью ""ДС Компания""";"""FS-Elliott (Shanghai) Machinery Co., Ltd.""";Оборудование компрессорное: центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CZ.МЛ66.В.00370;08.07.2016;07.07.2021;Общество с ограниченной ответственностью «Хауден»;«Howden CKD Compressors s.r.o.»;Центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-RU.МЮ62.В.03128;27.06.2016;26.06.2021;Открытое акционерное общество «Казанский завод компрессорного машиностроения»;Открытое акционерное общество «Казанский завод компрессорного машиностроения»;Центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АИ58.В.03960;06.04.2016;05.04.2021;"Общество с ограниченной ответственностью ""ДС Компания""";"""FS-Elliott (Shaghai) Machinery Co., Ltd.""";Оборудование компрессорное: центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АИ58.В.03958;06.04.2016;05.04.2021;"Общество с ограниченной ответственностью ""ДС Компания""";"""FS-Elliott (Shaghai) Machinery Co., Ltd.""";Оборудование компрессорное: центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АИ58.В.03959;06.04.2016;05.04.2021;"Общество с ограниченной ответственностью ""ДС Компания""";"""FS-Elliott (Shaghai) Machinery Co., Ltd.""";Оборудование компрессорное: центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-DE.ГА02.А.02457;04.04.2016;03.03.2021;Публичное акционерное общество «Т Плюс»;Фирма «Atlas Copco Energas GmbH»;Газовый центробежный компрессор модель GT032T4D1 c промежуточным теплообменником, принадлежностями и запасными частями в соответствии с комплектностью поставки;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-IE.АЗ01.В.00769;29.03.2016;28.03.2021;Общество с ограниченной ответственностью «Ингерсолл-Рэнд Сервисис энд Трэйдинг»;«Ingersoll-Rand International Limited»;Центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-US.АУ40.В.17772;08.12.2015;07.12.2016;Общество с ограниченной ответственностью «Премиум Инжиниринг»;"""Ingersoll-Rand Company с/о Cameron International Corporation""";Воздушный центробежный компрессор промышленный;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АЛ32.В.07335;12.11.2015;11.11.2020;Товарищество с ограниченной ответственностью «Albery group». Свидетельство о государственной регистрации № 050740003226;«Xi’an Shaangu Power Co., Ltd»;Оборудование компрессорное: центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-IT.ЭА11.А.00066;07.08.2015;06.08.2020;Общество с ограниченной ответственностью «ДжиИ Рус»;Nuovo Pignone S.r.l.;центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-IT.АГ03.В.80611;08.07.2015;07.07.2016;Общество с ограниченной ответственностью «ПСП-Фарман»;"""RC GROUP S.p.A.""";Оборудование компрессорное: центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-DE.ОС01.В.05653;06.07.2015;05.07.2016;Общество с ограниченной ответственностью «Ведос»;"""Ing.-büro f. Vakuumtechnik""";Оборудование компрессорное: центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-CN.АГ03.В.53606;08.10.2014;07.10.2019;Общество с ограниченной ответственностью «Техконсалт», Уполномоченный представитель «Ingersoll Rand (China) Industrial Equipment Manufacturing Co., Ltd»: по договору на выполнение функций иностранного изготовителя № 63/АС от 22.04.2014 года;«Ingersoll Rand (China) Industrial Equipment Manufacturing Co., Ltd.»;Оборудование компрессорное: центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-FR.МЮ62.А.00304;02.07.2014;01.07.2015;Товарищество с ограниченной ответственностью «Тенгизшевройл»;Dresser-Rand S.A.;Центробежный компрессор модели DATUM D6R4S, серийные номера 1000291250, 1000291249;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-IT.АЛ15.А.00781;09.08.2013;07.08.2014;Общество с ограниченной ответственностью «ДжиИ Рус»;Nuovo Pignone S.p.A;"Компрессорная установка обратной закачки газа, в составе: Газовая турбина авиационного типа PGT25GT, сер. номер G08427; Центробежный компрессор модели BCL455, сер. номер C14212; Центробежный компрессор модели BCL355A, сер. номер C14213; Центробежный компрессор модели BCL306B, сер. номер C14214";НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-BE.АЛ16.А.05693;22.05.2013;21.05.2018;"ООО ""Эр Ликид""";"""Atlas Copco""";Оборудование компрессорное: трёхступенчатый центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
