inn;score;gruppa;ploshchadki
4823052555;1005.5;добыть контакт;Сбербанк-АСТ
5022037187;1005.5;добыть контакт;Сбербанк-АСТ
7842019044;1005.5;добыть контакт;Сбербанк-АСТ
7116145470;1005.5;добыть контакт;Tender.pro
7743946810;1005.5;добыть контакт;Сбербанк-АСТ
5243027892;1003.3;добыть контакт;"ТЭК-Торг; ЭТП ГПБ"
2724132118;1003.3;добыть контакт;"Портал; ЭТП ГПБ"
7201000726;1003.3;добыть контакт;ЭТП ГПБ
2635040105;1003.3;добыть контакт;ЭТП ГПБ
2365001416;1003.3;добыть контакт;"Сбербанк-АСТ; ЭТП ГПБ"
0266048970;1003.3;добыть контакт;ЭТП ГПБ
3435000932;1003.3;добыть контакт;"Сбербанк-АСТ; ЭТП ГПБ"
6165132680;1003.3;добыть контакт;ЭТП ГПБ
2633001291;1003.3;добыть контакт;ЭТП ГПБ
4223036696;1003.3;добыть контакт;ЭТП ГПБ
6615015316;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ; ТЭК-Торг"
8602016725;1003.3;добыть контакт;Росэлторг
7830000426;1003.3;добыть контакт;"Портал; Росэлторг; Сбербанк-АСТ; ТЭК-Торг"
5003063216;1003.3;добыть контакт;ЭТП ГПБ
6321280368;1003.3;добыть контакт;ЭТП ГПБ
3435900563;1003.3;добыть контакт;Tender.pro
3435900186;1003.3;добыть контакт;"Tender.pro; ТЭК-Торг"
2466114215;1003.3;добыть контакт;Tender.pro
6608001915;1003.3;добыть контакт;"Сбербанк-АСТ; ТЭК-Торг; ЭТП ГПБ"
5256049357;1003.3;добыть контакт;"ТЭК-Торг; ЭТП ГПБ"
2503022413;1003.3;добыть контакт;Сбербанк-АСТ
3006006420;1003.3;добыть контакт;ЭТП ГПБ
8608048498;1003.3;добыть контакт;"Портал; Росэлторг"
1902025326;1003.3;добыть контакт;Росэлторг
5040109194;1003.3;добыть контакт;Портал
1435219600;1003.3;добыть контакт;"ТЭК-Торг; ЭТП ГПБ"
4027001552;1003.3;добыть контакт;Сбербанк-АСТ
4250000459;1003.3;добыть контакт;ЭТП ГПБ
4705029366;1003.3;добыть контакт;ЭТП ГПБ
2700001300;1003.3;добыть контакт;"Tender.pro; Сбербанк-АСТ; ЭТП ГПБ"
1653006666;1003.3;добыть контакт;Tender.pro
2311008207;1003.3;добыть контакт;"Сбербанк-АСТ; ЭТП ГПБ"
6147005538;1003.3;добыть контакт;ЭТП ГПБ
4205375960;1003.3;добыть контакт;ЭТП ГПБ
2502035642;1003.3;добыть контакт;"Росэлторг; ЭТП ГПБ"
2801091892;1003.3;добыть контакт;ЭТП ГПБ
7721632827;1003.3;добыть контакт;Росэлторг
2511040110;1003.3;добыть контакт;"Сбербанк-АСТ; ЭТП ГПБ"
6215008716;1003.3;добыть контакт;Сбербанк-АСТ
7805025346;1003.3;добыть контакт;ТЭК-Торг
6605002100;1003.3;добыть контакт;Сбербанк-АСТ
4025020084;1003.3;добыть контакт;Сбербанк-АСТ
5260900725;1003.3;добыть контакт;ЭТП ГПБ
7716154981;1003.3;добыть контакт;ЭТП ГПБ
6901093516;1003.3;добыть контакт;"Tender.pro; Сбербанк-АСТ; ЭТП ГПБ"
5320024546;1003.3;добыть контакт;Сбербанк-АСТ
2983998001;1003.3;добыть контакт;ТЭК-Торг
8612007896;1003.3;добыть контакт;Сбербанк-АСТ
2304073741;1003.3;добыть контакт;"Портал; ЭТП ГПБ"
2310010637;1003.3;добыть контакт;"Сбербанк-АСТ; ЭТП ГПБ"
4703144282;1003.3;добыть контакт;Сбербанк-АСТ
4223030694;1003.3;добыть контакт;ЭТП ГПБ
7536064538;1003.3;добыть контакт;ЭТП ГПБ
2503026908;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ"
6612006391;1003.3;добыть контакт;Tender.pro
5944202327;1003.3;добыть контакт;"Портал; Росэлторг; ТЭК-Торг; ЭТП ГПБ"
1902017445;1003.3;добыть контакт;Tender.pro
6673091980;1003.3;добыть контакт;ЭТП ГПБ
5017046933;1003.3;добыть контакт;"Портал; Сбербанк-АСТ"
5193600346;1003.3;добыть контакт;"Портал; Сбербанк-АСТ"
1003018230;1003.3;добыть контакт;Росэлторг
6310000160;1003.3;добыть контакт;"Портал; Росэлторг"
5009046489;1003.3;добыть контакт;"Портал; Сбербанк-АСТ; ЭТП ГПБ"
6455010934;1003.3;добыть контакт;ЭТП ГПБ
7830001758;1003.3;добыть контакт;"Портал; Росэлторг"
6027014114;1003.3;добыть контакт;"Портал; Сбербанк-АСТ; ЭТП ГПБ"
6439081247;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ"
0267018087;1003.3;добыть контакт;ЭТП ГПБ
5916031750;1003.3;добыть контакт;"Tender.pro; Портал"
0274018377;1003.3;добыть контакт;ЭТП ГПБ
7725027605;1003.3;добыть контакт;"Портал; Росэлторг; Сбербанк-АСТ; ТЭК-Торг; ЭТП ГПБ"
5007088701;1003.3;добыть контакт;Сбербанк-АСТ
7715488540;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ"
5040088177;1003.3;добыть контакт;Портал
5504097128;1003.3;добыть контакт;ЭТП ГПБ
7728778215;1003.3;добыть контакт;ЭТП ГПБ
6454003331;1003.3;добыть контакт;"Сбербанк-АСТ; ЭТП ГПБ"
7751335645;1003.3;добыть контакт;"Портал; Росэлторг; ЭТП ГПБ"
7726738619;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ"
7730263904;1003.3;добыть контакт;ЭТП ГПБ
7705551779;1003.3;добыть контакт;"Портал; Росэлторг; ЭТП ГПБ"
5022030985;1003.3;добыть контакт;Портал
4221000535;1003.3;добыть контакт;"Tender.pro; ТЭК-Торг"
5250043567;1003.3;добыть контакт;"Портал; Росэлторг; ЭТП ГПБ"
5024022700;1003.3;добыть контакт;Портал
9106001900;1003.3;добыть контакт;"Портал; Росэлторг; ЭТП ГПБ"
5302001320;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ"
5034051355;1003.3;добыть контакт;Портал
6230043899;1003.3;добыть контакт;Tender.pro
9729293785;1003.3;добыть контакт;ЭТП ГПБ
7729071411;1003.3;добыть контакт;Портал
7713652964;1003.3;добыть контакт;"Портал; Сбербанк-АСТ; ТЭК-Торг"
2722010040;1003.3;добыть контакт;"Tender.pro; ЭТП ГПБ"
5004028415;1003.3;добыть контакт;Сбербанк-АСТ
7709064286;1003.3;добыть контакт;"Портал; Сбербанк-АСТ"
7720800660;1003.3;добыть контакт;Сбербанк-АСТ
1902014500;1003.3;добыть контакт;Tender.pro
8901014564;1003.3;добыть контакт;ЭТП ГПБ
7743946827;1003.3;добыть контакт;Сбербанк-АСТ
3127000014;1003.3;добыть контакт;Tender.pro
3525114733;1003.3;добыть контакт;"Портал; Росэлторг"
5050037781;1003.3;добыть контакт;Портал
5007102138;1003.3;добыть контакт;Сбербанк-АСТ
5024001482;1003.3;добыть контакт;"Портал; Сбербанк-АСТ"
7725262013;1003.3;добыть контакт;"Росэлторг; Сбербанк-АСТ"
5103070023;1003.3;добыть контакт;"Tender.pro; Портал; Росэлторг"
5256170057;1003.3;добыть контакт;Портал
7820016674;1003.3;добыть контакт;"Портал; Сбербанк-АСТ; ТЭК-Торг"
4217048100;1003.3;добыть контакт;ЭТП ГПБ
5053017550;1003.3;добыть контакт;"Портал; Сбербанк-АСТ; ЭТП ГПБ"
2352039652;1003.3;добыть контакт;ЭТП ГПБ
7712025390;1003.3;добыть контакт;ЭТП ГПБ
5007104537;1003.3;добыть контакт;Сбербанк-АСТ
6501146467;1003.3;добыть контакт;ЭТП ГПБ
7423000572;1002.0;добыть контакт;Сбербанк-АСТ
4100000668;1002.0;добыть контакт;"Портал; Росэлторг"
7709886600;1002.0;добыть контакт;"Портал; Сбербанк-АСТ"
2124009521;2055.2;звонить сегодня;"Tender.pro; Портал; Росэлторг; ТЭК-Торг; ЭТП ГПБ"
7321316986;2055.2;звонить сегодня;Tender.pro
2130230898;2055.2;звонить сегодня;"Tender.pro; Портал; Росэлторг; ЭТП ГПБ"
1650032058;2055.2;звонить сегодня;Tender.pro
7718560636;2055.2;звонить сегодня;"Tender.pro; ЭТП ГПБ"
4205003440;2055.2;звонить сегодня;"Tender.pro; ЭТП ГПБ"
7720613388;2055.2;звонить сегодня;Tender.pro
6670061296;2055.2;звонить сегодня;Tender.pro
6612005052;2055.2;звонить сегодня;"Tender.pro; Росэлторг; ЭТП ГПБ"
1006004155;2055.2;звонить сегодня;Tender.pro
2607018122;2046.9;звонить сегодня;ЭТП ГПБ
3808118560;2046.9;звонить сегодня;"Tender.pro; Портал; ТЭК-Торг; ЭТП ГПБ"
6604017216;2046.9;звонить сегодня;"Сбербанк-АСТ; ЭТП ГПБ"
4101119472;2046.9;звонить сегодня;Сбербанк-АСТ
6666003414;2046.9;звонить сегодня;Tender.pro
7730248021;2046.9;звонить сегодня;Tender.pro
5405002407;2046.9;звонить сегодня;Tender.pro
3435900531;2046.9;звонить сегодня;Tender.pro
3816031810;2046.9;звонить сегодня;Tender.pro
3803100054;2046.9;звонить сегодня;"Tender.pro; ТЭК-Торг"
2903000446;2046.9;звонить сегодня;"Tender.pro; Портал; Росэлторг; ЭТП ГПБ"
1433000147;2019.6;звонить сегодня;"Tender.pro; Сбербанк-АСТ; ТЭК-Торг; ЭТП ГПБ"
6330017980;2019.6;звонить сегодня;ТЭК-Торг
7726747370;2016.6;звонить сегодня;ЭТП ГПБ
5908007560;2016.6;звонить сегодня;"Портал; Росэлторг"
4312126856;2016.6;звонить сегодня;"Портал; Росэлторг; ТЭК-Торг"
1434031363;2016.6;звонить сегодня;Росэлторг
7701984274;2016.6;звонить сегодня;"Портал; Росэлторг; ЭТП ГПБ"
7116000066;2016.6;звонить сегодня;"Tender.pro; ЭТП ГПБ"
2631015563;2016.6;звонить сегодня;"Tender.pro; Росэлторг"
2303025270;2016.6;звонить сегодня;Tender.pro
6025001060;2016.6;звонить сегодня;"Сбербанк-АСТ; ЭТП ГПБ"
5009034660;2016.6;звонить сегодня;Портал
6665002150;2016.6;звонить сегодня;ЭТП ГПБ
1117000011;2016.6;звонить сегодня;"Tender.pro; Портал; Росэлторг"
2465102746;2016.6;звонить сегодня;"Tender.pro; ТЭК-Торг"
3809003787;2016.6;звонить сегодня;Tender.pro
4715030610;2016.6;звонить сегодня;"Tender.pro; ЭТП ГПБ"
3804039638;2016.6;звонить сегодня;Tender.pro
7722220390;2016.6;звонить сегодня;"Tender.pro; ЭТП ГПБ"
7417001747;2013.8;звонить сегодня;"Tender.pro; Росэлторг"
4221011880;2009.9;звонить сегодня;Tender.pro
4220020218;2008.3;звонить сегодня;Tender.pro
2127309097;2008.3;звонить сегодня;"Tender.pro; Росэлторг; ЭТП ГПБ"
7730248430;2008.3;звонить сегодня;Tender.pro
7705581646;2007.0;звонить сегодня;"Tender.pro; ТЭК-Торг; ЭТП ГПБ"
6027143462;2007.0;звонить сегодня;"Портал; Сбербанк-АСТ"
5038004331;2007.0;звонить сегодня;"Портал; Сбербанк-АСТ; ЭТП ГПБ"
1656025681;2007.0;звонить сегодня;Tender.pro
4217168581;2007.0;звонить сегодня;Tender.pro
2434012299;2007.0;звонить сегодня;"ТЭК-Торг; ЭТП ГПБ"
7404052938;2007.0;звонить сегодня;"Tender.pro; Сбербанк-АСТ; ЭТП ГПБ"
4253019916;2007.0;звонить сегодня;Tender.pro
2901038518;2007.0;звонить сегодня;Tender.pro
3528000597;2006.9;звонить сегодня;"Портал; Росэлторг; ТЭК-Торг"
6451122250;2006.9;звонить сегодня;"Tender.pro; Портал; Росэлторг; ЭТП ГПБ"
0277014204;2006.9;звонить сегодня;ТЭК-Торг
2624022320;2006.9;звонить сегодня;"Tender.pro; Портал; Росэлторг; ТЭК-Торг"
1627005779;2006.9;звонить сегодня;"Tender.pro; ЭТП ГПБ"
3801046700;2006.9;звонить сегодня;ТЭК-Торг
3801009466;2006.9;звонить сегодня;"Tender.pro; ТЭК-Торг"
6623029538;2006.9;звонить сегодня;Сбербанк-АСТ
1658008723;2006.9;звонить сегодня;Tender.pro
7414003633;2006.9;звонить сегодня;"Tender.pro; Портал; Росэлторг; ТЭК-Торг; ЭТП ГПБ"
0268008010;2006.9;звонить сегодня;"ТЭК-Торг; ЭТП ГПБ"
2365004375;2006.9;звонить сегодня;ТЭК-Торг
5249051203;2006.9;звонить сегодня;Росэлторг
1651025328;2006.9;звонить сегодня;"Tender.pro; ТЭК-Торг"
4823006703;2006.9;звонить сегодня;"Tender.pro; Портал; Росэлторг"
5610058025;2006.9;звонить сегодня;ЭТП ГПБ
2465000141;2004.1;звонить сегодня;"Tender.pro; ТЭК-Торг"
3445042160;2004.1;звонить сегодня;ЭТП ГПБ
0263009557;2004.1;звонить сегодня;ЭТП ГПБ
7705880068;2004.1;звонить сегодня;"Tender.pro; ТЭК-Торг; ЭТП ГПБ"
2426003607;2004.1;звонить сегодня;"Tender.pro; Росэлторг"
4701000013;2004.1;звонить сегодня;Tender.pro
7716789300;2002.5;звонить сегодня;Сбербанк-АСТ
0277077282;2002.5;звонить сегодня;"Росэлторг; ТЭК-Торг; ЭТП ГПБ"
7730263559;2002.5;звонить сегодня;ЭТП ГПБ
7417011270;2002.5;звонить сегодня;Портал
6726024309;2002.5;звонить сегодня;Tender.pro
7450001007;2002.5;звонить сегодня;ТЭК-Торг
7447010227;2002.5;звонить сегодня;Сбербанк-АСТ
