inn;predpriyatie;zapros;zapros_slabyy;vsego_po_schetchiku;nomer;nazvanie;izobretateli;imya_v_citate;privyazka;citata;ssylka
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU464121A3;Полимерная композиция;Эдвард Льюис Вайт, Эдвард Джон Августин;1;упоминание в тексте, патентообладатель не проверен;(DPE) Полиэф р-8 (MMPP)Тр.и-(н-октил-н-дбцил)-триметилат(NTM)Полиэфир высокомолекулярный(НМР)0,009Полисебацинат (HMPS) высокомолекулярный0,007 В табл. 1 нриведены составы полимерных композиций (примеры;https://patenton.ru/patent/SU464121A3
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU672867A1;Способ получения жесткого коксующегося пенополиуретана;Переплкина Н.К., Турецкий Л.В., Жданович Л.С., Есипов Е.Л.;1;упоминание в тексте, патентообладатель не проверен;". 48 вес.ч. на 100 вес.ч. фосполиола -i ff) . -:- : :- ; - V - -. ,. / - Пример 5. 36 вес.ч. полиэфи - . ра П-509; 50 Ьес.ч. фосполиола. П , . , 50 вес.ч. полиэфира ТГМ-3, 11 вес.ч. ОП-10, 1,4 вес.ч.";https://patenton.ru/patent/SU672867A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU956526A1;Состав для покрытий;Липатов Юрий Сергеевич, Шиндак Богдан Михайлович, Фабуляк Федор Григорьевич, Горин Евгений Михайлович;1;упоминание в тексте, патентообладатель не проверен;соотнсяпении 1:1:1 при 95°С на водяной бане при перемешивании на протяжении 10-15 В качестве ненасьнценной полиэфи ной смолы используют смолу марки ПЭ-246 по ТУ 6-10-т791-74 или смолу 11Э-265 по ТУ 6-19-1445-74.;https://patenton.ru/patent/SU956526A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU258582A1;СПОСОБ ПОЛУЧЕНИЯ САМОЗАТУХАЮЩЕГО ПЕНОПОЛИУРЕТАНА;М. В. Шоштаева, Ф. А. Крючков, Б. Н. Ротенберг, Е., Г. Паперна;1;упоминание в тексте, патентообладатель не проверен;изоцианата с хлоралем). Ко личество хлораля не должно превышать количества, эквивалентного и.меющимся в полиэфи ре ОН-группам, а изоцианата должно быть Ht меньще, чем необходимо по расчету для реак ции с ОН-группами;https://patenton.ru/patent/SU258582A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU1046252A1;Способ получения азотсодержащих ненасыщенных полиэфиров;Николаев Анатолий Федорович, Каркозов Валерий Гаврилович, Дворко Игорь Михайлович, Яковлев Сергей Анатольевич, Бакулина Маргарита Юльевна;1;упоминание в тексте, патентообладатель не проверен;относится к получени азотсодержащих ненасьнценных полиэфи ров, используемых в производстве стеклопластиков и заливочных компау дов. Известен способ получения полиэф ров путем взаимодействия дикарбоновых кислот;https://patenton.ru/patent/SU1046252A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU278111A1;СПОСОБ ПОЛУЧЕНИЯ СЕРУСОДЕРЖАЩИХ ПОЛИЭФИРОВ;С. И. Омельченко, О. М. Логвинова Т. Э. Безменова;1;упоминание в тексте, патентообладатель не проверен;", Н2ОО,17о (по Фишеру); S 9,1% вес 2оОО. 4 Предмет изобретения Способ получения серусодержащих полиэфи утем взаимодействия гликолей с нроизводными серусодержащих кислот, отличаю „ / расширения ассортимента";https://patenton.ru/patent/SU278111A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU559940A1;Лак;Борисюк Иван Дмитриевич, Чуйко Алексей Алексеевич, Денисенко Галина Ивановна, Костенко Владимир Михайлович, Курлюченко Борис Иванович, Григорчук Дмитрий Иванович, Хабер Николай Васильевич;1;упоминание в тексте, патентообладатель не проверен;винильными или карбоксильными группами щри следующем соотнощении компонентов, вес. %:Ненасыщенная полиэфи смолаСтиролАэросил с винильными или карбоксильными группамиСтеклянная мука или трепел Повышение адгезии;https://patenton.ru/patent/SU559940A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU926316A1;Состав для закрепления анкеров;Веселовский Роман Александрович, Куксин Анатолий Никитович, Рыжевский Михаил Ефимович, Смолянский Михаил Моисеевич, Меркин Валерий Евсеевич, Рзянкин Дмитрий Борисович;1;упоминание в тексте, патентообладатель не проверен;анкерных стержней в грунте с помощью синтетических термореактивных смол. Известен состав, включающий полиэфи ную смолу, наполнитель, инициатор и ускоритель ll. Недостатком состава является то, что он медленно;https://patenton.ru/patent/SU926316A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU132404A1;Способ получения неплавких и высокоплавких фосфорсодержащих полиэфиров;Гефтер Е.Л., Рубцова И.К.;1;упоминание в тексте, патентообладатель не проверен;колбы при перемешивании нагревают до 200°, при этом жидкий полиэфир быстро загустевает. Отвержденный полиэф |ир представляет собой коричневую смолу, «егорючую, неплавкую при нагревании до 300° (выше этой температуры;https://patenton.ru/patent/SU132404A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU808465A1;Полимербетонная смесь;Шемердяк Борис Миронович, Марусяк Роман Алексеевич, Гайворонский Анатолий Иванович, Матишак Анна Федоровна, Гуцал Петр Павлович;1;упоминание в тексте, патентообладатель не проверен;повышение рной вязкости. Указанная цель достигается тем, полимербетонная смесь, включаюненасьвденную полиэфи рную смолу, тенат кобгшьта, гидроперекись ропилбензола, макродиизоцианат, лвинилаэросил, диабазовую;https://patenton.ru/patent/SU808465A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU1406650A1;Способ изготовления моточного электрорадиоэлемента,герметизированного компаундом;Маркунас Ионас Ионович, Замалин Меер Хананович, Капланас Давид Иоселевич;1;упоминание в тексте, патентообладатель не проверен;ускоритель гюли.меризации и отвердитель. Ыапример нри герметизации трансформатора ТВС-90ГЩ11 используют полиэфи |П) компаунд при следующем со- отнон1ении компонентов, вес ч.:Поли фпрная смолаIIH-H7100Нефтена г;https://patenton.ru/patent/SU1406650A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU865872A1;Способ получения химически модифицированных полиэфиров;Кристоф Грегер, Клаус Мейер, Ханс-Густав Пренгель, Роланд Эдельманн, Айтель Хек, Вильгельм Шмидт;1;упоминание в тексте, патентообладатель не проверен;индифферентность по отношению к обычным катал1изаторам и стабилизаторам, применяемым для изготовления полиэфи ров, и их высокая термическая устойчивость, так что изготовленные полиэфиры имеют высокую степень;https://patenton.ru/patent/SU865872A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU618384A1;Композиция для получения пенопласта;Лукина Наталья Александровна, Крючков Феликс Адамович, Селиверстов Павел Иванович;1;упоминание в тексте, патентообладатель не проверен;лекулярный полиол, вспенивающий агент и катализатор, в качестве гидрокси..содержащего полиэфира содержит полиэфи с молекулярными весом 1000-6500 и с концевыми первичными гидроксильными группами, а в качестве низкомолекулярного;https://patenton.ru/patent/SU618384A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU488477A1;Способ получения сетчатого полимера;Барштейн Р.С., Деев Ю.С., Попов В.А., Серенков В.И., Перцов Л.Д., Тихомирова Н.С., Загорская З.Г., Калинина В.С., Куценко Н.И.;1;упоминание в тексте, патентообладатель не проверен;Изобретение отвосится к области пол чения полимеров, в частясс-ш сетчатых п лимеров на основе ненасыщенных полиэфи ров, используеьЯ51х в заливочных, литьевых композициях, а тмсже в канес-гое св зующего для стеклопластиков;https://patenton.ru/patent/SU488477A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU857167A1;Способ получения полиэфирной основы для магнитных дисков;Губанов Евгений Анатольевич, Жабина Вера Игоревна, Кудрявский Евгений Иванович, Пещенко Николай Васильевич;1;упоминание в тексте, патентообладатель не проверен;С в течение 2О с до коэффициента поперечной вытяжки 3,3 по окшчании термофиксации. Характеристика полиэф (фной основы, полученной по известному и предлагаемому способам, приведена в таблице. Таким образом;https://patenton.ru/patent/SU857167A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU132403A1;Способ получения термически стабильных фторсодержащих ароматических сложных полиэфиров и поликарбонатов;Гамбарян Н.П., Гордон Г.Я., Гробман Е.М., Кнунянц И.Л., Масленникова Л.И., Якубович А.Я.;1;упоминание в тексте, патентообладатель не проверен;Известен -способ получения термически стабильных , фторсодержащих ароматических сложных полиэф -иров и поликарбонатов поликонденсацией, проводимой в гетерофазных условиях и осуществляемой взаимодействием;https://patenton.ru/patent/SU132403A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU615063A1;1-Амино-2-циан-4-нитронафталин как диазосоставляющая для дисперсных красителей;Горелик Михаил Викторович, Ломзакова Вера Ивановна;1;упоминание в тексте, патентообладатель не проверен;хорошей устойчивостью к сублимации.В таблиде указаны цвета и устойчивость красок, полученньпс на полиэфи | ном волокне дисперсных красителей.Устойчивость окраски OtH, Синий с зеленым NltgH OAc) HNAC.NlCgHtiO-AC;https://patenton.ru/patent/SU615063A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU763371A1;Способ получения модифицированных полиэфиров;Ряшенцев Кирилл Владимирович, Никифоров Владимир Акимович, Андреева Тамара Васильевна, Доминикан Галина Петровна, Гуменюк Марианна Борисовна;1;упоминание в тексте, патентообладатель не проверен;синтеза, мин-255Кислотное число полиэфира 38 Вид смолы Вязкая, густаямасса.Совмещение со стиролом ( полиэфиа 83,37 г, стирола 39,6 мл). Температурасовмещения 20Время совмещения, мин5 Плотность раствора полиэфира;https://patenton.ru/patent/SU763371A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU102196A1;Способ получения пленкообразующих материалов;Жебровский В.В., Меделяновская М.А., Шостаковский М.Ф.;1;упоминание в тексте, патентообладатель не проверен;"адиИ1гноиук1, есГшццноную, (|1талрпу о и др.Для )ылучс)1ии и(1Ли.э(|1НроацеталР11 гпдl)iii;in.ii)iii.iii полиэФи )) обрабатглпатт 1т)огтым виниловым :и11иро.м (алкил, apii.i li др.) I; )|ри;ут1Т1и11г i;aTa;iiir;";https://patenton.ru/patent/SU102196A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU526627A1;Способ получения волокнообразующего полиэфира на основе щавелевой кислоты;Мисане Мария Микелевна, Деме Дзинтра Микелевна, Алкснис Арнольд Фрицевич, Сурна Янис Александрович, Айзенштейн Эмиль Михайлович, Галиуллина Фирая Каримовна, Синицын Виктор Петрович, Назмутдинова Ильгамия Хасановна, Доморацкий Александр Николаевич, Желтакова Светлана Григорьевна;1;упоминание в тексте, патентообладатель не проверен;"что, с целью повышения термоста-бильности расплава и расширения диат1азона температур переработки полиэфи ;,-а, осуществляют сополи конденсацию о.пиоэтиленг.тикольоксалата и олигоэфира гликолс. кислоты, взятых";https://patenton.ru/patent/SU526627A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU709742A1;Способ обработки полиэфирных нитей;Габдувалиева Асия Куддусовна, Овчинникова Адель Ефремовна, Окладникова Эльвира Петровна, Ратушняк Игорь Борисович, Кучер Светлана Николаевна;1;упоминание в тексте, патентообладатель не проверен;обработки полиэфирных нитей с це лью повышения адгезионных свойств их к резине. Известен способ обработки полиэф ных нитей нанесение на них состава на основе водного раствора поливинилового спирта концентрации;https://patenton.ru/patent/SU709742A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU771134A1;Композиция для получения окрашенного полиэфирного стеклопластика;Литвиненко Леонид Михайлович, Маслош Владимир Зиновьевич, Кузнецов Александр Максимович, Власова Нелли Михайловна, Белобров Анатолий Григорьевич, Попов Анатолий Федорович;1;упоминание в тексте, патентообладатель не проверен;"0,79 Парафин 0,О132 Стирол 0,647 Перекись метилэтилкетонаНафтенат кобальта Структурно-окрашенная полиэфи ;)ная смола указанной формулы А - гминогруппа; з;9,,р-1, Полиэф1фная неОстальноенасыщенная смола";https://patenton.ru/patent/SU771134A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU524827A1;Состав для покрытия изделия из дерева;Липатов Юрий Сергеевич, Фабуляк Федор Григорьевич, Шиндак Богдан Михайлович, Верес Василий Федорович, Кочерженко Олег Кириллович, Павлик Василь Остапович, Карпа Иван Алексеевич, Смолий Анна Михайловна;1;упоминание в тексте, патентообладатель не проверен;попимерофипьнооть и структурную вязкост юлимерной системы. Используют готовые растворы полиэфи малеинатов в стироле - полуфабрикатные ки серии ПЭ, Пример 1. Рецептура состава, вес.ч.: Полуфабрикатный лак;https://patenton.ru/patent/SU524827A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU605814A1;Способ получения ненасыщенных полиэфиров;Лунин Анатолий Сергеевич, Кутепов Дмитрий Федосеевич, Воробьев Борис Петрович, Неверов Анатолий Николаевич;1;упоминание в тексте, патентообладатель не проверен;присутствии 2% rt -толуолсульфокислоты (ТСК) при температуре в течение 2 ч. Физико-химические свойства полиэфи ров до и после отверждения представле ны в табл. 1 и 2. П р и м е р 2. Получение полиэфира и его;https://patenton.ru/patent/SU605814A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU1723104A1;Пластичная смазка;Николаев Василий Николаевич, Матвеева Татьяна Михайловна, Митрасов Юрий Никитич, Гумерова Кадира Зардтиновна;1;упоминание в тексте, патентообладатель не проверен;личающаяся тем, что, с целью повышения термоокислительной стабильности, смазка дополнительно содержит полиэфи - 20 руретановый олигомер и три- З-хлорэтил)- фосфат при следующем соотношении компонентов, мас.%:;https://patenton.ru/patent/SU1723104A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU1444699A1;Жидкий электрографический проявитель;Тихонов Владимир Петрович, Смрчек Владимир Алексеевич, Киселев Юрий Александрович, Вильнер Станислав Геннадьевич, Бойко Юрий Анатольевич, Лебедев Роман Александрович, Илюхин Валерий Аркадьевич, Громов Олег Васильевич, Смильгявичус Аузрис Игнович, Янкаускене Эльвира Владимировна, Бурта-Гапанович Любо;1;упоминание в тексте, патентообладатель не проверен;фталоцианиновый, желтый прозрачньй О, лак рубиновый СК и др,) замешивают: с раствором связующего ( полиэфи ) 12-гидроксисте- ариновой кислоты 12-ГСК) и модифика314тором в смеси натуральной олифы и нефтяной;https://patenton.ru/patent/SU1444699A1
0258005638;"АО ""ПОЛИЭФ""";ПОЛИЭФ;;135;SU524817A1;Способ получения отвержденных полиэфиров;Никулина Инна Георгиевна, Чикин Юрий Андреевич, Татаренко Олег Федорович, Луховицкий Владимир Исаакович;1;упоминание в тексте, патентообладатель не проверен;не отражается на светопрозрачности этих смол. .Формула изобретенияСпособ получения отвержденных полиэфи - 45 ров путем полимеризации ненасыщенных олифенилуксуснокислого аммония (6 О% конверсии).ханических;https://patenton.ru/patent/SU524817A1
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2724704C1;СПОСОБ ОПРЕДЕЛЕНИЯ ГЕОГРАФИЧЕСКОГО ПРОИСХОЖДЕНИЯ БАШКИРСКОГО БОРТЕВОГО МЕДА ПО СОСТАВУ ПЫЛЬЦЫ;Курманов Равиль Гадельевич;;упоминание в тексте, патентообладатель не проверен;Бурзянского района, и в меньшей степени на прилегающих территориях Белорецкого, Ишимбайского и Мелеузовского районов. Бурзянский бортевой мед, добываемый в государственном заповеднике «Шульган-Таш», региональном;https://patenton.ru/patent/RU2724704C1
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2288701C2;СОСТАВ ДЛЯ ЛЕЧЕНИЯ АЛЬВЕОЛИТА;Козлов Валерий Николаевич, Бондарева Ирина Абдулгалиевна, Мамцев Александр Николаевич, Байматов Валерий Нурмухаметович, Шестаков Юрий Николаевич;;упоминание в тексте, патентообладатель не проверен;прошел испытания в стоматологической поликлинике Мелеузовской ЦРБ РБ.Пример 1. Больной А., 27 лет, обратился в стоматологическую поликлинику Мелеузовской ЦРБ РБ через два дня после удаления 27 зуба верхней;https://patenton.ru/patent/RU2288701C2
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2076079C1;ВЯЖУЩЕЕ;Бабков В.В., Комохов П.Г., Каримов Н.Х., Воронин А.В., Шатов А.А., Анваров Р.А., Недосеко И.В., Ямалтдинова Л.Ф., Акзамов Ф.А.;;упоминание в тексте, патентообладатель не проверен;фосфогипс 15 20 Мелкие остатки гашения извести 4 6 В предлагаемом изобретении применялся фосфогипс Мелеузовского химического завода, предварительно нейтрализованный известковым молоком до уровня РН 6 7, который;https://patenton.ru/patent/RU2076079C1
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2179993C2;СПОСОБ ПОЛУЧЕНИЯ ДЕЭМУЛЬГАТОРА;Арасланов И.М.;;упоминание в тексте, патентообладатель не проверен;"Башнефть"" (обводненность 51%) при температуре отстоя 8oС, в примерах 8-14 - на Турнейской нефти Мелеузовского месторождения АНК ""Башнефть"" (обводненность 42%) при температуре отстоя 9oС, в примерах 15-21";https://patenton.ru/patent/RU2179993C2
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2203945C1;ШТАММ БАКТЕРИЙ PSEUDOMONAS AUREOFACIENS ДЛЯ ПОЛУЧЕНИЯ ПРЕПАРАТА ПРОТИВ ЗАБОЛЕВАНИЙ ПШЕНИЦЫ, ВЫЗЫВАЕМЫХ ГРИБНЫМИ ФИТОПАТОГЕНАМИ;Логинов О.Н., Свешникова Е.В., Силищев Н.Н., Мелентьев А.И., Галимзянова Н.Ф., Бойко Т.Ф.;;упоминание в тексте, патентообладатель не проверен;использованием штамма Pseudomonas aureofaciens 51, выделенного из образца пахотных земель, отобранного в Мелеузовском районе Республики Башкортостан. Штамм депонирован в коллекции культур Института биологии Уфимского;https://patenton.ru/patent/RU2203945C1
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2413688C2;СЫРЬЕВАЯ СМЕСЬ ДЛЯ ПОЛУЧЕНИЯ ГИПСОВОГО ВЯЖУЩЕГО И ИЗДЕЛИЙ НА ЕГО ОСНОВЕ;Шаяхметов Ульфат Шайхизаманович, Мустафин Ахат Газизьянович, Недосеко Игорь Вадимович, Васин Константин Александрович, Бабков Вадим Васильевич, Мирсаев Рамиль Нурыевич, Шаяхметов Айрат Ульфатович, Мустафин Ильдар Ахатович, Багаутдинов Наиль Явдатович;;упоминание в тексте, патентообладатель не проверен;предложенной сырьевой смеси. Предварительно подсушенные в течение 2-3 суток партии отвального фосфогипса Мелеузовского ОАО «Минудобрения» в виде отходов производства экстракционной фосфорной кислоты при необходимости;https://patenton.ru/patent/RU2413688C2
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2187525C1;СПОСОБ ИЗГОТОВЛЕНИЯ ТЕПЛОИЗОЛЯЦИОННОГО И ОГНЕЗАЩИТНОГО ПОКРЫТИЯ;Исхаков Ф.Ш., Касьянов Г.М., Глуховцев О.В., Акчурин Ш.З., Сулейманов Н.Т.;;упоминание в тексте, патентообладатель не проверен;"также увеличить прочность покрытия. Пример конкретного выполнения. Способ был опробирован на ОАО "" Мелеузовский завод строительных материалов"". Способ включает три этапа: 1. Приготовление гранулированного минерального";https://patenton.ru/patent/RU2187525C1
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2106477C1;СПОСОБ ИЗОЛЯЦИИ ВОДОНОСНЫХ ПЛАСТОВ;Шахмаев З.М., Рахматуллин В.Р., Шарипов Т.В., Муфазалов Р.Ш.;;упоминание в тексте, патентообладатель не проверен;"новизна"". Известен продукт взаимодействия фосфорной кислоты с карбамидом, выпускаемый Башкортостане, Мелеузовским химкомбинатом по ТУ 38402 123-91 под товарным названием ""Азери"" и используемый в качестве ингибитора";https://patenton.ru/patent/RU2106477C1
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2485914C2;СПОСОБ РАННЕЙ ДИАГНОСТИКИ МАСТИТА У КОРОВ;Мамцев Александр Николаевич, Пономарев Евгений Евгеньевич, Байматов Валерий Нурмухаметович, Козлов Валерий Николаевич, Ковалец Сергей Петрович;;упоминание в тексте, патентообладатель не проверен;Техника регистрации свечения проста и занимает не более 15 минут. В условиях МУСП «Араслановский» Мелеузовского района Республики Башкортостан было исследовано молоко от 120 коров семминтальской породы в соответствии;https://patenton.ru/patent/RU2485914C2
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";МЕЛЕУЗОВСКИЕ;;12;RU2235707C2;СПОСОБ ПОЛУЧЕНИЯ ОРГАНОМИНЕРАЛЬНОГО УДОБРЕНИЯ;Мирзаянов Д.М., Габдуллина Ф.Г., Молчанов Ю.И., Баранов А.М., Хадыев И.Р.;;упоминание в тексте, патентообладатель не проверен;Башкортостан) и испытаны в полевых условиях на технических культурах в хозяйстве им. Салавата Мелеузовского района. Исследовалось влияние удобрений на урожайность и качество продукции и на агрохимические;https://patenton.ru/patent/RU2235707C2
