tip;id;predmet;zakazchik;cena;url_kartochki;kontaktnoe_lico;istochnik;data_sbora
Закупка по потребностям;6054760;Поставка компрессора;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 97 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ""ПЛАНЕТА ДЕТСТВА""";22 990,00 ₽;https://zakupki.mos.ru/need/6054760;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;10194174;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;Государственное бюджетное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники» (ИНН: 7718059719);443 666,68 ₽;https://zakupki.mos.ru/auction/10194174;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;5981311;Поставка компрессора;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИНАНСОВО-ПРОЕКТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ МОСКОВСКОЙ ОБЛАСТИ""";512 885,34 ₽;https://zakupki.mos.ru/need/5981311;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
B2B-закупка;5949521;Компрессоры воздушные;"ООО ""ВК""";Не определена;https://zakupki.mos.ru/need/5949521;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;10136482;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево» (ИНН: 7728866101);136 460,00 ₽;https://zakupki.mos.ru/auction/10136482;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
B2B-закупка;5913253;Компрессор TRK5480YTZ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";Не определена;https://zakupki.mos.ru/need/5913253;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;10117689;Лопатка для компрессора;Государственное бюджетное учреждение города Москвы по эксплуатации высотных административных и жилых домов районов Донского, Чертаново Северное (ИНН: 9726094132);944,00 ₽;https://zakupki.mos.ru/auction/10117689;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;5647282;Поставка компрессора;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАДЫМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";20 000,00 ₽;https://zakupki.mos.ru/need/5647282;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;10024079;Демонтаж компрессоров;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой» (ИНН: 7743018900);50 000,00 ₽;https://zakupki.mos.ru/auction/10024079;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9969836;Компрессор поршневой;Государственное бюджетное учреждение города Москвы «Жилищник района Солнцево» (ИНН: 7729466410);63 107,33 ₽;https://zakupki.mos.ru/auction/9969836;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
