inn;chem_dokazano;ssylka;citata_golova;sreda_bylo;sreda_po_stroke;pochemu
0255010527;заключение ЭПБ № 41-ТУ-21324-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21324-2017;Буферная емкость нагнетания 3 ступени, зав.№32, рег.№45-з, установленная на азотно-кислородной станции;газ или иная среда;vozduh;слово машины: «кислородной станци»
0255017547;заключение ЭПБ № 41-ЗС-79529-2024;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-79529-2024;6224-ТТ-09/24. Трубопровод «Линия (70/10, 70/11) углеводородного конденсата от Т-120 и С-101 в Е-113», рег.№Н-49, смонти;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0258005638;заключение ЭПБ № 41-ТУ-04398-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-04398-2017;Фильтр этиленгликоля, техн.№ HF 21105-1A, зав.№ 4393-V43-17, рег.№ 1000-Н;среда не названа;gaz;слово машины: «этилен»
0258005638;заключение ЭПБ № 41-ЗС-25478-2024;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-25478-2024;сооружение «Трубопровод тетрабромэтана от 1,2ТD-104A к ТР-11001-1˝ (линия ТР-11014-25-1Е1ЕТ-Н)», рег. №235-101 (Площадка;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0261012138;заключение ЭПБ № 41-ТУ-41921-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-41921-2017;Сосуд-баллон для кислорода, зав. №7078, рег.№66719 (площадка хра-нения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-41945-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-41945-2017;Сосуд-баллон для кислорода, зав.№ 7132, рег.№ 66752 (площадка хране-ния кислорода, кислородная станция, ООО «Идель Нефте;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42347-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42347-2017;Сосуд-баллон для кислорода, зав. №7138, рег.№ 66756 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42349-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42349-2017;Сосуд-баллон для кислорода, зав. №7133, рег.№ 66753 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42364-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42364-2017;Сосуд-баллон для кислорода, зав. №7091, рег.№ 66723 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42367-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42367-2017;Сосуд-баллон для кислорода, зав. №7089, рег.№ 66722 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42373-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42373-2017;Сосуд-баллон для кислорода, зав. №7080, рег.№66720 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтема;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42377-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42377-2017;Сосуд-баллон для кислорода, зав. №7131, рег.№ 66751 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42382-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42382-2017;Сосуд-баллон для кислорода, зав. №7130, рег.№ 66750 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42392-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42392-2017;Сосуд-баллон для кислорода, зав. №7094, рег.№ 66725 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0261012138;заключение ЭПБ № 41-ТУ-42396-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-42396-2017;Сосуд-баллон для кислорода, зав. №7129, рег.№ 66749 (площадка хранения кислорода, кислородная станция, ООО «Идель Нефтем;газ или иная среда;vozduh;слово машины: «кислородная станци»
0262016287;заключение ЭПБ № 41-ЗС-13093-2017;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-13093-2017;"Здания кислородной станции цеха № 30, ""Площадка воздухоразделительной установки"", рег. № А41-01521-0007";газ или иная среда;vozduh;слово машины: «кислородной станци»
0262016287;заключение ЭПБ № 41-ТУ-13087-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-13087-2017;"Рампа перепускная кислородная 2х5 юаллонов зав. № 9306, ""Площадка воздухоразделительной установки"", рег. № А41-01521-000";газ или иная среда;vozduh;слово машины: «воздух»
0263009557;заключение ЭПБ № 41-ТУ-21233-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21233-2014;Центробежный компрессор К-250-61-5 поз.1 зав.№ 10 воздушно-компрессорной станции № 2 цех № 12 ВиК;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0263009557;заключение ЭПБ № 41-ТУ-95267-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-95267-2023;Заключение экспертизы промышленной безопасности на техническое устройство Агрегат компрессорный А 110-7, Поз. М-41/1, за;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0263009557;заключение ЭПБ № 41-ТУ-95269-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-95269-2023;Заключение экспертизы промышленной безопасности на техническое устройство Агрегат компрессорный А 110-1р, Поз. М-41/2, з;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ТУ-06382-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-06382-2014;Трубопровод транспортировки отдувки на 1 ступень пиро-газового турбокомпрессора М-1, Е-39 → Рег.№56195(уст.газ.), Е-39 →;среда не названа;gaz;слово машины: «газового турбокомпрессор»
0266008329;заключение ЭПБ № 41-ТУ-34420-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34420-2015;Трубопровод охлаждающей воды на концевой охладитель воздуха, центробежный компрессор К-905-61-1, поз.1, рег.№ 5К905.1.09;среда не названа;vozduh;слово машины: «воздух»
0266008329;заключение ЭПБ № 41-ТУ-34471-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34471-2015;Трубопровод охлаждающей воды на концевой охладитель воздуха, центробежный компрессор К-905-61-1, поз.2, рег. № 5.К905.2.;среда не названа;vozduh;слово машины: «воздух»
0266008329;заключение ЭПБ № 41-ТУ-34544-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34544-2015;Трубопровод охлаждающей воды на концевой охладитель воздуха, центробежный компрессор К-905-61-1 поз.3, рег. № 5.К905.3.0;среда не названа;vozduh;слово машины: «воздух»
0266008329;заключение ЭПБ № 41-ТУ-11399-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11399-2015;Аппарат воздушного охлаждения, поз. Х-1/1, зав. № 751.755.752, рег. №Н-2030, НПЗ, ц.11, уст.Л-35/11-1000;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ТУ-11402-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11402-2015;Аппарат воздушного охлаждения, поз. Х-1/2, зав. № 753. 990. 991, рег. №Н-2031, НПЗ, ц.11, уст.Л-35/11-1000;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ЗС-43802-2015;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-43802-2015;«Ж/б постамент под аппараты воздушного охлаждения поз. Е-1,2, ХК-2,4, Х-1,3, Л-35/1000, об. Н-455 цеха № 11 НПЗ, инв. № ;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ТУ-05213-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05213-2014;Трубопровод азота от фланца задвижки Ду150 №2139 на ст.17 л.84 от об.1808 (08432-150-NL), фланца задвижки Ду50 № 2139 на;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ТУ-19090-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-19090-2015;Установка производства битумов, цех № 18, НПЗ Трубопровод черного соляра от насосов Н-8/1,2 в воздушный холодильник ВХ-1;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ЗС-28940-2015;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-28940-2015;«Газовая компрессорная об. №-593», инв. №10000266, цех 11, НПЗ ОАО «Газпром нефтехим Салават»;среда не названа;gaz;слово машины: «Газовая компрессор»
0266008329;заключение ЭПБ № 41-ТУ-29694-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-29694-2016;Оборудование установки очи-стки сульфидно-щелочных стоков (блок очистки стоков от фенолов методом озонирования), (НПЗ и ;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ТУ-13150-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-13150-2016;Турбокомпрессор центробежный ЦК -100 - 61, поз. 3, зав.№ 66006, объект 269, Установка производства кислорода и азота, це;газ или иная среда;vozduh;слово машины: «производства кислород»
0266008329;заключение ЭПБ № 41-ТУ-34563-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34563-2015;Трубопровод азота от задвижки 4-2 на всас ЦНД, рег.№ 5К345.01, об. 1711, цех № 5, ГХЗ, ОАО «Газпром нефтехим Салават», г;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266008329;заключение ЭПБ № 41-ТУ-23739-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-23739-2016;Скруббер азотный, поз. 79, зав. № 621514, рег. № Н-0375 воздухоразделительная установка КА-15, зав. № 14 объект 1711, це;газ или иная среда;vozduh;слово машины: «воздух»
0266008329;заключение ЭПБ № 41-ТП-07387-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-07387-2016;Техническое перевооружение. Монтаж трубопровода подачи товарного этилена на сухие газовые уплотнения турбокомпрессора по;среда не названа;gaz;слово машины: «этилен»
0266008329;заключение ЭПБ № 41-ТП-31980-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-31980-2016;Техническое перевооружение. Монтаж трубопровода подачи товарного этилена на сухие газовые уплотнения турбокомпрессора по;среда не названа;gaz;слово машины: «этилен»
0266011265;заключение ЭПБ № 41-ЗС-07980-2016;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07980-2016;Металлическая дымовая труба Н=15, Д=400 инв. № 12 приточной вентиляционной системы подпора воздуха в эл.помещении цеха;среда не названа;vozduh;слово машины: «воздух»
0266012678;заключение ЭПБ № 41-ТУ-15324-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15324-2016;Мобильная кислородно-компрессорная станция, АО «Салаватский химический завод»;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266034255;заключение ЭПБ № 41-ТП-07498-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-07498-2016;«Устранение замечаний предписания №2471-рп/П, выданных ФСЭТАН «Техническое перевооружение. Замена насосов Н-8, Н-9, Н-18;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266036534;заключение ЭПБ № 49-ТУ-44791-2022;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-44791-2022;техническое устройство, применяемое на опасном производственном объекте «Площадка основного производства АО «Салаватский;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266036534;заключение ЭПБ № 49-ТУ-44794-2022;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-44794-2022;техническое устройство, применяемое на опасном производственном объекте «Площадка основного производства АО «Салаватский;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-37196-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37196-2022;Заключение экспертизы промышленной безопасности на технические устройства Аппараты воздухоразделительной установки блока;газ или иная среда;vozduh;слово машины: «воздух»
0266048970;заключение ЭПБ № 2-ТУ-56562-2025;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-56562-2025;Заключение № 0431 / 17 -25 экспертизы промышленной безопасности на техническое устройство центробежный компрессор марки ;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-50462-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50462-2019;Вакуумный сосуд поз. 61/2, зав. № 607196, рег. № К-0338 (Установка производства кислорода и азота (об. 1711, 1761, 1700,;газ или иная среда;vozduh;слово машины: «производства кислород»
0266048970;заключение ЭПБ № 41-ТУ-27926-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27926-2019;Вакуумный сосуд поз. 61/1, зав. № 607193, рег. № К-0339 (Установка производ-ства кислорода и азота (об. 1711, 1761, 1700;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 2-ТУ-12269-2025;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-12269-2025;Заключение № 0423 / 17 -25 экспертизы промышленной безопасности на техническое устройство центробежный компрессор марки ;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-40596-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40596-2022;Заключение экспертизы промышленной безопасности на техническое устройство маслохолодильник поз. 1, зав. № 17566, турбоко;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-43295-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-43295-2022;Заключение экспертизы промышленной безопасности на техническое устройство промхолодильник II ступени турбокомпрессора К-;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-43296-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-43296-2022;Заключение экспертизы промышленной безопасности на техническое устройство промхолодильник I ступени турбокомпрессора К-5;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-40615-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40615-2022;Заключение экспертизы промышленной безопасности на техническое устройство концевой холодильник зав. № 513, турбокомпресс;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-36091-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36091-2022;Заключение экспертизы промышленной безопасности на техническое устройство маслохолодильник поз. 3, зав. № 17568, турбоко;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-38069-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-38069-2022;Заключение экспертизы промышленной безопасности на техническое устройство маслохолодильник поз. 2, зав. № 17567, турбоко;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-09363-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09363-2019;аппарат воздушного охлаждения поз. Х-3/1, зав. № 307, 309, 310, рег. № Н-2024 (установка Л-35/11-1000, цех №11, НПЗ, ООО;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 49-ЗС-50500-2020;https://monitor-pb.ru/conclusion/49-%D0%97%D0%A1-50500-2020;Сооружение «Открытая насосная с постаментом об. Н-455 (ж/б постамент под аппараты воздушного охлаждения поз. Е-1,2, ХК-2;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 49-ТУ-54961-2020;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-54961-2020;: аппарат воздушного охлаждения поз. ХК-3/1÷6, зав. №736, 737, 738, 740, 741, 742, рег. №Н-3295 (установка каталитическо;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-03621-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-03621-2023;Заключение экспертизы промышленной безопасности на техническое устройство аппарат воздушного охлаждения поз. Х-1/1, зав.;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 2-ЗС-83298-2025;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-83298-2025;Заключение № 006/25-25 экспертизы промышленной безопасности на сооружение «Открытая насосная с постаментом об. Н-455 (ж/;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-01266-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01266-2023;Заключение экспертизы промышленной безопасности на техническое устройство аппарат воздушного охлаждения поз. Х-1/2, зав.;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТП-36238-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-36238-2018;«Техническое перевооружение. Монтаж трубопровода азота в резервуар Р-2 установки Л-35/11-1000 цеха №11», шифр 17.915-030;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-10602-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-10602-2019;аппарат воздушного охлаждения поз. Х-3/4, зав. № 10055, 10056, 748, рег. № Н-2027 (установка Л-35/11-1000, цех № 11, НПЗ;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-11253-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11253-2019;аппарат воздушного охлаждения поз. Х-3/3, зав. № 413, 414, 415, рег. № Н-2026 (установка Л-35/11-1000, цех № 11, НПЗ, ОО;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-09142-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09142-2019;аппарат воздушного охлаждения поз. Х-3/2, зав. № 308, 992, 994, рег. № Н-2025 (установка Л-35/11-1000, цех №11, НПЗ, ООО;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-09267-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09267-2019;аппарат воздушного охлаждения поз. Х-3/6, зав. № 305, 306, 754, рег. № Н-2029 (установка Л-35/11-1000, цех №11, НПЗ, ООО;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 49-ТУ-50417-2020;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-50417-2020;аппарат воздушного охлаждения поз. Х-5, зав. № 674, 675, 676, рег. № Н-3294 (установка каталитического риформинга Л-35/1;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТП-01963-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-01963-2017;Монтаж перемычки между линиями азота высокого давления рег. №11521 и азота высокого давления 60 рег. №11535 установки Л-;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-11335-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11335-2019;Аппарат воздушного охлаждения поз. Х-3/5, зав. № 416, 417, 418, рег. № Н-2028 (установка Л-35/11-1000, цех № 11, НПЗ, ОО;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 2-ЗС-616404-2026;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-616404-2026;ЗАКЛЮЧЕНИЕ № ЗЭ-ГНС-207/21-25 экспертизы промышленной безопасности здания и сооружения на опасном производственном объек;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ЗС-05170-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-05170-2022;Заключение экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенног;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ЗС-26992-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-26992-2022;трубопровод черного соляра от насосов Н-8/1,2 в воздушный холодильник ВХ-1/1,2, рег. № 14-540;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-58607-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-58607-2020;воздушный холодильник поз. ВХ-1, зав. № 5227, установка КиФГ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-37039-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37039-2020;воздушный холодильник, поз. ВХ-12, зав. № 3610, установка КК-2, цех № 10, НПЗ, ООО «Газпром нефтехим Салават», г. Салава;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТП-38195-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-38195-2020;«Техническое перевооружение. Увеличение переработки углеводородного сырья» ООО «Газпром нефтехим Салават», шифр 05766575;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТП-76631-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-76631-2022;Техническое перевооружение. Увеличение переработки углеводородного сырья» «Площадка основного производства ООО «Газпром ;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-26296-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26296-2020;воздушный холодильник, поз. ВХ-8/5, зав. № 1459, установка КК-2, цех № 10, НПЗ, ООО «Газпром нефтехим Салават», г. Салав;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-26671-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26671-2020;воздушный холодильник, поз. ВХ-8/10, зав. № 1464, установка КК-2, цех № 10, НПЗ, ООО «Газпром нефтехим Салават», г. Сала;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-26800-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26800-2020;воздушный холодильник поз. ВХ-8/3, зав. № 1355, установка КК-2, цех № 10, НПЗ, ООО «Газпром нефтехим Салават», г. Салава;воздух;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ТУ-52347-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-52347-2019;Ресивер воздуха, позиционный № Е-41, заводской № 13472, регистрационный № 46258, установка ОГиКГ, цех № 8, НПЗ, ООО «Газ;среда не названа;vozduh;слово машины: «воздух»
0266048970;заключение ЭПБ № 41-ТУ-63152-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-63152-2019;трубопровод подачи воздуха КИП на площадку «Б», рег. № 46-426, площадка «Б», ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г;среда не названа;vozduh;слово машины: «воздух»
0266048970;заключение ЭПБ № 41-ЗС-33401-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-33401-2021;«Здание газовой компрессорной об. 349, инв. № 10000431, цех № 5, Производственное управление», ООО «Газпром нефтехим Сал;среда не названа;gaz;слово машины: «газовой компрессор»
0266048970;заключение ЭПБ № 41-ЗС-34417-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-34417-2021;«Здание кислородного блока об. 270 инв. № 10000469, цех № 5, Производственное управление» ООО «Газпром нефтехим Салават»;газ или иная среда;ne_ustanovleno;в голове цитаты слов среды нет
0266048970;заключение ЭПБ № 41-ЗС-34436-2019;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-34436-2019;«Воздушная компрессорная об. 1147», УПС, ТСЦ завод «Мономер», инв. №10000563 ООО «Газпром нефтехим Салават»;воздух;ne_ustanovleno;в голове цитаты слов среды нет
