zapros;polezno;kategoria;mash_slovo;srok;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
ротор компрессора;да;машина;да;истёк;43-ТУ-04831-2015;06.07.2015;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 11007, центробежного нагнетателя Н-196-1,45, ГПА №8, ГКС-4 «Арская», Шеморданское ЛПУМГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04831-2015;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;истёк;43-ТУ-04835-2015;06.07.2015;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";: ротор, зав. №74881, центробежного нагнетателя PCL-804/2-36, ГПА №2, ГКС-21-1, Шеморданское ЛПУМГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04835-2015;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;истёк;43-ТУ-10000-2015;09.10.2015;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";: ротор, зав. № 0005Р, центробежного нагнетателя Н-196-1,45, ГПА №7, ГКС-4 «Арская», Шеморданское ЛПУМГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-10000-2015;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;истёк;41-ТУ-03374-2020;03.02.2020;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 с ротором зав. № 6941, станц. № 24, инв. № 080850, КС-18 Москово;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-03374-2020;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;действует;41-ТУ-24622-2023;12.04.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБН тип Н-370-18-1 зав. № 6944, ст. № 25, инв. № 080850;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24622-2023;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТУ-50609-2014;22.12.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";ротор центробежного компрессора типа Н-370-18-1 зав. № 8521711 ст. № 24, установленный на КС-17Полянского ЛПУМГ ООО «Газпром трансгаз Уфа»;ТУ;7701570026;"ООО ""НПП ""Энергопромсервис""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50609-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-60155-2019;16.12.2019;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК с ротором тип Н-370-18-1 зав. № 6770, станц. № 25, инв. № 081063, КС-19 Шаран;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-60155-2019;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;43-ТУ-04022-2014;17.04.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор зав. № 9084Р центробежного нагнетателя Н-196-1,45 ГПА № 9, ГКС-4 «Арская», Шеморданское ЛПУ МГ ООО «Газпром Трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04022-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;43-ТУ-04024-2014;17.04.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 1101Р, центробежного нагнетателя Н-196-1,45, ГПА № 10, ГКС-4 «Арская», Шеморданское ЛПУ МГ ООО «Газпром Трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04024-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;истёк;43-ТУ-04836-2015;06.07.2015;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 96108551, центробежного нагнетателя Н-235-28-1, ГПА №1, цех№2 «Уренгой-Центр1», Шеморданское ЛПУМГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04836-2015;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;истёк;41-ТУ-02134-2021;21.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-235-21-1 зав. № 7043 и ротора зав. № 3413, станц. № 33, инв. № 081065, КС-19А;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02134-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-02319-2021;22.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 6945 и ротор зав. № 2236, станц. № 26, инв. № 080842, КС-18;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02319-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-05805-2021;04.02.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-235-21-1 зав. № 7223 и ротора зав. № 4231, станц. № 37, инв. № 081065, КС-19А;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05805-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истекает;41-ТУ-15704-2022;21.03.2022;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН типа Н-235-21-1 зав. № 7046 и ротор зав. № 7224, станц. № 38, КС-19А, инв. № 081065;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15704-2022;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-64098-2019;25.12.2019;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБК тип Н-235-21-1 ГПА-5 зав. № 7045, станц. № 35, инв. № 081065, КС-19А;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-64098-2019;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;43-ТУ-10001-2015;09.10.2015;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 108651/531484, центробежного нагнетателя Н-235-28-1, ГПА №5, цех№2 «Уренгой-Центр1», Шеморданское ЛПУМГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-10001-2015;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;41-ТУ-01281-2014;29.01.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";центробежный компрессор типа Н-370-18-1 с ротором, заводской № 6768, станционный № 23, установленного на КС-19 Шаранского ЛПУМГ ООО «Газпром трансгаз Уфа»;ТУ;0276081462;"ООО НПК ""ДИАКОНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01281-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТУ-01282-2014;29.01.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";центробежный компрессор типа Н-370-18-1 с ротором, заводской № 0021, станционный № 15, установленного на КС-6 Шаранского ЛПУМГ ООО «Газпром трансгаз Уфа»;ТУ;0276081462;"ООО НПК ""ДИАКОНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01282-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-01331-2021;19.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 6769 и ротор зав. № 119, станц. № 21, инв. № 081063, КС-19 Шаран;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01331-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТУ-55573-2018;19.12.2018;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) типа ЦБК-Н-370-18-1 с ротором, зав. № 6944, инв. №80850, ст. №25 КС-18 «Москово» Дюртюлинского ЛПУМГ;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-55573-2018;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;43-ТУ-10880-2014;27.10.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";Ротор, зав. № 12, центробежного нагнетателя Н-196-1,45, ГПА№4, ГКС-4, «Арская»,эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-10880-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;43-ТУ-12072-2014;25.11.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";Ротор, зав. № 206, центробежного нагнетателя Н-196-1,45, ГПА№9, ГКС-4, «Арская», эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-12072-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;истёк;22-ТУ-21333-2015;11.09.2015;5321029508;"ПАО ""АКРОН""";ротор осевого компрессора турбины низкого давления 1405.125 СБР, зав. № 10069/35478/30 комплексного машинного агрегата КМА-2М № 2, установленный в цехе азотной кислоты (отделение 2);ТУ;7813012206;"ЗАО ""НПФ ""Невинтермаш""";соответствует;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-21333-2015;https://monitor-pb.ru/customer/5321029508
ротор компрессора;да;машина;да;истёк;41-ТУ-05810-2021;04.02.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 6259 и ротор зав. № 0376, станц. № 13, инв. № 341987, КС-5 Дюртюлинского ЛПУМГ;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05810-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;действует;41-ТУ-15116-2023;02.03.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН тип Н-370-18-1 зав. №7073 и ротора зав. № 7073 ГПА ст. №32, инв. № 080938;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15116-2023;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истекает;41-ТУ-24056-2021;19.05.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-235-21-1 зав. № 7042 и ротора зав. № 232, станц. № 32, инв. № 081065, КС-19А Шаранского ЛПУМГ;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24056-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТП-38003-2021;05.08.2021;0274051582;"ПАО АНК ""БАШНЕФТЬ""";«Установка 1А/1М. Замена приборов осевого сдвига ротора на компрессорах ЦК-1, ЦК-2» Газокаталитическое производство Филиал ПАО АНК «Башнефть» «Башнефть-Уфанефтехим» шифр 67826502-У9116-921/1;ТП;0266052409;"ООО ""БАШПРОМЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-38003-2021;https://monitor-pb.ru/customer/0274051582
ротор компрессора;да;машина;да;истёк;41-ТУ-01551-2021;20.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 7060 и ротор зав. № б/н, ст. № 23, инв. № 080952, КС-17 Полянского ЛПУМГ.;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01551-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-01735-2021;20.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 6780 и ротор зав. № б/н, ст. № 21, инв. № 080952, КС-17 Полянского ЛПУМГ.;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01735-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-15131-2023;02.03.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБН тип Н-370-18-1 зав. №7086 и ротор зав. № 21-13 ГПА ст. №34, инв. № 080938;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15131-2023;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;43-ТУ-10877-2014;27.10.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 0110494, центробежного нагнетателя PCL-804/2-36, ГПА№3, цех «Уренгой-Центр2», ГКС-21-1, эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-10877-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;43-ТУ-12055-2014;25.11.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 75545, центробежного нагнетателя PCL-804/2-36, ГПА№1, цех «Уренгой-Центр2», ГКС-21-1, эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-12055-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;действует;41-ТУ-01483-2021;19.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 5541 и ротор тип СПЧ 370-76-1,24 зав. № б/н, ст. № 6, инв. № 081088;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01483-2021;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;67-ТУ-00585-2014;05.02.2014;3801009466;"АО ""АНХК""";на Ротор центробежного компрессора К-500-61-1, поз.№ 5, установленный на объекте 1740 цеха 12/44, Химический завод ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г. Ангарск Иркутской области.;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00585-2014;https://monitor-pb.ru/customer/3801009466
ротор компрессора;да;машина;да;действует;41-ТУ-72285-2022;22.11.2022;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";Заключение экспертизы промышленной безопасности на техническое устройство, применяемое на опасном производственном объекте: Корпус и ротор центробежного нагнетателя (компрессора) ЦБН типа НЦ-16/56 зав. № 3, станц. № 35, инв. № 214999;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72285-2022;https://monitor-pb.ru/customer/8904034784
ротор компрессора;да;машина;да;действует;41-ТУ-72292-2022;22.11.2022;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";Заключение экспертизы промышленной безопасности на техническое устройство, применяемое на опасном производственном объекте: Корпус и ротор центробежного нагнетателя (компрессора) ЦБН типа НЦ-16/76 зав. № 268, станц. № 41, инв. № 216699;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72292-2022;https://monitor-pb.ru/customer/8904034784
ротор компрессора;да;машина;да;не указан;43-ТУ-07645-2014;20.08.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ротор, зав. № 960003 5170, центробежного нагнетателя Н-650-23-1, ГПА№3, инв. 9000003006, цех «Уренгой-Ужгород», ГКС-21-1, эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-07645-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;43-ТУ-05862-2014;26.06.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";На техническое устройство: ротор, зав. № 637, центробежного нагнетателя Н-235-28-1, ГПА№2, цех№2 «Уренгой-Центр1», ГКС-21-1, эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-05862-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;43-ТУ-05866-2014;26.06.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";На техническое устройство: ротор, зав. № 108651, центробежного нагнетателя Н-235-28-1, ГПА№3, цех№2 «Уренгой-Центр1», ГКС-21-1, эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-05866-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;не указан;43-ТУ-09364-2014;25.09.2014;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";На техническое устройство: ротор, зав. № 9600865169, центробежного нагнетателя Н-650-23-1, ГПА№2, инв. 900129574, цех «Уренгой-Ужгород», ГКС-21-1, эксплуатирующийся в Шеморданском ЛПУ МГ ООО «Газпром трансгаз Казань»;ТУ;1659032454;"ЗАО ""НПП ""Компрессор""""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-09364-2014;https://monitor-pb.ru/customer/1600000036
ротор компрессора;да;машина;да;действует;19-ТУ-15248-2021;05.10.2021;7813012206;"АО ""НПФ ""НЕВИНТЕРМАШ""";техническое устройство, применяемое на опасном производственном объекте: модернизированный центробежный компрессор ТКV-324 поз. ТК-101 зав.№ 109/1 (корпус компрессора зав. №109.001/1, ротор зав. №109.025/1, редуктор зав. №109.329/1, система смазки зав. №109.074.1), принадлежащий ПАО «Славнефть-ЯНОС»;ТУ;7721776018;"ООО ""РУСНЕФТЕПРОЕКТ-МСК""";соответствует;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-15248-2021;https://monitor-pb.ru/customer/7813012206
