ploshchadka;zapros;naydeno;status;primer;slova_v_vydache;url;oshibka
ТЭК-Торг 223-ФЗ;воздуходувка;46;200;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ИРКУТСКАЯ БАЗА АВИАЦИ / ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПР";воздуходу:13;https://www.tektorg.ru/223-fz/procedures?name=%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;
ТЭК-Торг 223-ФЗ;турбовоздуходувка;3;200;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";турбовоздуходу:3;https://www.tektorg.ru/223-fz/procedures?name=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;
ТЭК-Торг 223-ФЗ;ЦНД;7;200;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮНИПРО"" / АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИЛОВЫЕ МАШИНЫ - ЗТЛ, ЛМЗ, ЭЛЕКТРОСИЛА, ЭНЕРГОМА / ПУБЛИ";цнд:8;https://www.tektorg.ru/223-fz/procedures?name=%D0%A6%D0%9D%D0%94;
ТЭК-Торг 223-ФЗ;компрессорная установка;68;200;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛ5-ЭНЕРГО"" / САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО Э / П";компрессор:14 устано:20;https://www.tektorg.ru/223-fz/procedures?name=%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%B0%D1%8F%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0;
ТЭК-Торг, секция Роснефти;центробежный компрессор;0;200;;центробеж:0 компрес:0;https://www.tektorg.ru/rosneft/procedures?name=%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%BE%D0%B1%D0%B5%D0%B6%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;площадка написала «ничего не найдено»
ТЭК-Торг, секция Роснефти;нагнетатель;0;200;;нагнетат:0;https://www.tektorg.ru/rosneft/procedures?name=%D0%BD%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D1%8C;площадка написала «ничего не найдено»
ТЭК-Торг, секция Роснефти;турбокомпрессор;0;200;;турбокомпрес:0;https://www.tektorg.ru/rosneft/procedures?name=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;площадка написала «ничего не найдено»
ТЭК-Торг, секция Роснефти;воздуходувка;0;200;;воздуходу:0;https://www.tektorg.ru/rosneft/procedures?name=%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;площадка написала «ничего не найдено»
ТЭК-Торг, секция Роснефти;турбовоздуходувка;0;200;;турбовоздуходу:0;https://www.tektorg.ru/rosneft/procedures?name=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;площадка написала «ничего не найдено»
ТЭК-Торг, секция Роснефти;ЦНД;1;200;"ООО ""Башнефть-строй""";цнд:0;https://www.tektorg.ru/rosneft/procedures?name=%D0%A6%D0%9D%D0%94;
ТЭК-Торг, секция Роснефти;компрессорная установка;1;200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРАМПУРНЕФТЕГАЗ""";компрессор:1 устано:2;https://www.tektorg.ru/rosneft/procedures?name=%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%B0%D1%8F%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0;
Фабрикант;центробежный компрессор;329;200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСКАЯ АЭС-СЕРВИС"" / АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВЭЛ-СТРОЙ"" / АКЦИОНЕРНОЕ ОБЩЕСТВО";центробеж:0 компрес:0;https://www.fabrikant.ru/procedure/search?query=%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%BE%D0%B1%D0%B5%D0%B6%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;
Фабрикант;нагнетатель;871;200;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТАНЦИЯ СКОРОЙ М / ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСК";нагнетат:1;https://www.fabrikant.ru/procedure/search?query=%D0%BD%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D1%8C;
Фабрикант;турбокомпрессор;814;200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСКАЯ АЭС-СЕРВИС"" / АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСПЕЦТРАНС"" / ОБЩЕСТВО С ОГРАНИ";турбокомпрес:0;https://www.fabrikant.ru/procedure/search?query=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;
Фабрикант;воздуходувка;490;200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНИНСКАЯ АЭС-СЕРВИС"" / АО ""ОКБМ АФРИКАНТОВ"" / АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВЭЛ-СТ";воздуходу:3;https://www.fabrikant.ru/procedure/search?query=%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;
Фабрикант;турбовоздуходувка;32;200;"ООО ""ТЕПЛОСЕТЬ"" / ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА"" / Акционерное общество «Кольское предприя";турбовоздуходу:10;https://www.fabrikant.ru/procedure/search?query=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;
Фабрикант;ЦНД;216;200;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСТРОЙЭКСПОРТ"" / АО ""Завод ""Киров-Энергомаш""";цнд:11;https://www.fabrikant.ru/procedure/search?query=%D0%A6%D0%9D%D0%94;
Фабрикант;компрессорная установка;764;200;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПЕРМСКОГО КРАЯ ""УПРАВЛЕНИЕ ГОСУДАР / ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕНИН";компрессор:4 устано:4;https://www.fabrikant.ru/procedure/search?query=%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%B0%D1%8F%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0;
