inn;predpriyatie;na_chem_derzhitsya;priznak_chuzhoy_mashiny;marki;tip_mashiny;predmet;citata
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0268008010;"АО ""БСК""";слово доказывает;да;GM 7L | М-1402;вихревая или роторная воздуходувка, принцип не центробежный;;
0268008010;"АО ""БСК""";слово доказывает;да;GM 7L | М-1402;вихревая или роторная воздуходувка, принцип не центробежный;;
0268008010;"АО ""БСК""";слово доказывает;да;М-1602/2,;вихревая или роторная воздуходувка, принцип не центробежный;;
0268008010;"АО ""БСК""";слово доказывает;да;М-1602/1,;вихревая или роторная воздуходувка, принцип не центробежный;;
0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0276100884;АО БАШСПИРТ;слово доказывает;да;GM 37-8D;вихревая или роторная воздуходувка, принцип не центробежный;;
0277014204;"ПАО ""УФАОРГСИНТЕЗ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА""";слово доказывает;да;ВЦ4-70 | ВР 86-77-5 | ВР 300-45-2,5 | ВР 300-45-2,0;вихревая или роторная воздуходувка, принцип не центробежный;;
0277969476;"АКЦИОНЕРНОЕ ОБЩЕСТВО САНАТОРИЙ ""ТАНЫП""";слово доказывает;да;EVL 89/50;вихревая или роторная воздуходувка, принцип не центробежный;;
0302001219;"АО ""ХИАГДА""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0302001219;"АО ""ХИАГДА""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
060605917295;ИП Ведзижев Ю.Т.;слово доказывает;да;ВР 175-19-5,2, | ВР 120-28-8-2, | ВР 280-16, | Ц-550;вихревая или роторная воздуходувка, принцип не центробежный;;
0711011320;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ И";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0711011320;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ И";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0711011320;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ И";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0711011320;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ И";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0711011320;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ И";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1101149464;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАН;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1101149464;"МУП ""ЖИЛКОМУСЛУГИ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";слово доказывает;да;42АВ1 | ВР80-75 | 42АВ2 | ВЦ4-70;вихревая или роторная воздуходувка, принцип не центробежный;;
1103019252;"АО ""Воркутауголь""";слово доказывает;да;RBS 175/V,;вихревая или роторная воздуходувка, принцип не центробежный;;
1103019252;"АО ""Воркутауголь""";слово доказывает;да;RBS 175/V,;вихревая или роторная воздуходувка, принцип не центробежный;;
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";слово доказывает;да;RRF-350 | 150С-02/В,;вихревая или роторная воздуходувка, принцип не центробежный;;
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";слово доказывает;да;RRF-350 | 150С-02/А,;вихревая или роторная воздуходувка, принцип не центробежный;;
1109010658;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЫКТЫВДИНСКАЯ ТЕПЛ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1117000011;БОКСИТ ТИМАНА;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1117000011;БОКСИТ ТИМАНА;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1433000147;"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1433000147;"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1433000147;"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1434031363;"Акционерное общество ""Дальневосточная генерирующая компания""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
1639015404;"ООО ""Р.О.С.Л.А.""";слово доказывает;да;16В 030 | L311;вихревая или роторная воздуходувка, принцип не центробежный;;
1639015404;"ООО ""Р.О.С.Л.А.""";слово доказывает;да;RCM 50-16В;вихревая или роторная воздуходувка, принцип не центробежный;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";слово доказывает;да;GM150S | С-502В;вихревая или роторная воздуходувка, принцип не центробежный;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";слово доказывает;да;GM150S | С-502А;вихревая или роторная воздуходувка, принцип не центробежный;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";слово доказывает;да;В-2025А | В-2025В | В-2029A | В-2029В;вихревая или роторная воздуходувка, принцип не центробежный;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";слово доказывает;да;3ПВ1-01 | В-2021А;вихревая или роторная воздуходувка, принцип не центробежный;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";слово доказывает;да;3ПВ1-01 | В-2021В;вихревая или роторная воздуходувка, принцип не центробежный;;
1651025328;"АО ""ТАИФ-НК""";слово доказывает;да;ВР 86-77 | В-10 | В-11 | В-12.1;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;В-1248-24 | ВР80-75 | В-2/1;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;КН-2033-24 | GM 15L | G7/1.5.8;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;КН-2040-24 | G7/1.9.4;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;КН-2035-24 | GM 15L | G7/1.6.8;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;КН-2039-24 | G7/1.7.6;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;КН-2034-24 | G7/1.6.8;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;КН-2041-24 | G7/1.6.8;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;GM130L/DN300, | G7/1.1.4;вихревая или роторная воздуходувка, принцип не центробежный;;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";слово доказывает;да;GM130L/DN300, | G7/1.1.4;вихревая или роторная воздуходувка, принцип не центробежный;;
1903021363;"АО ""УК ""РАЗРЕЗ СТЕПНОЙ""";слово доказывает;да;GM 130;вихревая или роторная воздуходувка, принцип не центробежный;;
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;слово доказывает;да;ERB-100 | АИР 30;вихревая или роторная воздуходувка, принцип не центробежный;;
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;слово доказывает;да;ERB-100 | АИР 30;вихревая или роторная воздуходувка, принцип не центробежный;;
2130017760;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";слово доказывает;да;EVL 144/60;вихревая или роторная воздуходувка, принцип не центробежный;;
2130092180;АО ЧУВАШХЛЕБОПРОДУКТ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2130092180;АО ЧУВАШХЛЕБОПРОДУКТ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2221039000;"ООО ""Вишневый сад"" (ИНН 2221039000)";слово доказывает;да;ВЦ 14-46 | ВР 120-45-5 | ВР 85-77-2,5;вихревая или роторная воздуходувка, принцип не центробежный;;
2280004866;"ООО ""Третьяковский элеватор""";слово доказывает;да;II-175/60 | ВР6-45 | ДН-2000;вихревая или роторная воздуходувка, принцип не центробежный;;
2286001269;"АО ""Коротоякский элеватор""";слово доказывает;да;ВР 120-45 | ВР 6-45;вихревая или роторная воздуходувка, принцип не центробежный;;
2301078639;АО АНАПА ВОДОКАНАЛ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2301078639;АО АНАПА ВОДОКАНАЛ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2305019793;ГБУ СО КК ГОРЯЧЕКЛЮЧЕВСКОЙ ДИПИ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2311014546;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖД;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2311342829;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРНЫЕ ВЕРШИНЫ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2315072242;"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";слово доказывает;да;RB 120/V, | С201В;вихревая или роторная воздуходувка, принцип не центробежный;;
2315072242;"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";слово доказывает;да;RBS 125/V, | С201А;вихревая или роторная воздуходувка, принцип не центробежный;;
2319027603;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ПОБЕДА"" ФТС ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2319027603;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ПОБЕДА"" ФТС ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2328000083;"АО ФИРМА ""АГРОКОМПЛЕКС"" ИМ. Н.И.ТКАЧЕВА";слово доказывает;да;ВР 80-75-4;вихревая или роторная воздуходувка, принцип не центробежный;;
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" К";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" К";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" К";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" К";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" К";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2336001098;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" К";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2343003392;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""АРМАВИРСКАЯ БИОЛОГИЧЕСКАЯ ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2343003392;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""АРМАВИРСКАЯ БИОЛОГИЧЕСКАЯ ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2439007020;"ООО ""ЭЛЕВАТОР"" (ИНН 2439007020)";слово доказывает;да;ВЦ 5-45 | ВР 4,25 | ЦП 7-40;вихревая или роторная воздуходувка, принцип не центробежный;;
2443005570;АО РУСАЛ АЧИНСК;слово доказывает;да;VML60;вихревая или роторная воздуходувка, принцип не центробежный;;
2453013555;"Акционерное общество ""Производственное объединение ""Электрох";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2453013555;"АО ""ПО ЭХЗ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2453013555;"АО ""ПО ЭХЗ""";слово доказывает;да;2BH7;вихревая или роторная воздуходувка, принцип не центробежный;;
2453013555;"АО ""ПО ЭХЗ""";слово доказывает;да;2BH7;вихревая или роторная воздуходувка, принцип не центробежный;;
2457029066;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАН;марка опознана;да;ТВ 300 | 1Г 22-80-2В;вихревая или роторная воздуходувка, принцип не центробежный;;
2457029066;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАН;марка опознана;да;ТВ 300 | 1Г 22-80-2В;вихревая или роторная воздуходувка, принцип не центробежный;;
2460050766;ГПКК ЦРКК;слово доказывает;да;МТ 82ТС-5,5;вихревая или роторная воздуходувка, принцип не центробежный;;
2460050766;ГПКК ЦРКК;слово доказывает;да;МТ 82ТС-5,5;вихревая или роторная воздуходувка, принцип не центробежный;;
2462003320;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖД;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;GL 230-44;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2462206345;"АО ""КРАСМАШ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2465102746;АО БоАЗ;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2465142996;"ООО ""РН-ВАНКОР""";слово доказывает;да;GM3S;вихревая или роторная воздуходувка, принцип не центробежный;;
2466114215;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" КРАСНОЯРСКИЙ ЖИЛИ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2466114215;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" КРАСНОЯРСКИЙ ЖИЛИ";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2466199794;"ООО ""Норникель - ЕРП""";слово доказывает;да;ВР-5.5 | ССМ 18,5/0,5-30 | ШУВ-30 | IP23;вихревая или роторная воздуходувка, принцип не центробежный;;
2503022413;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРИМОРСКИЙ ВО";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2536247123;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТАЛИЗИНГ""";слово доказывает;да;ГР150МТ;вихревая или роторная воздуходувка, принцип не центробежный;;
2536247123;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТАЛИЗИНГ""";слово доказывает;да;ГР150МТ;вихревая или роторная воздуходувка, принцип не центробежный;;
2605013094;"ООО ""ЗАМАН""";слово доказывает;да;ESRB-100;вихревая или роторная воздуходувка, принцип не центробежный;;
2624022320;"ООО ""СТАВРОЛЕН""";слово доказывает;да;К-5302А;вихревая или роторная воздуходувка, принцип не центробежный;;
2624022320;"ООО ""СТАВРОЛЕН""";слово доказывает;да;GMB 15.12A | К5602A;вихревая или роторная воздуходувка, принцип не центробежный;;
2624022320;"ООО ""СТАВРОЛЕН""";слово доказывает;да;GMB 15.12A | К5602В;вихревая или роторная воздуходувка, принцип не центробежный;;
2624022320;"ООО ""СТАВРОЛЕН""";слово доказывает;да;GMB 15.12A | К5602С;вихревая или роторная воздуходувка, принцип не центробежный;;
2624022320;"ООО ""СТАВРОЛЕН""";слово доказывает;да;GMB 14.10A | К5557В;вихревая или роторная воздуходувка, принцип не центробежный;;
2632100740;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАВКАЗ.РФ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";слово доказывает;да;В-1.2 | ВР 86-77;вихревая или роторная воздуходувка, принцип не центробежный;;
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";слово доказывает;да;П-2.2 | ВР 86-77;вихревая или роторная воздуходувка, принцип не центробежный;;
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";слово доказывает;да;П-3.2 | ВР 86-77;вихревая или роторная воздуходувка, принцип не центробежный;;
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";слово доказывает;да;П-3.1 | ВР 86-77;вихревая или роторная воздуходувка, принцип не центробежный;;
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";слово доказывает;да;В-1.1 | ВР 86-77;вихревая или роторная воздуходувка, принцип не центробежный;;
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";слово доказывает;да;П-2.1 | ВР 86-77;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116B;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117А;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116А;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117А;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152В;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75-5,6-Б | FA-152A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 280-46 | FA-116A;вихревая или роторная воздуходувка, принцип не центробежный;;
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";слово доказывает;да;ВР 80-75 | FA-117В;вихревая или роторная воздуходувка, принцип не центробежный;;
