tip;nomer;produkt;izgotovitel;deklarant;status;strana;data;url;istochnik;data_sbora
Декларация;ЕАЭС N RU Д-CN.РА03.В.71253/26 ФСА ↗;Комплектная технологическая установка производства формалина в составе:;«WUXI HUALI PETROLEUM AND CHEMICAL ENGINEERING CO., LTD»;"Общество с ограниченной ответственностью ""УЛЬТРАХЕМ""";Действует;Китайская Народная Республика;27.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21364039;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА03.В.44679/26 ФСА ↗;Насос центробежный для циркуляции воды в бассейне и водных аттракционов;GUANGDONG FENLIN SWIMMING POOL&SAUNA EQUIPMENT CO.,LTD.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОКТЕКС""";Действует;Китайская Народная Республика;17.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21333828;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА03.В.47606/26 ФСА ↗;Центробежный компрессор, позиция: 4-C-101;"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";Действует;Китайская Народная Республика;16.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21337193;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА03.В.38743/26 ФСА ↗;Оборудование компрессорное: Центробежный вентилятор FRP,;SHANDONG HANQI INDUSTRIAL CO., LTD;"Общество с ограниченной ответственностью ""ВЕКТОР ТРЕЙД""";Действует;Китайская Народная Республика;14.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21327152;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА03.В.37224/26 ФСА ↗;Центробежный компрессор, модели: Mn, Mnh, Re, Ra, Ti;Turbo-Tech Wuxi Compressor Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕХ""";Действует;Китайская Народная Республика;14.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21325452;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА03.В.18594/26 ФСА ↗;Центробежные компрессоры и их модификации с комплектующими:;"Общество с ограниченной ответственностью ""Газ-Лайн""";"Общество с ограниченной ответственностью ""Газ-Лайн""";Действует;Российская Федерация;10.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21253549;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.70342/26 ФСА ↗;Оборудование компрессорное;"""HANGZHOU HANGYANG TURBOMACHINERY CO., LTD""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСГАЗКРИО""";Действует;Китайская Народная Республика;01.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21249744;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-CN.МТ25.В.08685/26 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки DONGFENG, тип DFV4198, категории N3 (см. приложение № 1 на бланках №№ 1101511,…;DONGFENG COMMERCIAL VEHICLE XINJIANG CO.,LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУНФЭН ЧАНД""";Действует;КИТАЙ;27.03.2026;›;https://vaskov.pro/sertifikaty/certificate/3657476;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.77898/26 ФСА ↗;Центробежный компрессор, позиция: 1-C-301;"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";Действует;Китайская Народная Республика;23.03.2026;›;https://vaskov.pro/sertifikaty/declaration/21258355;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА02.В.61977/26 ФСА ↗;Оборудование компрессорное: Центробежный газовый компрессор 6ГЦ2-124/24-65 УХЛ 3.1;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;Российская Федерация;17.03.2026;›;https://vaskov.pro/sertifikaty/declaration/21239960;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.НЕ44.В.00017/26 ФСА ↗;Центробежный газовый компрессор 6ГЦ2-124/24-65 УХЛ 3.1;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;17.03.2026;›;https://vaskov.pro/sertifikaty/certificate/3653292;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА12.В.22969/25 ФСА ↗;Оборудование компрессорное: Компрессор центробежный. Торговая марка: Швабе Системы. Серия СКВЦ/SCAС.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШВАБЕ-СИСТЕМЫ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШВАБЕ-СИСТЕМЫ""";Действует;Российская Федерация;11.03.2026;›;https://vaskov.pro/sertifikaty/declaration/21051750;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.35762/26 ФСА ↗;Центробежный компрессор;"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";Действует;Китайская Народная Республика;05.03.2026;›;https://vaskov.pro/sertifikaty/declaration/21210569;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.35753/26 ФСА ↗;Центробежный компрессор;"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";Действует;Китайская Народная Республика;05.03.2026;›;https://vaskov.pro/sertifikaty/declaration/21210559;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.27503/26 ФСА ↗;Оборудование компрессорное: 3-х ступенчатый воздушный компрессор центробежный, модель С41МХ3;"""Ingersoll Rand (China) Industrial Equipment Manufacturing Co., Ltd""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМАИР""";Действует;Китайская Народная Республика;03.03.2026;›;https://vaskov.pro/sertifikaty/declaration/21201094;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА02.В.14305/26 ФСА ↗;Оборудование компрессорное:;"""ZHEJIANG KAISHAN CENTRIFUGAL MACHINERY CO.,LTD""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭФФЕКТИВНОСТЬ""";Действует;Китайская Народная Республика;27.02.2026;›;https://vaskov.pro/sertifikaty/declaration/21185964;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА01.В.55014/26 ФСА ↗;"Центробежные компрессоры используемые в холодильном оборудовании моделей RT120,130,140,160,180,200,240,260,280 c шариковыми подшипниками с панелью управления ; Центробежные компрессора моделей RTM 0…";SHANGHAI HANBELL PRECISE MACHINERY CO.,LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОКЛИМА""";Действует;Китайская Народная Республика;09.02.2026;›;https://vaskov.pro/sertifikaty/declaration/21116196;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА01.А.60126/26 ФСА ↗;Оборудование по производству кальцинированной соды;«CHINA CAMC ENGINEERING CO., LTD»;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕГА""";Действует;Китайская Народная Республика;05.02.2026;›;https://vaskov.pro/sertifikaty/declaration/21122257;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.ПБ98.В.00696/26 ФСА ↗;Центробежный газовый компрессор 6ГЦ2-394/7-24 УХЛ 3.1;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;04.02.2026;›;https://vaskov.pro/sertifikaty/certificate/3642157;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА01.А.46216/26 ФСА ↗;Оборудование компрессорное;"""Qingdao Kant Mechanical Manufacturing Co., Ltd.""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛТЕХЭКСПОРТ""";Действует;Китайская Народная Республика;30.01.2026;›;https://vaskov.pro/sertifikaty/declaration/21106035;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА12.В.23345/25 ФСА ↗;Оборудование криогенное, компрессорное, холодильное, автогенное, газоочистное;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;Российская Федерация;12.01.2026;›;https://vaskov.pro/sertifikaty/declaration/21052150;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.НА65.В.02869/25 ФСА ↗;Центробежный газовый компрессор 6ГЦ2-252/55-87 Иные сведения о продукции, обеспечивающие ее идентификацию согласно приложению - бланки №№ 1100455 – 1100457 на 1-3 листах;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;РОССИЯ;30.12.2025;›;https://vaskov.pro/sertifikaty/certificate/3635822;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.69846/25 ФСА ↗;Оборудование компрессорное: компрессор центробежный воздушный. Серия JE900;"""Jin Tong Ling Technology Group Co., Ltd.""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИЧЕСКИЕ КИСЛОТЫ""";Действует;Китайская Народная Республика;26.12.2025;›;https://vaskov.pro/sertifikaty/declaration/20993758;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.НА65.В.02849/25 ФСА ↗;Компрессор центробежный, модель НЦ16ДКС/100.0000-000-02 Иные сведения о продукции, обеспечивающие ее идентификацию согласно приложению - бланки №№ 1100372, 1100373 на 1, 2 листах.;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА""";Действует;РОССИЯ;23.12.2025;›;https://vaskov.pro/sertifikaty/certificate/3633472;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-TR.РА11.В.92662/25 ФСА ↗;Оборудование компрессорное:;"""IHI DALGAKIRAN""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРМАДА ТРЕЙД""";Действует;Турецкая Республика;22.12.2025;›;https://vaskov.pro/sertifikaty/declaration/21018476;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-TR.РА11.В.92645/25 ФСА ↗;Оборудование компрессорное:;"""IHI DALGAKIRAN""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРМАДА ТРЕЙД""";Действует;Турецкая Республика;22.12.2025;›;https://vaskov.pro/sertifikaty/declaration/21018456;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.92487/25 ФСА ↗;Оборудование криогенное, компрессорное, холодильное, автогенное, газоочистное:;HeBei LeHeng Energy Saving Equipment Со. LTD.;"Общество с ограниченной ответственностью ""ВАЙСТЕХ ИНЖИНИРИНГ""";Действует;Китайская Народная Республика;22.12.2025;›;https://vaskov.pro/sertifikaty/declaration/21018273;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.85816/25 ФСА ↗;Центробежный компрессор, модель: T2000 (210N-7-3A);Zhejiang Kaishan Centrifugal Machinery CO.,LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТИЗА""";Действует;Китайская Народная Республика;19.12.2025;›;https://vaskov.pro/sertifikaty/declaration/21010963;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.85764/25 ФСА ↗;Центробежный компрессор, модели: T300, T600, T800, T1000, T1500, T2000, T3000, T4000, T6000, T8000;Zhejiang Kaishan Centrifugal Machinery CO.,LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТИЗА""";Действует;Китайская Народная Республика;19.12.2025;›;https://vaskov.pro/sertifikaty/declaration/21010906;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.61479/25 ФСА ↗;Центробежный компрессор, типы: DM, DHM, DML, KPM;Nantong Dart-rich Fan Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕХ""";Действует;Китайская Народная Республика;18.12.2025;›;https://vaskov.pro/sertifikaty/declaration/20984370;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА11.В.52936/25 ФСА ↗;Оборудование насосное: Компрессор центробежный НЦ25М/120-06;"Публичное акционерное общество ""Научно-производственное объединение ""Искра""";"Публичное акционерное общество ""Научно-производственное объединение ""Искра""";Действует;Российская Федерация;15.12.2025;›;https://vaskov.pro/sertifikaty/declaration/20974946;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-CN.МТ25.В.08336/25 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки DONGFENG типа DFV KC категории N3, N3G в соответствии с каталогом DFV4258GP5DZ…;DONGFENG COMMERCIAL VEHICLE XINJIANG CO.,LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУНФЭН ЧАНД""";Действует;КИТАЙ;14.12.2025;›;https://vaskov.pro/sertifikaty/certificate/3630150;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.59775/25 ФСА ↗;Центробежный компрессор, типы: DM, DHM, DML, KPM.;Nantong Dart-rich Fan Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕХ""";Действует;Китайская Народная Республика;12.12.2025;›;https://vaskov.pro/sertifikaty/declaration/20982545;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-RU.НВ82.А.00578/25 ФСА ↗;Компрессор центробежный;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА""";Действует;РОССИЯ;10.12.2025;›;https://vaskov.pro/sertifikaty/certificate/3629241;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА11.В.29830/25 ФСА ↗;Компрессор (воздушный, кондиционера), турбокомпрессор, двухтурбинный центробежный вентилятор, центробежный вентилятор артикул: 20382348, 21353433, B220203000007, 60320442, 15073261, 60278858;Ruian Ouri I/E Trade Co., Ltd;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБ МАЙНИНГ ПАРТС""";Действует;Китайская Народная Республика;04.12.2025;›;https://vaskov.pro/sertifikaty/declaration/20948353;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА10.В.19828/25 ФСА ↗;Центробежный газовый компрессор 6ГЦ2-394/7-24 УХЛ 3.1;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАНСКИЙ ЗАВОД КОМПРЕССОРНОГО МАШИНОСТРОЕНИЯ""";Действует;Российская Федерация;10.11.2025;›;https://vaskov.pro/sertifikaty/declaration/20723983;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА09.В.38214/25 ФСА ↗;Оборудование компрессорное: Центробежный воздушный компрессор с маркировкой: Zhangjiagang Hetai Purification Equipment Co., Ltd., модель: KT2000-H;Zhangjiagang Hetai Purification Equipment Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМ-СЕРТИФИКАЦИЯ""";Действует;Китайская Народная Республика;17.10.2025;›;https://vaskov.pro/sertifikaty/declaration/20734238;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА09.В.32881/25 ФСА ↗;Оборудование компрессорное:;«XI'AN SHAANGU POWER CO., LTD.»;"Общество с ограниченной ответственностью ""БИЗНЕС ПРОФИ""";Действует;Китайская Народная Республика;15.10.2025;›;https://vaskov.pro/sertifikaty/declaration/20728292;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
