oboznachenie;istochniki_kkm;zaklyucheniy_epb;predpriyatiya_epb
3ГЦ2-38/9,5-28;"pg_products_by_design_centrifugal_; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
3ГЦ2-39/106-132;"pg_about_history.html; pg_products_by_design_centrifugal_";0;
3ГЦ2-40/9,7-29;"pg_products_by_design_centrifugal_; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
3ГЦ2-46/6-35;"pg_about_history.html; pg_products_by_design_centrifugal_; pg_products_by_industry_offshore_o; pg_products_by_industry_sea_oil_an; pg_products_for_com";0;
3ГЦ2-48/23-32;pg_products_by_design_centrifugal_;0;
3ГЦ2-50/18-33;pg_products_for_compressible_gases;0;
3ГЦ2-61/41-59;"pg_about_history.html; pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
3ГЦ2-62/4-26;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
3ГЦ2-63/47-76;pg_products_by_design_gpa_and_comp;0;
3ГЦ2-75/71-88;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
3ГЦ2-78/153-178;pg_products_by_design_centrifugal_;0;
3ГЦ2-81/35-48;pg_products_by_design_gpa_and_comp;0;
3ГЦ2-83/25-48;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
3ГЦ2-84/11-26;"pg_products_by_design_centrifugal_; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
42ГЦ2-275/1,9-18;"pg_products_by_design_multi_shaft_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
433ГЦ2-143/23-321;pg_about_history.html;0;
433ГЦ2-143/25-321;"pg_products_by_design_centrifugal_; pg_products_by_industry_chemical_i; pg_products_for_compressible_gases";5;"0266048970 ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ"" | 3627000397 АО ""МИНУДОБРЕНИЯ"""
43ГЦ-100/5-110;pg_about_history.html;0;
43ГЦ1-210/31;"pg_products_by_design_centrifugal_; pg_products_by_industry_metallurgy; pg_products_for_compressible_gases";0;
43ГЦ1-250/31;"pg_products_by_design_centrifugal_; pg_products_by_industry_metallurgy; pg_products_for_compressible_gases";0;
43ГЦ2-158/33-104;"pg_products_by_design_gpa_and_comp; pg_products_by_industry_gas_indust";0;
43ГЦ2-163/18-108;pg_products_by_design_gpa_and_comp;0;
43ГЦ2-182/2-71;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust";0;
43ГЦ2-224/5-152;pg_products_by_design_centrifugal_;0;
43ГЦ2-230/7-126;pg_products_by_design_centrifugal_;0;
44ГЦ2-190/5-31;pg_products_by_design_centrifugal_;0;
44ГЦ2-285/8-103;"pg_about_quality_standards.html; pg_products_by_design_gpa_and_comp";0;
44ГЦ2-49/24-46;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
4ГЦ1-146/1,5-13;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
4ГЦ1-200/3,5;"pg_products_by_design_centrifugal_; pg_products_by_industry_metallurgy; pg_products_for_compressible_gases";0;
4ГЦ1-250/5;"pg_products_by_design_centrifugal_; pg_products_by_industry_metallurgy; pg_products_for_compressible_gases";16;"8401005730 ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ"""
4ГЦ1-254/2-10;"pg_about_history.html; pg_pressroom_1027.html; pg_products_by_design_centrifugal_";0;
4ГЦ2-109/18-76;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";14;"7202116628 АО ""СИБУРТЮМЕНЬГАЗ"" | 8610012450 ООО ""Няганьгазпереработка"""
4ГЦ2-115/9-40;pg_products_by_design_centrifugal_;0;
4ГЦ2-124/14-79;"pg_about_history.html; pg_products_by_design_centrifugal_; pg_products_by_design_gpa_and_comp; pg_products_by_industry_gas_indust; pg_products_for_com";2;"7202116628 АО ""СИБУРТЮМЕНЬГАЗ"""
4ГЦ2-126/33-109;pg_products_by_design_gpa_and_comp;0;
4ГЦ2-130/6-65;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";2;"1102054991 ООО ""ГАЗПРОМ ПЕРЕРАБОТКА"""
4ГЦ2-146/41-102;"pg_about_history.html; pg_products_by_design_centrifugal_";0;
4ГЦ2-161/18-35;pg_products_by_design_centrifugal_;0;
4ГЦ2-184/13,5-76;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";4;"7202116628 АО ""СИБУРТЮМЕНЬГАЗ"""
4ГЦ2-218/3-18;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
4ГЦ2-230/24-31;"pg_products_by_design_centrifugal_; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";4;"1102054991 ООО ""ГАЗПРОМ ПЕРЕРАБОТКА"""
4ГЦ2-242/12-80;pg_products_by_design_gpa_and_comp;0;
4ГЦ2-318/2,4-29;"pg_products_by_design_centrifugal_; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
4ГЦ2-55/10-40;"pg_about_quality_standards.html; pg_products_by_design_centrifugal_";0;
4ГЦ2-70/17-62;"pg_products_by_design_centrifugal_; pg_products_by_design_gpa_and_comp; pg_products_by_industry_gas_indust; pg_products_by_industry_petroleum_; pg_pro";0;
4ГЦ2-75/30-83;"pg_products_by_design_gpa_and_comp; pg_products_spare_parts_and_access";0;
4ГЦ2-84/33-103;pg_products_by_design_gpa_and_comp;0;
4ГЦ2-87/155-196;"pg_pressroom_1032.html; pg_products_by_design_centrifugal_";0;
4ГЦ2-87/5-35;"pg_products_by_design_centrifugal_; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
4ГЦ2-91/9-12;"pg_about_history.html; pg_products_by_design_centrifugal_";0;
53ГЦ-394/1,5-43;pg_products_by_industry_gas_indust;0;
53ГЦ2-211/16-103;pg_products_by_design_gpa_and_comp;0;
53ГЦ2-384/4-141;"pg_about_history.html; pg_products_by_design_gpa_and_comp";0;
543ГЦ1-400/40;"pg_products_by_design_centrifugal_; pg_products_by_industry_metallurgy; pg_products_for_compressible_gases";1;"7414003633 ПАО ""ММК"""
54ГЦ2-398/1,1-47;"pg_about_history.html; pg_pressroom_1047.html; pg_pressroom_1056.html; pg_pressroom_1058.html; pg_pressroom_1061.html; pg_pressroom_1065.html; pg_pres";0;
55ГЦ1-326/12;pg_products_for_compressible_gases;0;
5ГЦ1-300/0,1-1,2;"pg_about_history.html; pg_products_by_design_centrifugal_; pg_products_by_industry_chemical_i; pg_products_for_compressible_gases";0;
5ГЦ1-300/2-12,5;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
5ГЦ1-387/12;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
5ГЦ1-400/0,1-1,15;"pg_products_by_design_centrifugal_; pg_products_by_industry_chemical_i";0;
5ГЦ1-400/0,3-1,7;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";1;"7601001107 ПАО ""СЛАВНЕФТЬ-ЯНОС"""
5ГЦ1-401/12;"pg_products_by_design_centrifugal_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
5ГЦ2-216/14-26;"pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
5ГЦ2-287/15-57;"pg_about_history.html; pg_products_by_design_gpa_and_comp; pg_products_spare_parts_and_access";0;
5ГЦ2-300/4,5-64;"pg_about_history.html; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";2;"8604035473 ООО ""РН-ЮГАНСКНЕФТЕГАЗ"""
5ГЦ2-310/0,66-5;"pg_about_history.html; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
5ГЦ2-310/6-42;"pg_about_history.html; pg_pressroom_1071.html; pg_products_by_design_gpa_and_comp";0;
5ГЦ2-420/2,5-45;"pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
66ГЦ-1162/1,3-38;"pg_about_history.html; pg_products_by_design_gpa_and_comp; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases; pg_products_spare_p";2;"7202116628 АО ""СИБУРТЮМЕНЬГАЗ"""
66ГЦ-869/1,5-16;pg_about_history.html;0;
6ВВ-12/9;"pg_products_by_design_screw_compre; pg_products_by_industry_general_in; pg_products_for_compressible_gases; screw-compressors-series-6VV.PDF.t";0;
6ВВ-25/9;"pg_products_by_design_screw_compre; pg_products_by_industry_general_in; pg_products_by_industry_metallurgy; pg_products_by_industry_mining_ind; pg_pro";0;
6ВВ-32/7;"pg_products_by_design_screw_compre; pg_products_by_industry_mining_ind; pg_products_for_compressible_gases; screw-compressors-series-6VV.PDF.t";0;
6ГВ-14.16-35;"pg_products_by_design_screw_compre; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
6ГВ-18/4-19;"pg_products_by_design_screw_compre; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
6ГВ-18/6-19;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
6ГВ-55/2,5-11;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
6ГВ-55/3,5-15;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
6ГЦ-375/4-77;pg_products_spare_parts_and_access;1;"7202116628 АО ""СИБУРТЮМЕНЬГАЗ"""
6ГЦ1-748/1,4-18;pg_products_by_design_centrifugal_;0;
6ГЦ2-260/2-38;"pg_about_history.html; pg_products_by_design_gpa_and_comp; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases; pg_products_spare_p";0;
6ГЦ2-375;pg_products_by_industry_petroleum_;0;
6ГЦ2-375/4-77;"pg_about_history.html; pg_products_by_design_gpa_and_comp; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
6ГЦ2-380/36-101;"pg_about_history.html; pg_pressroom_1008.html; pg_products_by_design_gpa_and_comp";0;
75ГВ-88/2,4-16;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
75ГВ-90/1,4-12;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases; pg_products_spare_parts_and_access";0;
7ГВ-50/1,4-9;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
7ГВ-50/7;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
7ГВ-54/7;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
7ГЦ1-765/1-15;"pg_pressroom_1033.html; pg_products_by_design_centrifugal_";0;
7ГЦ2-573/7,2-40;"pg_about_history.html; pg_about_quality_standards.html; pg_products_by_design_gpa_and_comp";0;
7ГЦ2-660/56-76;"pg_about_history.html; pg_products_spare_parts_and_access";0;
965ГВ-200/19;pg_products_by_design_screw_compre;0;
96ГВ-285/19;"pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";0;
ГПА-16;"pg_about_history.html; pg_products_by_design_gpa_and_comp";0;
ГПА-16-102/2,5;pg_about_history.html;0;
ГПА-16-76/1,35;pg_products_spare_parts_and_access;0;
ГПА-16-76/1,44;pg_products_spare_parts_and_access;0;
ГПА-16У;"pg_about_history.html; pg_pressroom_publications_1012.htm";0;
ГПА-16УА-А/70-1,8;pg_products_by_design_gpa_and_comp;0;
ГПА-16УА-П;pg_pressroom_publications_1012.htm;0;
ГПА-25;"pg_about_history.html; pg_pressroom_1022.html";0;
ГПА-25У;pg_pressroom_publications_1012.htm;0;
ГПА-25УМ;"pg_.html; pg_pressroom_publications_1012.htm; pg_pressroom_publications_PAGEN_1_; pg_pressroom_publications_SHOWALL_";0;
ГПА-Ц-16;pg_products_spare_parts_and_access;0;
ГПА-Ц-16/56;pg_products_spare_parts_and_access;8;"8904034784 ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ"""
ГПА-Ц-16/76;pg_products_spare_parts_and_access;7;"8622000931 ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК"" | 8904034784 ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ"""
ГПА-Ц-16С;pg_products_spare_parts_and_access;0;
ГПА-Ц-6,3;"pg_about_history.html; pg_products_spare_parts_and_access";0;
ГПА-ЦЗ-16С;pg_products_spare_parts_and_access;1;"8905026850 ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК"""
ГЦ1-119/1,35-14,3;"pg_products_by_design_multi_shaft_; pg_products_by_industry_petroleum_; pg_products_for_compressible_gases";2;"3814007314 АО ""САЯНСКХИМПЛАСТ"""
ГЦ2-100.5-110;pg_products_by_industry_gas_indust;0;
ГЦ2-36/20-107;pg_products_by_design_gpa_and_comp;0;
СПЧ-16/28-1,6;pg_products_spare_parts_and_access;0;
СПЧ-16/30-3,0;pg_products_spare_parts_and_access;0;
СПЧ-16/45-1,7;pg_products_spare_parts_and_access;0;
СПЧ-16/45-1,8;pg_products_spare_parts_and_access;0;
СПЧ-16/56-1,44;pg_products_spare_parts_and_access;0;
СПЧ-16/71-1,8;pg_products_spare_parts_and_access;0;
СПЧ-16/76-1,36;pg_products_spare_parts_and_access;0;
СПЧ-16/76-1,44;pg_products_spare_parts_and_access;0;
СПЧ-16/76-1,7;pg_products_spare_parts_and_access;0;
СПЧ-16/76-2,0;pg_products_spare_parts_and_access;0;
СПЧ-18/26-2,0;pg_products_spare_parts_and_access;0;
СПЧ-18/55-2,15;pg_products_spare_parts_and_access;0;
СПЧ-18/56-1,7;pg_products_spare_parts_and_access;0;
СПЧ-18/76-1,7;pg_products_spare_parts_and_access;0;
СПЧ-8/21-2,2;pg_products_spare_parts_and_access;0;
СПЧ-8/41-2,2;pg_products_spare_parts_and_access;0;
СПЧ-8/51-1,45;pg_products_spare_parts_and_access;0;
ТАКАТ 10.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 100.1,3-19;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 100.13;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 11.05;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 11/9-27;"pg_products_by_design_screw_compre; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
ТАКАТ 120.2-7;"Takat.pdf.txt; pg_products_by_design_screw_compre";0;
ТАКАТ 126.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 132.08;pg_products_by_design_screw_compre;0;
ТАКАТ 14.5-27;"pg_products_by_design_screw_compre; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
ТАКАТ 15.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 17.4-19;pg_products_by_design_screw_compre;0;
ТАКАТ 18.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 18.4-16;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 20.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 22.2-7;"pg_about_history.html; pg_products_by_design_screw_compre; pg_products_by_industry_petroleum_";0;
ТАКАТ 22/6-45;"pg_products_by_design_screw_compre; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
ТАКАТ 26.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 28.7-13;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 30.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 41.06;pg_products_by_design_screw_compre;0;
ТАКАТ 42.05;pg_products_by_design_screw_compre;0;
ТАКАТ 43.5-27;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 46.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 50.07;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";2;"0277106840 ООО ""БАШНЕФТЬ-ДОБЫЧА"" | 7717133960 ПАО НК ""РУССНЕФТЬ"""
ТАКАТ 50.08;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 50.09;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 50.10;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 52.2-7;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 52.3-7;pg_products_by_design_screw_compre;0;
ТАКАТ 54.08;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 55.2,7-17;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 55.3,5-13;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 64.09;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 73.5;"pg_products_by_design_screw_compre; pg_products_by_industry_gas_indust; pg_products_for_compressible_gases";0;
ТАКАТ 77.3-23;pg_products_by_design_screw_compre;0;
ТАКАТ 78.2;pg_pressroom_publications_1023.htm;0;
ТАКАТ 78.2-7;pg_about_history.html;0;
ТАКАТ 9.4-12;"pg_about_history.html; pg_products_by_design_screw_compre";0;
ТАКАТ 9/13-33,5;"pg_products_by_design_screw_compre; pg_products_by_industry_thermal_po; pg_products_for_compressible_gases";0;
УНЦ-16-76/1,44;pg_products_by_design_gpa_and_comp;1;"5260080007 ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД"""
ЦК-100;pg_about_history.html;0;
ЦК-135/8;"pg_products_by_industry_metallurgy; pg_products_for_compressible_gases";0;
