тир;блок;фасет;ключ;значение;товаров;шорт-лист
;пробел в фасете;Рабочее давление, бар;press;0,4;11;
;пробел в фасете;Мощность, кВт;power;242;11;
;пробел в фасете;Мощность, кВт;power;118;11;
;пробел в фасете;Производительность, л/мин;perf;19700;11;
;пробел в фасете;Производительность, л/мин;perf;8900;11;
;пробел в фасете;Производительность, л/мин;perf;14500;11;
;пробел в фасете;Производительность, л/мин;perf;9900;11;
;пробел в фасете;Производительность, л/мин;perf;17400;11;
;пробел в фасете;Производительность, л/мин;perf;27700;11;
;пробел в фасете;Производительность, л/мин;perf;40500;11;
;пробел в фасете;Производительность, л/мин;perf;41300;11;
;пробел в фасете;Производительность, л/мин;perf;18400;11;
;пробел в фасете;Производительность, л/мин;perf;21400;11;
;пробел в фасете;Производительность, л/мин;perf;25600;11;
;пробел в фасете;Производительность, л/мин;perf;47500;11;
;пробел в фасете;Производительность, л/мин;perf;34700;11;
;пробел в фасете;Производительность, л/мин;perf;3650;11;
;пробел в фасете;Производительность, л/мин;perf;4950;11;
;пробел в фасете;Производительность, л/мин;perf;5830;11;
;пробел в фасете;Производительность, л/мин;perf;3540;11;
;пробел в фасете;Производительность, л/мин;perf;1880;11;
;пробел в фасете;Производительность, л/мин;perf;23700;11;
;пробел в фасете;Производительность, л/мин;perf;3280;11;
;пробел в фасете;Производительность, л/мин;perf;19800;11;
;пробел в фасете;Производительность, л/мин;perf;770;11;
;пробел в фасете;Производительность, л/мин;perf;53800;11;
;пробел в фасете;Производительность, л/мин;perf;14800;11;
;пробел в фасете;Производительность, л/мин;perf;2850;11;
;пробел в фасете;Производительность, л/мин;perf;38500;11;
;пробел в фасете;Производительность, л/мин;perf;36800;11;
;пробел в фасете;Производительность, л/мин;perf;960;11;
;пробел в фасете;Производительность, л/мин;perf;1350;11;
;пробел в фасете;Производительность, л/мин;perf;64500;11;
;пробел в фасете;Производительность, л/мин;perf;57500;11;
