тир;блок;фасет;ключ;значение;товаров;шорт-лист
;новый фасет;Уровень шума, дБ;noise;66;57;
;новый фасет;Уровень шума, дБ;noise;59;56;
;пробел в фасете;Производительность, л/мин;perf;5300;56;
;пробел в фасете;Производительность, л/мин;perf;7200;56;
;пробел в фасете;Производительность, л/мин;perf;6300;55;
;пробел в фасете;Производительность, л/мин;perf;6600;55;
;пробел в фасете;Производительность, л/мин;perf;7500;54;
;пробел в фасете;Производительность, л/мин;perf;2900;53;
;пробел в фасете;Производительность, л/мин;perf;1650;53;
;новый фасет;Уровень шума, дБ;noise;77;52;
;новый фасет;Уровень шума, дБ;noise;65;52;
;пробел в фасете;Мощность, кВт;power;194;52;
;пробел в фасете;Производительность, л/мин;perf;830;52;
;пробел в фасете;Производительность, л/мин;perf;3100;52;
;пробел в фасете;Производительность, л/мин;perf;5500;51;
;новый фасет;Уровень шума, дБ;noise;79;50;
;пробел в фасете;Производительность, л/мин;perf;6800;50;
;новый фасет;Уровень шума, дБ;noise;88;48;
;пробел в фасете;Производительность, л/мин;perf;3400;48;
;пробел в фасете;Мощность, кВт;power;3,7;47;
;пробел в фасете;Производительность, л/мин;perf;240;47;
;пробел в фасете;Производительность, л/мин;perf;3300;46;
;пробел в фасете;Производительность, л/мин;perf;1750;46;
;пробел в фасете;Производительность, л/мин;perf;850;46;
;пробел в фасете;Производительность, л/мин;perf;9600;45;
;пробел в фасете;Производительность, л/мин;perf;5400;45;
;пробел в фасете;Мощность, кВт;power;93;44;
;пробел в фасете;Производительность, л/мин;perf;7300;44;
;пробел в фасете;Производительность, л/мин;perf;450;44;
;пробел в фасете;Производительность, л/мин;perf;3700;43;
;пробел в фасете;Производительность, л/мин;perf;330;42;
;пробел в фасете;Производительность, л/мин;perf;1610;42;
;новый фасет;Уровень шума, дБ;noise;73;41;
;новый фасет;Уровень шума, дБ;noise;62;41;
;новый фасет;Уровень шума, дБ;noise;85;41;
;пробел в фасете;Мощность, кВт;power;82;41;
;пробел в фасете;Мощность, кВт;power;264;40;
;пробел в фасете;Производительность, л/мин;perf;560;40;
;пробел в фасете;Производительность, л/мин;perf;4200;40;
;пробел в фасете;Производительность, л/мин;perf;950;40;
;пробел в фасете;Производительность, л/мин;perf;1160;40;
;пробел в фасете;Производительность, л/мин;perf;6400;39;
;пробел в фасете;Производительность, л/мин;perf;12800;37;
;пробел в фасете;Производительность, л/мин;perf;19500;37;
;пробел в фасете;Производительность, л/мин;perf;12600;37;
;пробел в фасете;Производительность, л/мин;perf;420;37;
;пробел в фасете;Производительность, л/мин;perf;7800;36;
;пробел в фасете;Производительность, л/мин;perf;2250;36;
;пробел в фасете;Производительность, л/мин;perf;460;36;
;новый фасет;Уровень шума, дБ;noise;80;35;
;пробел в фасете;Производительность, л/мин;perf;5900;35;
;пробел в фасете;Производительность, л/мин;perf;20500;35;
;пробел в фасете;Производительность, л/мин;perf;340;35;
;пробел в фасете;Производительность, л/мин;perf;13800;34;
;пробел в фасете;Рабочее давление, бар;press;0,8;33;
;пробел в фасете;Производительность, л/мин;perf;280;33;
;пробел в фасете;Производительность, л/мин;perf;9500;33;
;пробел в фасете;Производительность, л/мин;perf;1560;33;
;пробел в фасете;Производительность, л/мин;perf;690;33;
;пробел в фасете;Производительность, л/мин;perf;540;33;
;пробел в фасете;Производительность, л/мин;perf;1250;33;
;пробел в фасете;Производительность, л/мин;perf;3900;33;
;пробел в фасете;Производительность, л/мин;perf;680;33;
;пробел в фасете;Производительность, л/мин;perf;640;33;
;пробел в фасете;Производительность, л/мин;perf;410;33;
;новый фасет;Уровень шума, дБ;noise;84;32;
;пробел в фасете;Мощность, кВт;power;184;32;
;пробел в фасете;Производительность, л/мин;perf;1050;32;
;пробел в фасете;Производительность, л/мин;perf;16500;32;
;пробел в фасете;Производительность, л/мин;perf;23500;32;
;пробел в фасете;Производительность, л/мин;perf;4700;31;
;пробел в фасете;Производительность, л/мин;perf;11500;31;
;пробел в фасете;Производительность, л/мин;perf;12300;31;
;пробел в фасете;Производительность, л/мин;perf;21200;31;
;пробел в фасете;Производительность, л/мин;perf;820;31;
;пробел в фасете;Производительность, л/мин;perf;13500;30;
;пробел в фасете;Производительность, л/мин;perf;4100;30;
;пробел в фасете;Производительность, л/мин;perf;1150;30;
;пробел в фасете;Производительность, л/мин;perf;380;30;
;пробел в фасете;Рабочее давление, бар;press;0,5;29;
;пробел в фасете;Производительность, л/мин;perf;11200;29;
;пробел в фасете;Производительность, л/мин;perf;5700;29;
;пробел в фасете;Производительность, л/мин;perf;7700;29;
;пробел в фасете;Производительность, л/мин;perf;880;29;
;пробел в фасете;Мощность, кВт;power;186;28;
;пробел в фасете;Мощность, кВт;power;78;28;
;пробел в фасете;Мощность, кВт;power;191;28;
;пробел в фасете;Производительность, л/мин;perf;8200;28;
;пробел в фасете;Производительность, л/мин;perf;9200;28;
;пробел в фасете;Производительность, л/мин;perf;1130;28;
;пробел в фасете;Производительность, л/мин;perf;660;28;
;пробел в фасете;Производительность, л/мин;perf;1090;28;
;пробел в фасете;Производительность, л/мин;perf;10500;28;
;новый фасет;Уровень шума, дБ;noise;61;27;
;пробел в фасете;Мощность, кВт;power;154;27;
;пробел в фасете;Производительность, л/мин;perf;21500;27;
;пробел в фасете;Производительность, л/мин;perf;20200;27;
;пробел в фасете;Производительность, л/мин;perf;220;27;
;пробел в фасете;Производительность, л/мин;perf;580;27;
;пробел в фасете;Производительность, л/мин;perf;4400;26;
;пробел в фасете;Производительность, л/мин;perf;6900;26;
;пробел в фасете;Производительность, л/мин;perf;12100;26;
;пробел в фасете;Производительность, л/мин;perf;8700;26;
;пробел в фасете;Производительность, л/мин;perf;470;26;
;пробел в фасете;Производительность, л/мин;perf;366;26;
;пробел в фасете;Производительность, л/мин;perf;720;26;
;пробел в фасете;Производительность, л/мин;perf;740;26;
;новый фасет;Уровень шума, дБ;noise;59,5;25;
;пробел в фасете;Мощность, кВт;power;16,5;25;
;пробел в фасете;Производительность, л/мин;perf;8400;25;
;пробел в фасете;Производительность, л/мин;perf;10200;25;
;пробел в фасете;Производительность, л/мин;perf;12500;25;
;пробел в фасете;Производительность, л/мин;perf;24600;25;
;пробел в фасете;Производительность, л/мин;perf;1110;25;
;пробел в фасете;Производительность, л/мин;perf;530;25;
;пробел в фасете;Производительность, л/мин;perf;1670;25;
;пробел в фасете;Производительность, л/мин;perf;250;25;
;пробел в фасете;Рабочее давление, бар;press;2,5;24;
;пробел в фасете;Мощность, кВт;power;295;24;
;пробел в фасете;Производительность, л/мин;perf;350;24;
;пробел в фасете;Производительность, л/мин;perf;8300;24;
