istochnik_fayl;stroka
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 28 | 42790289 | 46238 | 46422 | 5 | 79995 | 110/35/10 Красногвардейское
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 29 | 42790290 | 46238 | 46280 | 5 | 45947.53 | 110/35/10 Красногвардейское
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 30 | 42790291 | 46238 | 46280 | 5 | 45947.53 | 110/35/10 Красногвардейское
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 31 | 42790382 | 46247 | 46289 | 11 | 13655.99 | 35/10 Орлик
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 32 | 42790511 | 46237 | 46279 | 5 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 33 | 42790626 | 46241 | 46283 | 15 | 60040.25 | 35/10 Котово
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 34 | 42790926 | 46238 | 46280 | 7 | 45947.53 | 110/10 Крапивенская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 35 | 42791133 | 46238 | 46259 | 30 | 34045.35 | 35/10 Городище
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 36 | 42791299 | 46243 | 46427 | 7 | 50409.07 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 37 | 42791308 | 46241 | 46283 | 15 | 60040.25 | 110/35/6 Восточная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 38 | 42791393 | 46239 | 46361 | 5 | 14388.44 | 110/10 Дубовое
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 39 | 42791398 | 46237 | 46421 | 7.1 | 289105.65999999997 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 40 | 42791727 | 46238 | 46280 | 15 | 60040.25 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 41 | 42791732 | 46238 | 46280 | 15 | 60040.25 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 42 | 42791755 | 46245 | 46429 | 6 | 43207.77 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 43 | 42791771 | 46239 | 46423 | 3 | 36868.199999999997 | 110/6 Строитель
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 44 | 42791776 | 46238 | 46280 | 1 | 1052.92 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 45 | 42791883 | 46238 | 46360 | 5 | 14388.44 | 110/10/10 Пушкарная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 46 | 42791977 | 46244 | 46428 | 15 | 111111.45 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 47 | 42791983 | 46239 | 46281 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 48 | 42791991 | 46239 | 46281 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 49 | 42791997 | 46239 | 46423 | 7 | 68645.84 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 50 | 42792009 | 46255 | 46297 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 51 | 42792020 | 46239 | 46281 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 52 | 42792023 | 46255 | 46297 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 53 | 42792030 | 46239 | 46281 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 54 | 42792034 | 46239 | 46281 | 7 | 45947.53 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 55 | 42792036 | 46241 | 46283 | 15 | 60040.25 | 110/6 Строитель
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 56 | 42792047 | 46238 | 46280 | 1 | 1052.92 | 110/35/10 Томаровка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 57 | 42792149 | 46237 | 46279 | 10 | 45947.53 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 58 | 42792159 | 46238 | 46280 | 15 | 15793.77 | 110/10/10 Майская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 59 | 42792186 | 46238 | 46360 | 600 | 14388.44 | 110/10/10 Промышленная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 60 | 42792191 | 46236 | 46276 | 16 | 14388.44 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 61 | 42792195 | 46237 | 46279 | 5 | 60040.25 | 110/35/6 Восточная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 62 | 42792403 | 46237 | 46258 | 60 | 49555.49 | 110/10/10 Обуховская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 63 | 42792430 | 46241 | 46283 | 5 | 45947.53 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 64 | 42792502 | 46241 | 46425 | 9 | 50960.92 | 35/10 Прелестное
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 65 | 42792524 | 46238 | 46280 | 10 | 13655.99 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 66 | 42792575 | 46240 | 46282 | 15 | 60040.25 | 110/35/6 Журавлики
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 67 | 42792610 | 46239 | 46423 | 149.16999999999999 | 79726.820000000007 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 68 | 42792611 | 46240 | 46282 | 15 | 60040.25 | 110/10/10 Майская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 69 | 42792616 | 46244 | 46428 | 15 | 105436.87 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 70 | 42792643 | 46241 | 46425 | 15 | 108019.43 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 71 | 42792658 | 46239 | 46423 | 5 | 36868.199999999997 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 72 | 42792667 | 46240 | 46282 | 15 | 51693.37 | 110/10/6 Пищепром
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 73 | 42792670 | 46244 | 46428 | 15 | 108019.43 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 74 | 42792673 | 46247 | 46431 | 7 | 50960.92 | 110/10/10 Майская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 75 | 42792676 | 46247 | 46289 | 7 | 60040.25 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 76 | 42792753 | 46246 | 46288 | 8 | 57610.36 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 77 | 42792756 | 46246 | 46288 | 8 | 60040.25 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 78 | 42792860 | 46238 | 46280 | 15 | 60040.25 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 79 | 42792897 | 46237 | 46421 | 5.0999999999999996 | 68645.84 | 110/10/6 Казацкие Бугры
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 80 | 42792942 | 46239 | 46423 | 150 | 79726.820000000007 | 110/35/6 Шебекино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 81 | 42792951 | 46238 | 46422 | 7 | 50960.92 | 35/10 Малакеево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 82 | 42793079 | 46240 | 46282 | 15 | 60040.25 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 83 | 42793112 | 46237 | 46421 | 8 | 57610.36 | 110/10/10 Майская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 84 | 42793116 | 46237 | 46279 | 10 | 10529.18 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 85 | 42793130 | 46251 | 46435 | 10 | 60040.25 | 35/10 Шишино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 86 | 42793206 | 46238 | 46280 | 8 | 57610.36 | 110/10 Шеино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 87 | 42793238 | 46238 | 46422 | 7 | 7370.43 | 35/10 Орлик
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 88 | 42793245 | 46238 | 46280 | 8 | 60040.25 | 110/10 Шеино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 89 | 42793293 | 46237 | 46421 | 15 | 15793.77 | 35/10 Беловское
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 90 | 42793318 | 46237 | 46279 | 15 | 60040.25 | 110/10 Шеино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 91 | 42793383 | 46251 | 46293 | 1 | 1052.92 | 110/35/10 Короча
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 92 | 42793476 | 46241 | 46283 | 4 | 13655.99 | 110/35/10 Ивня
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 93 | 42793532 | 46245 | 46287 | 15 | 15793.77 | 110/35/6 Старый Оскол-1
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 94 | 42793542 | 46237 | 46279 | 15 | 15793.77 | 35/6 Федосеевка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 95 | 42793548 | 46241 | 46283 | 15 | 15793.77 | 110/10 Крапивенская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 96 | 42793554 | 46241 | 46283 | 10 | 60040.25 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 97 | 42793564 | 46258 | 46300 | 15 | 60040.25 | 110/10 Крапивенская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 98 | 42793567 | 46238 | 46280 | 15 | 15793.77 | 110/10/10 Майская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 99 | 42793574 | 46251 | 46435 | 7 | 97018.73 | 35/10 Гостищево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 100 | 42793611 | 46237 | 46279 | 1 | 1052.92 | 35/10 Алексеевка (Кор.)
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 101 | 42793627 | 46239 | 46281 | 15 | 60040.25 | 110/10 Шеино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 102 | 42793634 | 46241 | 46425 | 15 | 60040.25 | 110/35/6 Шебекино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 103 | 42793637 | 46239 | 46281 | 7 | 45947.53 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 104 | 42793642 | 46239 | 46281 | 12 | 50960.92 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 105 | 42793664 | 46240 | 46424 | 15 | 79333.81 | 110/35/6 Шебекино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 106 | 42793677 | 46241 | 46283 | 15 | 15793.77 | 110/35/10 Короча
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 107 | 42793699 | 46237 | 46279 | 5 | 5264.59 | 110/35/10 Короча
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 108 | 42793711 | 46245 | 46287 | 1 | 1052.92 | 110/35/10 Короча
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 109 | 42793729 | 46237 | 46421 | 15 | 15793.77 | 110/35/10 Александровка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 110 | 42793732 | 46244 | 46286 | 5 | 5264.59 | 35/10 Поповка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 111 | 42793814 | 46239 | 46423 | 5 | 85669.58 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 112 | 42793819 | 46241 | 46283 | 10 | 60040.25 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 113 | 42793839 | 46242 | 46426 | 15 | 15793.77 | 35/10 Шишино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 114 | 42793841 | 46245 | 46287 | 15 | 60040.25 | 110/10/6 Пищепром
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 115 | 42793843 | 46242 | 46426 | 15 | 108019.43 | 110/35/6 Восточная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 116 | 42793899 | 46239 | 46281 | 8 | 57610.36 | 110/35/6 Восточная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 117 | 42793903 | 46238 | 46280 | 15 | 60040.25 | 110/35/6 Восточная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 118 | 42793949 | 46238 | 46280 | 15 | 60040.25 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 119 | 42793952 | 46241 | 46283 | 2 | 2105.84 | 110/35/6 Восточная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 120 | 42793955 | 46245 | 46287 | 15 | 51693.37 | 35/10 Шишино
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 121 | 42793960 | 46244 | 46428 | 7 | 74320.42 | 110/10/6 Пищепром
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 122 | 42793987 | 46238 | 46280 | 5.0999999999999996 | 36868.199999999997 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 123 | 42794016 | 46239 | 46423 | 15 | 15793.77 | 110/10/10 Пушкарная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 124 | 42794023 | 46239 | 46281 | 8 | 8423.34 | 35/10 Котово
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 125 | 42794114 | 46237 | 46421 | 6 | 43207.77 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 126 | 42794189 | 46237 | 46279 | 1 | 1052.92 | 35/10 Малакеево
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 127 | 42794220 | 46245 | 46287 | 8 | 50960.92 | 35/10 Крюково
