"№ колонки";"колонка CSV";"свойство";"код";"тип";"множеств.";"в фильтре"
"49";"IP_PROP22678";"Максимальное рабочее давление, бар";"DAVLENIE_MAX_BAR";"число";"";""
"50";"IP_PROP22679";"Минимальное рабочее давление, бар";"DAVLENIE_MIN_BAR";"число";"";""
"51";"IP_PROP22955";"НеОбрезатьНулиSSCC";"NEOBREZATNULISSCC";"список";"";""
"52";"IP_PROP22686";"Рабочая температура, °C";"TEMPERATURA";"строка";"";""
"53";"IP_PROP22556";"Габариты, мм";"GABARITY_MM";"строка";"";""
"54";"IP_PROP23149";"Значок на веб-витрине mag1c";"ZNACHOK_NA_VEB_VITRINE_MAG1C";"список";"";""
"55";"IP_PROP23000";"Марка двигателя";"MARKA_MODEL_DVIGATELYA";"список";"";""
"56";"IP_PROP23188";"Гарантия";"GARANTIYA_1";"список";"";""
"57";"IP_PROP22557";"Давление max, Бар";"DAVLENIE_MAX_BAR_";"список";"";""
"58";"IP_PROP23150";"Исключить из публикации на веб-витрине mag1c";"ISKLYUCHIT_IZ_PUBLIKATSII_NA_VEB_VITRINE_MAG1C";"список";"";""
"59";"IP_PROP23013";"Модель двигателя";"MODEL_DVIGATELYA";"список";"";""
"60";"IP_PROP23001";"Мощность ДВС в ЛС";"MOSHCHNOST_DVS_V_LS";"число";"";""
"61";"IP_PROP22734";"Синхронизировано с Битрикс24";"SINKHRONIZIROVANO_S_BITRIKS24";"список";"";""
"62";"IP_PROP23117";"davlenie_max";"DAVLENIE_MAX";"число";"";""
"63";"IP_PROP23116";"davlenie_min";"DAVLENIE_MIN";"число";"";""
"64";"IP_PROP22604";"ID поста блога для комментариев";"BLOG_POST_ID";"число";"";""
"65";"IP_PROP22892";"typePrefix (Для фида)";"TYPEPREFIX";"строка";"";""
"66";"IP_PROP22546";"Артикул";"CML2_ARTICLE";"строка";"";""
"67";"IP_PROP22549";"Базовая единица";"CML2_BASE_UNIT";"строка";"";""
"68";"IP_PROP22589";"Вид номенклатуры для Битрикс24";"VID_NOMENKLATURY_DLYA_BITRIKS24";"список";"";""
"69";"IP_PROP23189";"Давление MAX";"DAVLENIE_MAX_1";"число";"";""
"70";"IP_PROP22558";"Давление min, Бар";"DAVLENIE_MIN_BAR_";"список";"";""
"71";"IP_PROP22551";"Картинки товара";"MORE_PHOTO";"файл";"да";""
"72";"IP_PROP22605";"Количество комментариев";"BLOG_COMMENTS_CNT";"число";"";""
"73";"IP_PROP23114";"Производительность FAKE";"PROIZVODITELNOST_FAKE";"строка";"";""
"74";"IP_PROP23098";"Производительность MAX";"PROIZVODITELNOST_MAX";"число";"";""
"75";"IP_PROP23097";"Производительность MIN";"PROIZVODITELNOST_MIN";"число";"";""
"76";"IP_PROP22548";"Реквизиты";"CML2_TRAITS";"строка";"да";""
"77";"IP_PROP22550";"Ставки налогов";"CML2_TAXES";"строка";"да";""
"78";"IP_PROP22612";"Статьи";"LINK_BLOG";"привязка";"да";""
"79";"IP_PROP22552";"Файлы";"FILES";"файл";"да";""
"80";"IP_PROP22547";"Характеристики";"CML2_ATTRIBUTES";"строка";"да";""
"81";"IP_PROP22545";"ШтрихКод";"CML2_BAR_CODE";"строка";"";""
"82";"IP_PROP22590";"Выгружать на сайт";"VYGRUZHAT_NA_SAYT";"список";"";""
"83";"IP_PROP23190";"Давление MIN";"DAVLENIE_MIN_1";"число";"";""
"84";"IP_PROP22559";"Давление на входе, Бар";"DAVLENIE_NA_VKHODE_BAR";"число";"";""
"85";"IP_PROP23002";"Обороты двигателя на ХХ и в Загрузке";"OBOROTY_DVIGATELYA_NA_KHKH_I_V_ZAGRUZKE";"число";"";""
"86";"IP_PROP22882";"Срок гарантии";"SROK_GARANTII";"число";"";""
"87";"IP_PROP22560";"Мин. давление, Бар";"MIN_DAVLENIE_BAR";"список";"";""
"88";"IP_PROP23151";"Мощность MAX";"MOSHCHNOST_MAX";"число";"";""
"89";"IP_PROP23003";"Объем масла ДВС";"OBEM_MASLA_DVS";"число";"";""
"90";"IP_PROP22804";"Высота (мм)";"VYSOTA_MM";"число";"";""
"91";"IP_PROP22561";"Модель картриджа";"MODEL_KARTRIDZHA";"список";"";""
"92";"IP_PROP23152";"Мощность MIN";"MOSHCHNOST_MIN";"число";"";""
"93";"IP_PROP23004";"Объем топливного бака";"OBEM_TOPLIVNOGO_BAKA";"число";"";""
"94";"IP_PROP23005";"Потребление топлива на ХХ и в загрузке";"POTREBLENIE_TOPLIVA_NA_KHKH_I_V_ZAGRUZKE";"число";"";""
"95";"IP_PROP22658";"Производительность, м3/мин";"PROIZVODITELNOST_M3_MIN";"число";"";""
"96";"IP_PROP22659";"Производительность, м3/ч";"PROIZVODITELNOST_M3_CH";"число";"";""
"97";"IP_PROP22682";"Безмасляный";"BESMASLA";"строка";"";""
"98";"IP_PROP22667";"Выходной разъем";"VIHOD_RAZIEM";"строка";"";""
"99";"IP_PROP22665";"Жидкостный подогреватель";"ZHIDKOST_PODOGREV";"строка";"";""
"100";"IP_PROP22664";"Исполнение";"ISPOLNENIE";"строка";"";""
"101";"IP_PROP22685";"Количество лопастей";"LOPASTI";"число";"";""
"102";"IP_PROP22666";"Количество ступеней сжатия";"KOLICHESTVO_STUPENEY_SZHATIYA";"строка";"";""
"103";"IP_PROP22681";"Малошумный";"MALOSHUMNOST";"строка";"";""
"104";"IP_PROP22683";"Манометр";"MANOMETR";"строка";"";""
"105";"IP_PROP22675";"Нправление вращения";"VRASHENIE_NAPRAVLENIE";"строка";"";""
"106";"IP_PROP22663";"Объем масла, л";"OBIEM_MASLA";"число";"";""
"107";"IP_PROP22662";"Объем топливного бака, л";"OBIEM_BAK";"число";"";""
"108";"IP_PROP23091";"Ответственный менеджер за распродажу";"OTVETSVENNYY_MENEDZHER_ZA_RASPRODAZHU";"список";"";""
"109";"IP_PROP22684";"Пуск двигателя";"PUSK_DVIGATEL";"строка";"";""
"110";"IP_PROP22677";"Расход топлива, л/ч";"TOPLIVO_RASKHOD";"число";"";""
"111";"IP_PROP22676";"Среда сжатия";"SREDA_SZHATIIA";"строка";"";""
"112";"IP_PROP22680";"Тип ресивера";"TIP_RESIVERA";"строка";"";""
"113";"IP_PROP22673";"Частота вращения, об/мин";"VRASHENIE_OBOROTY";"число";"";""
"114";"IP_PROP22660";"Число оборотов максимум, об/мин";"OBOROTY_MAX";"число";"";""
"115";"IP_PROP22661";"Число оборотов минимум, об/мин";"OBOROTY_MIN";"число";"";""
"116";"IP_PROP22760";"Магистральные фильтры в комплекте";"MAGISTRALNYE_FILTRY_V_KOMPLEKTE";"число";"";""
"117";"IP_PROP22805";"Диаметр фланца";"DIAMETR_FLANTSA";"число";"";""
"118";"IP_PROP23035";"Пропускная способность, л/мин";"PROPUSKNAYA_SPOSOBNOST_L_MIN_1";"число";"";""
"119";"IP_PROP22591";"НаименованиеEN1";"NAIMENOVANIEEN1";"строка";"";""
"120";"IP_PROP22567";"ПолноеНаименование";"POLNOENAIMENOVANIE";"строка";"";""
"121";"IP_PROP22592";"НаименованиеEN2";"NAIMENOVANIEEN2";"строка";"";""
"122";"IP_PROP22593";"НаименованиеКитай";"NAIMENOVANIEKITAY";"строка";"";""
"123";"IP_PROP22569";"Производитель двигателя";"PROIZVODITEL_DVIGATELYA";"список";"";""
"124";"IP_PROP22594";"НаименованиеКитай1";"NAIMENOVANIEKITAY1";"строка";"";""
"125";"IP_PROP22570";"Производитель для инвойс";"PROIZVODITEL_DLYA_INVOYS";"список";"";""
"126";"IP_PROP23153";"Производительность MAX";"PROIZVODITELNOST_MAX_1";"число";"";""
"127";"IP_PROP23040";"Тип двигателя";"TIP_DVIGATELYA";"список";"";""
"128";"IP_PROP22595";"НаименованиеПоставщика";"NAIMENOVANIEPOSTAVSHCHIKA";"строка";"";""
"129";"IP_PROP23154";"Производительность MIN";"PROIZVODITELNOST_MIN_1";"число";"";""
"130";"IP_PROP22596";"НаименованиеПоставщика1";"NAIMENOVANIEPOSTAVSHCHIKA1";"строка";"";""
"131";"IP_PROP22687";"Tемпература нагнетания";"TEMP_NAGNETANIE";"строка";"";""
"132";"IP_PROP22690";"Макс. избыточное давление (нагнетание), мбар";"DAVLENIE_NAGENTANIE";"строка";"";""
"133";"IP_PROP22689";"Мощность (вакуум), кВт";"MOSHNOST_VACUUM";"строка";"";""
"134";"IP_PROP22688";"Мощность (нагнетание), кВт";"MOSHNOST_NAGENTANIE";"строка";"";""
"135";"IP_PROP22691";"Предельно-остаточное давление (вакуум), мбар";"DAVLENIE_VACUUM";"строка";"";""
"136";"IP_PROP22693";"Производительность (вакуум), м3/ч";"PROIZVODITELNOST_VACUUM";"строка";"";""
"137";"IP_PROP22692";"Производительность (нагнетание), м3/ч";"PROIZVODITELNOST_NAGENTANIE";"строка";"";""
"138";"IP_PROP22695";"Уровень шума (вакуум), дБ";"SHUM_VACUUM";"строка";"";""
"139";"IP_PROP22694";"Уровень шума (нагнетание), дБ";"SHUM_NAGENTANIE";"строка";"";""
"140";"IP_PROP22575";"Серия";"SERIYA_";"список";"";""
"141";"IP_PROP22598";"Описание (неогр.)";"OPISANIE_NEOGR_";"строка";"";""
"142";"IP_PROP22576";"Серия";"SERIYA";"список";"";""
"143";"IP_PROP22577";"Соединение";"SOEDINENIE";"список";"";""
"144";"IP_PROP22718";"Производитель";"PROIZVODITEL";"список";"";""
"145";"IP_PROP23191";"Страна происхождения";"STRANA_PROISKHOZHDENIYA";"список";"";""
"146";"IP_PROP22599";"Производитель (стр)";"PROIZVODITEL_STR";"строка";"";""
"147";"IP_PROP22581";"Тип позиции";"TIP_POZITSII";"список";"";""
"148";"IP_PROP22584";"Тип хладагента";"TIP_KHLADAGENTA";"список";"";""
"149";"IP_PROP22808";"Снят с производства";"SNYAT_S_PROIZVODSTVA";"список";"";""
"150";"IP_PROP22959";"Степень защиты двигателя";"STEPEN_ZASHCHITY";"список";"";""
"151";"IP_PROP22724";"Тип адсорбционного осушителя";"TIP_ADSORBTSIONNOGO_OSUSHITELYA";"список";"";""
"152";"IP_PROP23084";"Тип смазки";"TIP_SMAZKI";"список";"";""
"153";"IP_PROP22602";"Товарная группа";"TOVARNAYA_GRUPPA";"список";"";""
"154";"IP_PROP22750";"Чистота азота, %";"CHISTOTA_AZOTA_";"строка";"";""
"155";"IP_PROP22751";"Чистота кислорода, %";"CHISTOTA_KISLORODA_";"строка";"";""
"156";"IP_PROP22606";"Наши предложения";"HIT";"список";"да";"да"
"157";"IP_PROP22607";"Похожие товары по фильтру";"ASSOCIATED_FILTER";"строка (SAsproCustomFilterMax)";"";""
"158";"IP_PROP22608";"Файлы (документы, паспорт)";"INSTRUCTIONS";"файл";"да";""
"159";"IP_PROP22609";"Видео из файла";"VIDEO_FILE";"строка (video)";"да";""
"160";"IP_PROP22610";"Текст с акцией";"SALE_TEXT";"строка";"";""
"161";"IP_PROP22611";"Услуги";"SERVICES";"привязка";"да";""
"162";"IP_PROP22627";"Бренд";"BRAND";"привязка";"";""
"163";"IP_PROP22706";"В наличии";"IN_STOCK";"список";"";""
"164";"IP_PROP22707";"Акции";"LINK_SALE";"привязка";"да";""
"165";"IP_PROP22708";"Аксессуары по фильтру";"EXPANDABLES_FILTER";"строка (SAsproCustomFilterMax)";"";""
"166";"IP_PROP22709";"Комплект";"PRODUCT_SET";"список";"";""
"167";"IP_PROP22710";"Товары комплекта";"PRODUCT_SET_FILTER";"строка (SAsproCustomFilterMax)";"";""
"168";"IP_PROP22711";"Группировать товары комплекта";"PRODUCT_SET_GROUP";"список";"";""
"169";"IP_PROP22712";"Подпись к товару";"SUB_TITLE";"строка";"";""
"170";"IP_PROP22713";"Количество отзывов";"EXTENDED_REVIEWS_COUNT";"число";"";""
"171";"IP_PROP22714";"Рейтинг по отзывам";"EXTENDED_REVIEWS_RAITING";"число";"";""
"172";"IP_PROP22715";"Количество проголосовавших";"vote_count";"строка";"";""
"173";"IP_PROP22716";"Сумма оценок";"vote_sum";"строка";"";""
"174";"IP_PROP22717";"Рейтинг";"rating";"строка";"";""
"175";"IP_PROP22733";"Товар дня";"FAVORIT_ITEM";"список";"";""
"176";"IP_PROP22722";"HAS_PRICE";"HAS_PRICE";"список";"";""
"177";"IP_PROP23108";"Шаблон КП";"KP_TEMPLATE";"привязка";"";""
"178";"IC_GROUP0";"категория ур.1";"";"системное";"";""
"179";"IC_GROUP1";"категория ур.2";"";"системное";"";""
"180";"IC_GROUP2";"категория ур.3";"";"системное";"";""
