"колонка";"свойство";"заполнено (все товары)";"% всех";"заполнено (компрессоры)";"% компрессоров";"уникальных значений";"топ-5 значений"
"IP_PROP22713";"Количество отзывов";"26673";"97.1";"19460";"97.0";"52";"61 (569); 72 (562); 50 (561); 84 (560); 94 (557)"
"IP_PROP22714";"Рейтинг по отзывам";"26674";"97.1";"19461";"97.0";"12";"5 (7106); 4.6 (2014); 4.1 (2000); 4.8 (1991); 4.4 (1971)"
"IP_PROP22715";"Количество проголосовавших";"26671";"97.1";"19458";"97.0";"51";"61 (569); 72 (562); 50 (561); 84 (560); 94 (557)"
"IP_PROP22716";"Сумма оценок";"26671";"97.1";"19458";"97.0";"465";"360 (268); 315 (232); 260 (197); 420 (196); 410 (189)"
"IP_PROP22717";"Рейтинг";"26672";"97.1";"19459";"97.0";"11";"5 (7107); 4.6 (2014); 4.1 (2000); 4.8 (1991); 4.4 (1971)"
"IP_PROP22733";"Товар дня";"5";"0.0";"5";"0.0";"1";"Y (5)"
"IP_PROP22722";"HAS_PRICE";"20955";"76.3";"15390";"76.7";"1";"да (20955)"
"IP_PROP23108";"Шаблон КП";"1";"0.0";"1";"0.0";"1";"326520 (1)"
"IC_GROUP0";"категория 1";"27434";"99.8";"20054";"100.0";"9";"Воздушные компрессоры (20054); Осушители (2842); Подготовка воздуха (2658); Запасные части и расходники (1494); Ресиверы (311)"
"IC_GROUP1";"категория 2";"24197";"88.1";"17175";"85.6";"35";"По типу (12466); По объему ресивера (12444); По типу смазки (11242); По типу привода (9221); По комплектации (8608)"
"IC_GROUP2";"категория 3";"17442";"63.5";"17041";"85.0";"17";"Винтовые (13266); Для цеха (12562); Безмасляные (1976); Для фотосепараторов (851); Для выдува ПЭТ (813)"
