list;god_ishodno;zakazchik;obekt;oborudovanie;god;strana;stroka
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;КС Курск;НКУ;2008;Россия;управления и распределения (НКУ) Россия КС Курск 2 2008 ЩШМ, щит КИП
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Уренгойское НГКМ Факельн;КТП;2008;Россия;(КТП) Россия Уренгойское НГКМ Факельн 1 2008 2БКТПА-400/6/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;;НКУ;2008;Россия;управления и распределения (НКУ) Россия 17 2008 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Октябрьская КС;КТП;2008;Россия;(КТП) Россия Октябрьская КС 1 2008 2БКТП-160/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 3 2008 РУСМ 5135-1874 УХЛ4-26,
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Реконструкция технологических объектов ОГПЗ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Реконструкция технологических объектов ОГПЗ 2 2008 РУСМ 5101-3174, ЯУ8254-
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Юрхаровского МР;НКУ;2008;Россия;управления и распределения (НКУ) Россия Юрхаровского МР 1 2008 щит ГЩУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Дзуарикау-Цхинвал;НКУ;2008;Россия;управления и распределения (НКУ) Россия Дзуарикау-Цхинвал 2 2008 Я5114-1874 УХЛ4-20,
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Калининградское ПХГ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Калининградское ПХГ 2 2008 ЩТА-63М, ЩШМ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Ярковская КС-10;НКУ;2008;Россия;управления и распределения (НКУ) Россия Ярковская КС-10 6 2008 ШоЭ-1
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Бованенковское и Харасавейское ГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Бованенковское и Харасавейское ГКМ 1 2008 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 17 2008 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 2 2008 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 1 2008 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 1 2008 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Реконструкция Беслан;НКУ;2008;Россия;управления и распределения (НКУ) Россия Реконструкция Беслан 3 2008 ШКНО
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;КС Перегребненская;НКУ;2008;Россия;управления и распределения (НКУ) Россия КС Перегребненская 8 2008 ШОЭ2, ШОЭ3
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;КС Новокомсомольская;НКУ;2008;Россия;управления и распределения (НКУ) Россия КС Новокомсомольская 12 2008 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Уренгойском УКПГ;;2008;;Уренгойском УКПГ 1 2008 2БКТПА-400/6/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Новопортовская КС;КТП;2008;Россия;(КТП) Россия Новопортовская КС 5 2008 2КТП-400, 2КТП-630, 2КТП-
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 2 2008 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2008;;Заполярное НГКМ;НКУ;2008;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 2 2008 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Заполярное НГКМ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 3 2009 ПР8511
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Новопортовское МР;КТП;2009;Россия;(КТП) Россия Новопортовское МР 5 2009 2КТП-400, 2КТП-630, 2КТП-
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Заполярное НГКМ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 4 2009 ПР8511
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Вуктыльская КС;НКУ;2009;Россия;управления и распределения (НКУ) Россия Вуктыльская КС 1 2009 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Озеро №41;КТП;2009;Россия;(КТП) Россия Озеро №41 1 2009 2КТП-ЭП-250/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Озеро №41;НКУ;2009;Россия;управления и распределения (НКУ) Россия Озеро №41 2 2009 ЩР1, ЩР2
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Калужское ПХГ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Калужское ПХГ 4 2009 ЩОС, ЩВХ, ЩТ, ЩАВР
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Богандинская КС-11;НКУ;2009;Россия;управления и распределения (НКУ) Россия Богандинская КС-11 2 2009 ШОЭ-2-02
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Комсомольский ГП;НКУ;2009;Россия;управления и распределения (НКУ) Россия Комсомольский ГП 2 2009 2ШЩ5.1, 2ШЩ5.2
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Медвежье МР;НКУ;2009;Россия;управления и распределения (НКУ) Россия Медвежье МР 1 2009 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Калининградское ПХГ;КТП;2009;Россия;(КТП) Россия Калининградское ПХГ 1 2009 2КТПА-630
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Калининградское ПХГ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Калининградское ПХГ 4 2009 ШЩ, ШЩО
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Ачимовские отложения Уренгойского ГМ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Ачимовские отложения Уренгойского ГМ 2 2009 14ШЩ1, Я1
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Заполярное НГКМ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 1 2009 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;"ООО ""НГХК""";;КТП;2009;Россия;"(КТП) Россия ООО ""НГХК"" 1 2009 2КТП-ЭП-1000/10/0,4,"
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ивдельское ЛПУ;КЦ-4, КЦ-5;КТП;2009;Россия;(КТП) Россия Ивдельское ЛПУ КЦ-4, КЦ-5 2 2009 2КТП-1000/6
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Комсомольское ЛПУ;КЦ-1, 2;КТП;2009;Россия;(КТП) Россия Комсомольское ЛПУ КЦ-1, 2 2 2009 2КТП-1000/6
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Лялинское ЛПУ;КЦ-4, КЦ-5;КТП;2009;Россия;(КТП) Россия Лялинское ЛПУ КЦ-4, КЦ-5 2 2009 2КТП-630/10
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Комсомольский ГП;НКУ;2009;Россия;управления и распределения (НКУ) Россия Комсомольский ГП 7 2009 1ШЩ1, 70ШЩ, 70Н1.1Ш,
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;;НКУ;2009;Россия;управления и распределения (НКУ) Россия 1 2009 ШкД-13М
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Ямбургское НГКМ;НКУ;2009;Россия;управления и распределения (НКУ) Россия Ямбургское НГКМ 2 2009 ШОЭ8331М, ЩСХ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;Реконструкция эл. Станции ГТЭС-72;НКУ;2009;Россия;управления и распределения (НКУ) Россия Реконструкция эл. Станции ГТЭС-72 1 2009 Шкаф синхронизации
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;ГИС Шаран;;КТП;2009;Россия;(КТП) Россия ГИС Шаран 1 2009 2КТПА-160/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Бованенковское НГКМ 1 2009 ПР8511
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Сосьвинское ЛПУ;;КТП;2009;Россия;(КТП) Россия Сосьвинское ЛПУ 2 2009 2КТП-1000/6, 2КТП-630/6
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Уральское ЛПУ;;КТП;2009;Россия;(КТП) Россия Уральское ЛПУ 2 2009 2КТП-1000/6, 2КТП-630/6
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Казымское ЛПУ;;КТП;2009;Россия;(КТП) Россия Казымское ЛПУ 2 2009 2КТП-1000/6
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Юбилейное ЛПУ;;КТП;2009;Россия;(КТП) Россия Юбилейное ЛПУ 1 2009 2КТП-630/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ставропольское ЛПУ;;КТП;2009;Россия;(КТП) Россия Ставропольское ЛПУ 1 2009 2КТПА-ЭП-1000/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Парабель КС-3;;КТП;2009;Россия;(КТП) Россия Парабель КС-3 1 2009 2КТПА-630/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Таежное ЛПУ;;КТП;2009;Россия;(КТП) Россия Таежное ЛПУ 2 2009 2КТП-1000/10
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Заполярное НГКМ;;КТП;2009;Россия;(КТП) Россия Заполярное НГКМ 5 2009 2КТП-630, 2КТП-1600
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Заполярное НГКМ;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 2 2009 1ШЩ, 2ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Бованенковское НГКМ 4 2009 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;КТП;2009;Россия;(КТП) Россия Бованенковское НГКМ 1 2009 2БКТПА-1000/6/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;"ООО ""НГХК""";;КТП;2009;Россия;"(КТП) Россия ООО ""НГХК"" 2 2009 2КТПА-2000"
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Синдор КС;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Синдор КС 7 2009 АЩСУ,ОЩСУ,ПУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ямбургская КС-4;;КТП;2009;Россия;(КТП) Россия Ямбургская КС-4 1 2009 2КТПА-1250/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ямбургская КС-4;;КТП;2009;Россия;(КТП) Россия Ямбургская КС-4 1 2009 2КТПА-400/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ямбургская КС-4;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Ямбургская КС-4 18 2009 ЩРО, ЯУО9601, ПР99
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Энергоцентр;;КТП;2009;Россия;(КТП) Россия Энергоцентр 1 2009 2КТПА-1250
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Энергоцентр;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Энергоцентр 1 2009 ЩГП
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Парабель КС;;КРУ;2009;Россия;(КРУ) Россия Парабель КС 1 2009 ЗРУ 10кВ К-204
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Заволжская КС;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Заволжская КС 1 2009 РУНН
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Заполярное НГКМ;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 2 2009 1ШЩ, 2ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Краснознаменская КС;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Краснознаменская КС 3 2009 ШУС1-ШУС3
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Уренгойское НГКМ;;КТП;2009;Россия;(КТП) Россия Уренгойское НГКМ 1 2009 2КТПА-1000
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Уренгойское НГКМ;;КТП;2009;Россия;(КТП) Россия Уренгойское НГКМ 1 2009 2КТПА-630
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Комсомольский ГП;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Комсомольский ГП 1 2009 РУНН-0,4кВ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Комсомольский ГП;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Комсомольский ГП 4 2009 36ШЩ,33ШЩ,19ШЩ1,8.9
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Комсомольский ГП;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Комсомольский ГП 1 2009 РУНН-0,4кВ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ямбургская КС-4;;КТП;2009;Россия;(КТП) Россия Ямбургская КС-4 1 2009 2КТПА-1250/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Ямбургская КС-4;;КТП;2009;Россия;(КТП) Россия Ямбургская КС-4 1 2009 2КТПА-400/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;КТП;2009;Россия;(КТП) Россия Бованенковское НГКМ 1 2009 2БКТП-160
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;КТП;2009;Россия;(КТП) Россия Бованенковское НГКМ 1 2009 2БКТП-1000
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;КТП;2009;Россия;(КТП) Россия Бованенковское НГКМ 1 2009 2БКТПА-400/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Бованенковское НГКМ 9 2009 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;Бованенковское НГКМ;;НКУ;2009;Россия;управления и распределения (НКУ) Россия Бованенковское НГКМ 1 2009 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;Ивановская КС;;НКУ;2010;Россия;управления и распределения (НКУ) Россия Ивановская КС 2 2010 ШО-3, ЩГП
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;Заполярное НГКМ;;НКУ;2010;Россия;управления и распределения (НКУ) Россия Заполярное НГКМ 4 2010 ПР99
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;Москово КС-5;;НКУ;2010;Россия;управления и распределения (НКУ) Россия Москово КС-5 3 2010 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;Квачинское МР;;КТП;2010;Россия;(КТП) Россия Квачинское МР 1 2010 БКТП-400
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Бованенковское НГКМ 2 2010 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;"управления и распределения (НКУ) Россия ООО ""НГХК"" 2 2010 ВРУ-1 с АВР, ВРУ-2"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Заполярное НГКМ 12 2010 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Лукояновская КС 1 2010 2КТП-630
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Лукояновская КС 1 2010 2КТПА-630/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Лукояновская КС 1 2010 ЩГП
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 Шкаф Ш
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 11 2010 ШЩ2, ШУС1-ШУС10
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Елизаветинская КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Елизаветинская КС 1 2010 2КТПА-1600
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Заполярное НГКМ 1 2010 ПР8511В-1.04-32.2 УХЛ3.1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Ивановская КС 1 2010 2КТП-630
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Ивановская КС 1 2010 Шкаф управления,
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Бованенковское НГКМ 1 2010 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Аэропорт Бованенковского НГКМ 43 2010 НКУ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Бабаевская КС 9 2010 ШУС1-ШУС4, Ш, ШЩ,
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Заполярное НГКМ 4 2010 БМ130А
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Бованенковское НГКМ 1 2010 2БКТП-1000
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Заполярное НГКМ 1 2010 КТПСО-ЭПГ-4/6/0,23
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Грязовецкая КС 5 2010 ШУС1, ШУС2, ШУС3,
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Грязовецкая КС 1 2010 2КТПА-1000
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;"(КТП) Россия ООО ""НГХК"" 1 2010 2КТП-400/10/0,4"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;"управления и распределения (НКУ) Россия ООО ""НГХК"" 1 2010 904Щ"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;"(КТП) Россия ООО ""НГХК"" 1 2010 2КТП-ЭП-1600/10/0,4"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Ямбургское НГКМ 1 2010 1ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Заполярное НГКМ 1 2010 2КТПА-ЭП-1000/6/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;"(КТП) Россия ООО ""НГХК"" 1 2010 2КТП-1000/10/0,4"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Степновское СПХГ 1 2010 2КТПА-ЭП-400
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Парабель КС 6 2010 Стойка РДО
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Степновское СПХГ 5 2010 1ШЩ, 2ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Степновское СПХГ 2 2010 1ШЩ, 2ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;управления и распределения (НКУ) Россия Степновское СПХГ 5 2010 ПР8511В
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;;;;;(КТП) Россия Грязовец КС 1 2010 2КТПА-630
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Бованенковское НГКМ;КТП;2010;Россия;(КТП) Россия Бованенковское НГКМ 1 2010 КТПСО-ЭПГ-4/10/0,23
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Сургутский ЗСК;КТП;2010;Россия;(КТП) Россия Сургутский ЗСК 1 2010 2БКТП-400/6/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Сургутский ЗСК;НКУ;2010;Россия;управления и распределения (НКУ) Россия Сургутский ЗСК 1 2010 ЩСУ УУСК
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Бабаевская КС;КТП;2010;Россия;(КТП) Россия Бабаевская КС 2 2010 2КТПА-1000/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Ретрофит;НКУ;2010;Россия;управления и распределения (НКУ) Россия Ретрофит 2 2010 Шкафы РУНН 0,4кВ (2КТП-
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Бованенковское НГКМ;НКУ;2010;Россия;управления и распределения (НКУ) Россия Бованенковское НГКМ 2 2010 ШКК, ШУМ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Чажемто КС;КРУ;2010;Россия;(КРУ) Россия Чажемто КС 1 2010 К-204
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Чажемто КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Чажемто КС 6 2010 Стойка КИПиА
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Чажемто КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Чажемто КС 6 2010 Стойка фильтров
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Нартовая;КТП;2010;Россия;(КТП) Россия Нартовая 1 2010 2БКТПА-250
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;"ООО ""НГХК""";;НКУ;2010;Россия;"управления и распределения (НКУ) Россия ООО ""НГХК"" 1 2010 1ШЩ"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Ивановская КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Ивановская КС 2 2010 ЩГП
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;КТП;2010;Россия;(КТП) Россия Портовая КС 3 2010 2КТПА-ЭП-1600
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 4 2010 ШЩ2, ШЩ3, ЩОА, ЩО
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;КТП;2010;Россия;(КТП) Россия Портовая КС 1 2010 2КТПА-ЭП-1600/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;КТП;2010;Россия;(КТП) Россия Портовая КС 1 2010 2КТПА-ЭП-630/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Бованенковское НГКМ;НКУ;2010;Россия;управления и распределения (НКУ) Россия Бованенковское НГКМ 1 2010 АВР
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Портовая КС;НКУ;2010;Россия;управления и распределения (НКУ) Россия Портовая КС 1 2010 ШЩ1
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-400/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2КТПА-ЭП-1250/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2КТПА-ЭП-1000/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-250/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-1250/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-630/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-1000/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-1000/10/0,4
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;Байдарацкая КС;КТП;2010;Россия;(КТП) Россия Байдарацкая КС 1 2010 2БКТПА-ЭП-630/10/0,4
