list;stranica;zakazchik;god_min;god_max;hvost
1_referentsii_repkh_eksport_po_stranam.pdf;3;3 Паровая турбина АКВ-12-5 Болгария Кремиковцы МК Кремиковцы МК 1;1968;1968;1968 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;3;аммиак аз.кисл 1;1981;1981;1981 15 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;4;1 К-3250-41-1 Болгария Кремиковцы МК Кремиковцы МК 2;1961;1961;1961 9,8 2450 2 0,44 0,10 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;аммиак аз.кисл 1;1962;1962;1962 1,6 6500 1 0,101302695 0,08623202 Электродвигатель Металлургия дымовой газ
1_referentsii_repkh_eksport_po_stranam.pdf;4;3 К-1500-61-2 Болгария Кремиковцы МК Кремиковцы МК 3;1962;1962;1962 8,5 1558 3 0,74 0,96 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;4 К-3250-41-2 Болгария Кремиковцы МК Кремиковцы МК 1;1962;1962;1962 12 3250 2 0,441 0,098 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;5 К-1500-62-2 Болгария АТЗ АТЗ 1;1963;1963;1963 9 1590 3 0,74 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;6 К-1500-62-1 Болгария Кремиковцы МК Кремиковцы МК 1;1963;1963;1963 9 1590 3 0,735 0,095 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;7 Н-540-41-1 Болгария СХК СХК 1;1968;1968;1968 1,6 540 1 0,41 0,10 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;4;8 К-3250-42-1 Болгария Кремиковцы МК Кремиковцы МК 1;1968;1968;1968 9,8 2450 2 0,441 0,098 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;9 К-1500-62-2 Болгария АТЗ АТЗ 2;1976;1976;1976 9 1590 3 0,74 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;10 Н-540-41-1 Болгария СХК СХК 2;1977;1977;1977 1,6 540 1 0,4116 0,095 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;4;12 Н-2900-11-1 Болгария МПК МПК 1;1983;1983;1983 2,5 3000 1 0,1342 0,098 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;13 Н-2900-11-1 Болгария МПК МПК 1;1984;1984;1984 2,5 3000 1 0,13 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;14 К-345-92-1 Болгария Кремиковцы МК Кремиковцы МК 3;1984;1984;1984 3,2 370 4 1,37 0,098 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;Димитровградский завод 1;1985;1985;1985 3,5 345 3 1,32 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;аммиак аз.кисл 1;1985;1985;1985 1,6 540 1 0,4116 0,095 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;4;17 К-345-92-1 Болгария Кремиковцы МК Кремиковцы МК 1;1985;1985;1985 3,2 370 4 1,37 0,10 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;18 Н-7500-11-3 Болгария Кремиковцы МК Кремиковцы МК 1;1988;1988;1988 2,5 7500 1 0,102969825 0,091201845 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;19 К-500-61-5 Болгария Серп и молот МЗ Серп и молот МЗ 1;1988;1988;1988 3,15 510 3 0,75 0,10 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;20 К-905-61-1 Болгария МК им.Ленина МК им.Ленина 1;1988;1988;1988 6 915 3 0,735 0,095 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;21 К-345-92-1 Болгария ТХК ТХК 2;1989;1989;1989 3,5 345 3 1,32 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;22 К-1700-61-1 Болгария 1;1989;1989;1989 10 1700 3 0,736 0,095 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;23 К-1700-61-1 Болгария Кремиковцы МК Кремиковцы МК 1;1990;1990;1990 10 1700 3 0,74 0,10 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;4;24 Н-3300-11-1 Болгария 2;1990;1990;1990 3.15 3526-3862 1 0.1292-0.1323 0.0932 Электродвигатель Химическая различные газы
1_referentsii_repkh_eksport_po_stranam.pdf;4;25 К-1700-61-1 Болгария 1;1991;1991;1991 10 1700 3 0,74 0,10 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;5;1 Паровая турбина АКВ-4 Венгрия Дмолидьер-Вадьяр Дмолидьер-Вадьяр 1;1952;1952;1952 4 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;2 Паровая турбина АКВ-4-2 Венгрия Меткомбинат Меткомбинат 3;1952;1952;1952 4 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;3 Паровая турбина АКВ-4 Венгрия Меткомбинат Меткомбинат 1;1954;1954;1954 4 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;4 Паровая турбина АКВ-4-3 Венгрия Дунайларош Дунайларош 2;1954;1954;1954 4 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;5 Паровая турбина АКВ-6-3 Венгрия Меткомбинат Меткомбинат 2;1954;1954;1954 6 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;6 Паровая турбина АКВ-12-4 Венгрия Меткомбинат Меткомбинат 1;1971;1971;1971 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;7 Паровая турбина АКВ-12-4 Венгрия Меткомбинат Меткомбинат 1;1978;1978;1978 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;5;1 Н;1952;2000;2000-32 Венгрия Меткомбинат Меткомбинат 1 1952 Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;5;2 Н;1954;2000;2000-32 Венгрия Меткомбинат Меткомбинат 1 1954 Металлургия воздух
