dizel-compressor.ru;15;11;3;1;;5;11;6;3;6;;2;;2;2;;;2;;5;·;;;;;;
ekomak-compressor.com;15;;;;;;;;;;15;;;;;;;;;;;·;1;;;;
nsk.prokompressor.ru;13;;;;3;;;1;1;;;;;1;;;;;;;;;·;2;;;
barnaul.prokompressor.ru;13;3;1;1;1;;2;1;1;;;;1;;;;;;;;1;;;·;1;;
vladivostok.prokompressor.ru;14;4;2;;3;;;1;;;;;;;;;;3;;;2;;1;1;·;2;
voronezh.prokompressor.ru;11;3;2;1;2;;1;1;;1;;;;;;3;;;;;;;;1;5;·;
po22.ru;3;2;1;1;2;;;;1;1;;1;;;;;;;;;;;;1;;;·

из них входит и в топ-15 столбца;prokompressor.ru;enger-air.ru;berg-compressor.com;berg-kompressor.ru;remeza-kompressor.ru;meyer-corp.ru;ac-kompressor.ru;zif-kompressor.ru;abac-kompressor.ru;dali-kompressor.ru;ekomak-kompressor.com;crossair-compressor.ru;comaro-kompressor.ru;fini-compressor.com;ironmac-compressor.com;kraftmann-kompressor.com;usort.ru;cmprg.ru;vsefotoseparatory.ru;oil-free.ru;dizel-compressor.ru;ekomak-compressor.com;nsk.prokompressor.ru;barnaul.prokompressor.ru;vladivostok.prokompressor.ru;voronezh.prokompressor.ru;po22.ru
prokompressor.ru;·;4;1;;;;;;;;;;;;;;;;;;;;;1;;1;1
enger-air.ru;4;·;1;;;;;;;;;;1;;;;;;;;2;;;;;1;
berg-compressor.com;1;1;·;8;;;;;;;;;;;;;;;;;;;;;;;
berg-kompressor.ru;;;8;·;;;;;;;;;;;;;;;;;;;;;;;
remeza-kompressor.ru;;;;;·;;;;;;;;;;;;;;;;;;;;;;
meyer-corp.ru;;;;;;·;;;;;;;;;;;2;;6;;;;;;;;
ac-kompressor.ru;;;;;;;·;;;;;;;;;;;;;;1;;;;;;
zif-kompressor.ru;;;;;;;;·;;;;;;;;;;;;;1;;;;;;
abac-kompressor.ru;;;;;;;;;·;;;;;;;;;;;;;;;;;;
dali-kompressor.ru;;;;;;;;;;·;;;;;;;;;;;;;;;;;
ekomak-kompressor.com;;;;;;;;;;;·;;;;;;;;;;;6;;;;;
crossair-compressor.ru;;;;;;;;;;;;·;;;;;;;;;;;;;;;
comaro-kompressor.ru;;1;;;;;;;;;;;·;;;;;;;;;;;;;;
fini-compressor.com;;;;;;;;;;;;;;·;;;;;;;;;;;;;
ironmac-compressor.com;;;;;;;;;;;;;;;·;;;;;;;;;;;;
kraftmann-kompressor.com;;;;;;;;;;;;;;;;·;;;;;;;;;;1;
usort.ru;;;;;;2;;;;;;;;;;;·;;7;;;;;;;;
cmprg.ru;;;;;;;;;;;;;;;;;;·;;;;;;;3;;
vsefotoseparatory.ru;;;;;;6;;;;;;;;;;;7;;·;;;;;;;;
oil-free.ru;;;;;;;;;;;;;;;;;;;;·;;;;;;;
dizel-compressor.ru;;2;;;;;1;1;;;;;;;;;;;;;·;;;;;;
ekomak-compressor.com;;;;;;;;;;;6;;;;;;;;;;;·;;;;;
nsk.prokompressor.ru;;;;;;;;;;;;;;;;;;;;;;;·;;;;
barnaul.prokompressor.ru;1;;;;;;;;;;;;;;;;;;;;;;;·;;;
vladivostok.prokompressor.ru;;;;;;;;;;;;;;;;;;3;;;;;;;·;1;
voronezh.prokompressor.ru;1;1;;;;;;;;;;;;;;1;;;;;;;;;1;·;
po22.ru;1;;;;;;;;;;;;;;;;;;;;;;;;;;·
