inn;predpriyatie;nazvanie_egrul;adres;sayt;rukovoditel;dolzhnost_rukovoditelya;status_egrul;vyruchka;vyruchka_god;okved_osnovnoy;okvedov;okved_kody;ssylka_checko;ssylka_okved
7300000029;"ОАО """"УАЗ";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД""";г Ульяновск, Московское шоссе, д 92;;Швецов Вадим Аркадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;LIQUIDATED;;;;51;29.10 20.11 20.13 29.31 29.32 33.12 33.14 33.20 35.12 35.30.2 38.1 38.2 38.32.3 41.2 43.12 43.2 43.3 45.1 45.20.1 45.3 49.20 49.41.2 52.10 52.10.9 52.24 52.29 55.90 58.19 61.10.9 62.09 68.32 69.10 69.20.2 71.1 71.12.12 71.12.5 71.12.53 71.12.6 71.12.62 71.20.1 71.20.8 71.20.9 73.11 77.11 80.10 80.20 80.30 82.99 85.42 85.42.9 86.90.4;https://checko.ru/company/pao-uaz-1027301486343;https://checko.ru/company/1027301486343/activity
8602060555;"ПАО """"СУРГУТНЕФТЕГАЗ";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУРГУТНЕФТЕГАЗ""";Ханты-Мансийский Автономный округ - Югра, г Сургут, ул Григория Кукуевицкого, д 1 к 1;surgutneftegas.ru;Богданов Владимир Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;68;06.10.1 09.10.9 18.12.9 19.20.1 19.20.2 35.11.1 35.12.1 35.12.2 35.30.14 36.00.1 37.00 41.20.9 42.11 42.21 43.12.3 46.90 47.19 56.29.2 61.10.1 62.09 68.10.21 68.32.1 71.20.1 85.30 86.90.4 90.04.3 06.10.3 06.20.1 08.12 09.10 09.10.1 09.10.2 14.12 18.12 23.99.3 33.12 33.14 33.20 35.12 41.20 42.22.2 43.13 46.71 46.71.2 49.31.2 49.4 52.10 55.10 55.20 56.29 61.10.6 61.10.8 61.10.9 61.20.1 64.91 64.99.11 64.99.12 64.99.3 66.12.1 66.12.2 70.22 71.12 71.12.3 72.19 84.13 85.42 90.04 93.11;https://checko.ru/company/pao-surgutneftegaz-1028600584540;https://checko.ru/company/1028600584540/activity
5836602550;"ООО ТК """"Конкурент";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВАЯ КОМПАНИЯ ""КОНКУРЕНТ""";г Пенза, ул Аустрина, д 182;penza-konkurent.ru;Куличков Сергей Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;54,8 млн;2025;;8;68.20.2 41.20 46.32 46.38 47.29.11 49.41.2 77.12 77.39.29;https://checko.ru/company/tk-konkurent-1025801353126;https://checko.ru/company/1025801353126/activity
4221000630;"АО  """"Органика";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРГАНИКА""";Кемеровская область - Кузбасс, г Новокузнецк, р-н Кузнецкий, Кузнецкое шоссе, д 3;organica-nk.ru;Занина Татьяна Юрьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;2,1 млрд;2021;;10;21.20.1 52.10.9 52.21.29 56.29.2 61.20.1 68.20.29 85.41.99 46.18.1 46.46.1 47.73;https://checko.ru/company/organika-1024201820466;https://checko.ru/company/1024201820466/activity
3523001117;"ОАО """"ЧеМол";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕРЕПОВЕЦКИЙ МОЛОЧНЫЙ КОМБИНАТ""";Вологодская обл, г Череповец, ул Молодежная, д 29;;Козлова Юлия Юрьевна;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;;;;0;;https://checko.ru/company/chemol-1023502290712;https://checko.ru/company/1023502290712/activity
5020037784;"АО """"АБ ИНБЕВ ЭФЕС";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБ ИНБЕВ ЭФЕС""";Московская обл, г Клин, ул Московская, д 28;redfinchnonalco.ru;;;ACTIVE;141,2 млрд;2024;;30;11.05 10.31 10.72.1 11.03 11.07.2 46.34 46.77 68.20.29 69.20.2 01.11.1 01.50 01.61 10.89.3 11.04 11.06 11.07 17.22 22.22 37.00 46.38 46.38.2 52.10 52.10.3 63.99.1 69.20 70.10 70.22 73.11 73.20.1 85.42.9;https://checko.ru/company/ab-inbev-ehfes-1045003951156;https://checko.ru/company/1045003951156/activity
7723332561;"ООО """"НПП """"НЕФТЕХИМИЯ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""НЕФТЕХИМИЯ""";г Москва, Капотня 2-й кв-л, д 1 к 13;neftekhimia.ru;Горобец Евгений Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;10,3 млрд;2025;;19;20.16 19.20 19.20.2 20.11 20.59.5 22.29.2 22.29.9 33.20 35.12 42.99 43.21 43.29 43.99.9 49.50.2 71.12 71.12.45 72.19 72.19.2 73.11;https://checko.ru/company/npp-neftekhimiya-1037723015880;https://checko.ru/company/1037723015880/activity
1826001360;"ОАО """"Удмуртский хладокомбинат";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УДМУРТСКИЙ ХЛАДОКОМБИНАТ""";г Ижевск, ул Маяковского, д 44;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМОС ГРУПП""";;LIQUIDATED;;;;26;10.52 10.20 10.5 10.51 10.51.3 10.72 10.84 35.30.1 46.32 46.32.3 46.33.1 46.33.3 46.38.1 46.38.26 46.38.29 47.22 47.23 47.23.1 47.24 47.24.3 47.26 47.29 49.4 56.29 68.20.2 77.11;https://checko.ru/company/udmurtsky-hladokombinat-1021801434016;https://checko.ru/company/1021801434016/activity
8401005730;"ПАО """"ГМК """"НОРИЛЬСКИЙ НИКЕЛЬ";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""";Красноярский край, г Дудинка, ул Морозова, д 1;;Потанин Владимир Олегович;ПРЕЗИДЕНТ;ACTIVE;855,9 млрд;2021;;122;24.45.1 07.29.1 20.11 20.13 24.41 24.44 33.12 35.11.1 35.30.11 38.11 38.21.22 38.32.3 43.11.1 46.72 46.90 49.20.9 49.41.1 50.20.19 50.20.23 50.20.29 52.10.9 52.22.19 52.24.1 52.24.2 52.29 55.10 56.10.1 62.02.9 63.11.1 68.20.1 68.20.21 68.20.29 69.10 70.10 71.12.15 71.12.2 71.12.3 71.20.1 71.20.9 77.40 81.29.2 93.11 93.29.9 07.29 20.51 24.45 28.12 33.20 35.11 35.30 36.00 37.00 38.12 38.21 38.22 38.32.2 41.20 42.11 42.13 42.22.3 42.91 42.91.2 42.99 43.11 43.12.3 43.13 43.21 43.22 43.29 43.31 43.32 43.33 43.34 43.39 43.91 43.99 45.20 49.20 49.20.1 49.31 49.31.2 49.4 49.41 50.20 50.30 50.40 51.21 52.10 52.21 52.21.13 52.21.2 52.21.24 52.22 52.22.18 52.23.1 52.23.11 52.23.12 52.24 68.10 68.20 68.32 70.10.1 70.22 71.12 71.12.1 71.12.5 71.12.6 71.20 72.19 73.20 74.30 74.90.32 77.11 77.33.1 77.39.11 79.90.2 84.25.1 84.25.9 90.04 90.04.3 91.01 96.04;https://checko.ru/company/pao-gmk-norilsky-nikel-1028400000298;https://checko.ru/company/1028400000298/activity
8300004226;"АО """"АРКТИКНЕФТЬ";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКНЕФТЬ""";121471, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ МОЖАЙСКИЙ, УЛ. ГВАРДЕЙСКАЯ, Д. 16, ПОМЕЩ. 1/П;;Щепетов Сергей Юрьевич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;BANKRUPT;542,2 млн;2025;;7;06.10.1 06.10.3 09.10 19.20 43.13 46.71 71.12.3;https://checko.ru/company/arktikneft-1028301646845;https://checko.ru/company/1028301646845/activity
4345000295;"ЗАО """"КИРОВМОЛКОМБИНАТ"""" (ЗАО """"КМК"""")";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИРОВСКИЙ МОЛОЧНЫЙ КОМБИНАТ""";г Киров, ул Воровского, д 105;kmk-milk.ru;Сураева Любовь Федоровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;8,7 млрд;2025;;70;10.51 35.30.14 43.29 46.90 68.20.29 86.23 91.02 01.11 01.11.1 01.13.12 01.41 01.61 01.62 10.11.1 10.51.3 10.61.2 10.71 10.73.1 10.86 10.86.1 10.86.12 10.86.62 18.12 26.51 28.22 28.25 28.93 28.95 33.11 35.11 35.12 35.13 35.30 35.30.3 36.00.2 41.20 42.91.2 43.99 46.17 46.21 46.9 47.29 49.3 49.31 49.39.1 49.4 49.41 49.41.1 49.41.2 52.10 52.10.1 52.10.3 52.21.2 52.21.24 55.90 56.29 62.09 68.10.21 68.20 68.20.2 68.32.2 70.22 71.12.1 71.12.3 71.12.5 71.12.6 72.19 82.99 84.13 91.01;https://checko.ru/company/kirovmolkombinat-zao-kmk-1034316500107;https://checko.ru/company/1034316500107/activity
1609013424;"ООО """"АРЧА";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРЧА""";Респ Татарстан, г Арск, ул Вокзальная, д 1;;Мингазов Минтимер Вагизович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;12,8 млрд;2025;;29;10.51.3 10.51.2 10.51.4 10.51.9 47.11 47.99 49.41.1 01.1 01.2 01.4 01.50 10.41 10.51 10.51.1 10.89 11.0 11.07 11.07.1 11.07.2 36.00.1 47.1 47.2 47.5 47.9 55.1 55.30 56.10 56.10.1 56.10.3;https://checko.ru/company/archa-1131690037489;https://checko.ru/company/1131690037489/activity
8604035473;"ООО """"РН-ЮГАНСКНЕФТЕГАЗ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ЮГАНСКНЕФТЕГАЗ""";Ханты-Мансийский Автономный округ - Югра, г Нефтеюганск, ул Ленина, стр 26;;Чепкасов Виталий Валерьевич;ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ГЕНЕРАЛЬНОГО ДИРЕКТОРА;ACTIVE;324,2 млрд;2021;;96;09.10.9 08.12.1 33.14 35.11.4 35.12.1 35.12.2 35.30.14 36.00.2 37.00 46.90 49.50.21 52.10.9 52.24.2 56.29.2 68.20.1 68.20.29 68.31.52 69.10 69.20.2 70.22 71.12.2 77.39.11 82.99 85.30 85.42.9 06.10.3 09.10 33.12 33.20 35.11 35.11.1 35.12 35.13 35.30.3 35.30.4 35.30.5 36.00.1 38.32.2 38.32.3 38.32.4 38.32.5 42.21 42.22.1 42.22.2 43.21 45.20 46.12.31 46.75 46.75.2 46.77 49.20 49.41.1 49.50.1 49.50.11 49.50.12 52.10 52.10.21 52.21.1 52.21.2 52.22.2 52.24 52.24.1 52.29 55.90 62.09 63.11.1 68.2 68.3 71.12 71.12.3 71.12.4 71.12.45 71.12.53 71.12.54 71.12.55 71.12.61 71.12.62 71.20.1 71.20.3 71.20.4 71.20.9 72.19 77.11 77.3 77.33 77.39 77.39.1 80.10 80.20 80.30 84.25.1 85.41 85.41.9 85.42 86.90.9 95.11;https://checko.ru/company/rn-yuganskneftegaz-1058602819538;https://checko.ru/company/1058602819538/activity
5907016890;"АО """"КАМТЭКС-ХИМПРОМ";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМТЭКС-ХИМПРОМ""";г Пермь, ул Соликамская, зд 293;kamtex-himprom.ru;Бреднева Оксана Олеговна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;4,9 млрд;2025;;41;20.14.3 20.11 35.13 35.30.11 36.00.2 39.00 46.90 49.20.9 49.41.2 49.50.21 52.24.2 56.29.2 61.10.1 68.20.29 72.19.9 77.39.11 80.20 82.99 20.14 20.41 20.59.5 22.29.2 33.12 37.00 41.20 43.39 43.99 46.19 46.38 47.29.3 47.78 47.9 52.23.22 56.29 68.10 68.20 68.31 71.12 71.20.1 71.20.9 86.90.9;https://checko.ru/company/kamtehks-himprom-1025901512339;https://checko.ru/company/1025901512339/activity
4213009781;"ООО """"Мариинский спиртовой комбинат";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРИИНСКИЙ СПИРТОВОЙ КОМБИНАТ""";Кемеровская область - Кузбасс, г Мариинск, ул Юбилейная, д 2А;;Киричек Александр Григорьевич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;;;;10;11.01.4 46.19 46.75.2 46.90 52.10 52.24 52.29 68.20 82.99 96.09;https://checko.ru/company/mariinsky-spirtovoy-kombinat-1124213000185;https://checko.ru/company/1124213000185/activity
6730008003;"ОАО """"Айсберг"""" (ИНН 6730008003)";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙСБЕРГ""";г Смоленск, ул Нарвская, д 4;;Широков Сергей Сергеевич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;;;;7;27.51 35.30.14 47.11 47.54 47.7 49.4 68.20.2;https://checko.ru/company/aysberg-1026701420888;https://checko.ru/company/1026701420888/activity
1648033456;"АО """"ЗМК"""" (ИНН 1648033456)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗЕЛЕНОДОЛЬСКИЙ МОЛОЧНОПЕРЕРАБАТЫВАЮЩИЙ КОМБИНАТ""";Респ Татарстан, г Зеленодольск, ул Карла Маркса, зд 48;zelmolkom.ru;Галиев Ауфар Зуфарович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;17,2 млрд;2025;;22;10.51.1 10.51.2 10.51.3 10.51.9 10.86.11 35.30.14 46.33 56.29.2 10.51 10.51.4 46.33.1 46.38.2 47.29.11 47.29.3 49.41 52.24.2 52.29 56.29 68.20 75.00 77.11 77.12;https://checko.ru/company/zmk-1121673001230;https://checko.ru/company/1121673001230/activity
1653005126;"АО """"НЭФИС КОСМЕТИКС";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЭФИС КОСМЕТИКС"" - КАЗАНСКИЙ ХИМИЧЕСКИЙ КОМБИНАТ ИМЕНИ М.ВАХИТОВА (МЫЛОВАРЕННЫЙ И СВЕЧНОЙ ЗАВОД №1 БЫВШИХ КРЕСТОВНИКОВЫХ)";г Казань, ул Габдуллы Тукая, д 152;nefco.ru;Лаврикова Дина Фаридовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;21,5 млрд;2025;;33;20.41.3 10.41.7 20.14.7 20.41.1 20.42 32.99.9 46.45.1 49.42 70.22 82.30.3 10.41 10.41.5 20.14 20.41 20.59 22.22 32.99 41.20 43.11 43.12.3 43.21 43.22 43.91 43.99 47.91 49.4 55.90 56.29 68.20 68.32 73.11 73.11.1 86.21;https://checko.ru/company/nehfis-kosmetiks-1021603463705;https://checko.ru/company/1021603463705/activity
8603089934;"АО """"САМОТЛОРНЕФТЕГАЗ";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""";Ханты-Мансийский Автономный округ - Югра, г Нижневартовск, ул Ленина, зд 4;samotlor.rosneft.ru;Кудряшов Александр Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;328,9 млрд;2020;;52;06.10.1 06.10.3 08.12.1 09.10.9 35.30.14 35.30.2 46.90 49.50.21 68.20.1 06.10 09.10.1 35.12 35.30.1 36.00 41.20 42.21 42.22.1 46.12.1 46.12.3 46.14.1 46.14.9 46.16.2 46.18.9 46.19 46.42.1 46.42.2 46.63 46.69.9 49.20 49.41 49.50.11 49.50.2 50.40 52.10 52.21.29 52.24 55.20 63.11.1 68.10 68.10.22 68.20 71.12 71.12.1 71.12.3 71.12.4 71.12.6 77.33 77.39 85.30 85.42 85.42.9 91.01;https://checko.ru/company/samotlorneftegaz-1028600940576;https://checko.ru/company/1028600940576/activity
9106002678;"АО """"Бром";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРОМ""";Респ Крым, г Красноперекопск, ул Северная, д 1;;Копьев Роман Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;1 млрд;2025;;8;20.13 33.12 68.20.29 46.75 49.4 52.10.9 52.29 69.10;https://checko.ru/company/brom-1149102100399;https://checko.ru/company/1149102100399/activity
5260112442;"ООО """"Айс-Оптима 7";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙС-ОПТИМА 7""";Нижегородская обл, г Нижний Новгород, ул Героя Попова, д 43В, офис 5;;Базыль Алексей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;LIQUIDATED;57,6 млн;2024;;61;68.20.2 33.12 33.14 41.20 42.21 42.22 42.99 43.11 43.12 43.21 43.22 43.29 43.31 43.32 43.33 43.34 43.39 43.91 43.99 46.13.2 46.38.1 46.44.1 46.71.9 46.73.1 46.73.2 46.73.3 46.73.4 46.73.5 46.73.6 46.73.7 46.73.8 46.74.1 46.74.2 46.74.3 47.23 47.23.1 47.23.2 47.30.1 47.30.11 47.30.12 47.30.2 47.52.7 47.52.79 52.10 52.10.1 71.11.1 71.11.2 71.11.3 71.12 71.12.1 71.12.11 71.12.12 71.12.13 71.12.14 71.12.45 71.12.8 73.11 73.20 73.20.1 73.20.2 81.30;https://checko.ru/company/ays-optima-7-1025203036198;https://checko.ru/company/1025203036198/activity
1300000807;"ГУП  Республики Мордовия """"Развитие села";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ МОРДОВИЯ ""РАЗВИТИЕ СЕЛА""";г Саранск, ул Московская, д 1;;Локтев Евгений Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;LIQUIDATED;;;;44;64.91 01.61 10.11.1 10.11.2 10.11.3 10.11.6 10.13.1 10.13.2 10.13.4 10.13.6 10.61.2 10.71 10.91.1 10.91.3 46.21 46.21.11 46.21.12 46.21.13 46.21.14 46.23 46.24 46.32.1 46.32.2 46.33.3 46.38.23 46.61.1 46.75.1 46.90 47.11.3 47.24.1 47.52.7 49.41.2 52.10.3 56.10.1 64.92 64.92.1 77.11 77.12 77.31 77.32 77.39.11 77.39.21 77.39.23 77.39.25;https://checko.ru/company/grmrs-1021300971614;https://checko.ru/company/1021300971614/activity
1660297582;"ООО """"КАЗАНСКИЙ МОЛОЧНЫЙ КОМБИНАТ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗАНСКИЙ МОЛОЧНЫЙ КОМБИНАТ""";г Казань, ул Академика Арбузова, д 7;milkom-komos.ru;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМОС ГРУПП""";;ACTIVE;15,9 млрд;2025;;18;10.51.1 10.51.9 35.30.14 46.33 49.41.1 68.20.29 10.11.1 10.51 10.51.2 10.51.3 10.71 28.93 33.11 35.11 43.29 43.99 68.20.2 77.11;https://checko.ru/company/kazansky-molochny-kombinat-1171690074126;https://checko.ru/company/1171690074126/activity
