employer;hits;queries;agency;profile_match
ООО УралГидроМашСервис;1;главный энергетик;;
ООО Грайнер Пэкэджин;1;главный энергетик;;
Ирина Рудзик;1;главный энергетик;;
Администрация Губернатора Забайкальского края;1;главный энергетик;;
Мир специй, Производственно-торговый холдинг;1;главный энергетик;;
АО Пензтеплоснабжение;1;главный энергетик;;да
ООО Завод деревоизделий;1;главный энергетик;;да
Арарат Парк Хаятт Москва;1;главный энергетик;;
ООО ЖКУ;1;главный энергетик;;
ООО РИИР Кемерово;1;главный энергетик;;
ООО ТОЧИНВЕСТ-ШЗМК;1;главный энергетик;;
Karl Schmidt Spedition GmbH Co. KG;1;главный энергетик;;
Публично-правовая компания Военно-строительная компания;1;главный энергетик;;
ООО Вертикаль;1;главный энергетик;;
Лакра;1;главный энергетик;;
ООО ИНЭСИС;1;главный энергетик;;
ООО Производственная Компания Контур;1;главный энергетик;;
АО «Алтайэнергосбыт» (Энергосбыт, ЕИРЦ, НЭСК);1;главный энергетик;;да
Операционные Системные Возможности;1;главный энергетик;;
Компания Север;1;главный энергетик;;
ООО Rostic’s Офис;1;главный энергетик;;
ООО СПД БИРС;1;главный энергетик;;
ООО Форма;1;главный энергетик;;
Villeroy Boch Tableware division;1;главный энергетик;;
ООО БСК Индустрия;1;главный энергетик;;
ООО Арсиспро;1;главный энергетик;;
ООО Локтефф Групп;1;главный энергетик;;
ООО Компания Хома;1;главный энергетик;;
ООО Евразийский рыбный центр;1;главный энергетик;;
Группа компаний ВЕКТОР (ООО Арбелос);1;главный энергетик;;
ООО Пензенский Завод Энергетического Машиностроения;1;главный энергетик;;да
ГалоПолимер;1;главный энергетик;;
ВОЛМА;1;главный энергетик;;
АО УК ГидроОГК;1;главный энергетик;;
ООО Флагманские Линии;1;главный механик;;
ООО Русский Бизнес Концерн-РУБИКОН;1;главный механик;;
АО ПЕТРУС;1;главный механик;;
ООО ДальСтройМагистраль;1;главный механик;;
ИП Перекопская Людмила Михайловна;1;главный механик;;
Кемеровское Акционерное Общество Азот;1;главный механик;;
АО Завод Труд;1;главный механик;;да
ООО Сибтрансмонтаж;1;главный механик;;
ООО Современные Технологии Земледелия;1;главный механик;;
ООО Паритет-Плюс;1;главный механик;;
ГБЦ;1;главный механик;;
ООО Инженер;1;главный механик;;
ООО М4Е;1;главный механик;;
Барнаульский молочный комбинат;1;главный механик;;да
ООО ТК Универсал;1;главный механик;;
ООО АвтоСпецГабарит;1;главный механик;;
Диалог.PRO;1;главный механик;;
ООО МФ Система;1;главный механик;;
АО Каширский Завод Металлоконструкций и Котлостроения;1;главный механик;;да
ООО Монтажстрой;1;главный механик;;
ООО БАРС МОТОРС;1;главный механик;;
Ультрадекор ГМХ;1;главный механик;;
ООО Барнаульский завод механических прессов;1;главный механик;;да
ООО Крал-консерв;1;главный механик;;
ООО Агентство Бизнес и Кадры;1;главный механик;;
Производственная компания Такеда;1;главный механик;;
Камшат;1;главный механик;;
ООО Спецпромстрой;1;главный механик;;
Спецтранс, Компания;1;главный механик;;
ЗАО ПОШ-Химволокно;1;главный механик;;да
ООО М11;1;главный механик;;
ООО Ильский НПЗ;1;главный механик;;
ООО ТАТЛИФТ;1;главный механик;;
ООО Седрус;1;главный механик;;
ООО ВС СтройПроект;1;главный механик;;
ООО Грация;1;главный механик;;
МОСКОВСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ;1;главный механик;;
ООО Каналсервис;1;главный механик;;
ООО Невский судостроительно-судоремонтный завод;1;главный механик;;да
ООО Стройлестранс;1;главный механик;;
Автосервис Pro СТО;1;главный механик;;
ОАО Краснодарпромжелдортранс;1;главный механик;;
ООО ТОКК, Завод упаковочных изделий;1;главный механик;;да
ООО Торговый дом Каравелла;1;главный механик;;
Группа компаний Техсервис;1;главный механик;;
ООО Руспаллет;1;главный механик;;
ООО Проектно-Строительное Предприятие Автомост;1;главный механик;;
ООО Тлк Спарта;1;главный механик;;
Major Auto (Мэйджор Авто);1;главный механик;;
Дентро;1;главный механик;;
ООО Технодом;1;главный механик;;
ООО ПРОМРУССЕРВИС;1;главный механик;;
АгроЦентр;1;главный механик;;да
ООО ТСК;1;главный механик;;
ООО Курганский мясокомбинат;1;главный механик;;да
ООО Негабарит 12;1;главный механик;;
ООО ТРАНСПИТ СЕВЕРО-ЗАПАД;1;главный механик;;
ООО ЕВРОметалл;1;главный механик;;да
Агрокомплекс Зеленая Империя;1;главный механик;;да
ООО Лодка;1;главный механик;;
ООО Асфальто-Строительная Компания;1;главный механик;;
ООО Славянский экспресс;1;главный механик;;
АК ТПГ БИС;1;главный механик;;
ООО НПО Стальпром;1;главный механик;;
ООО ГК СтиС;1;главный механик;;
ООО Компания Мурман СиФуд;1;главный механик;;
ООО ТРАК;1;главный механик;;
ООО НТ+;1;главный механик;;
ООО Рем-Нова ДВ;1;главный механик;;
ООО М-Пласт;1;главный механик;;
Цементум Центр;1;главный механик;;да
ООО Уральская Горно-Разрабатывающая Компания;1;главный механик;;да
ООО ЭКОЦИР;1;главный механик;;
ООО Транспортная компания Кристалл;1;главный механик;;
ООО САВО;1;главный механик;;
ООО Рустех Ремайнинг;1;главный механик;;
ООО Артфлекс;1;главный механик;;
ПАО Группа предприятий «Черкизово», Сегмент «Корма»;1;главный механик;;
ООО ДСК Комплексстрой;1;главный механик;;
ООО Сервистранс;1;главный механик;;
АО АГВ;1;главный механик;;
ООО Ухуд;1;главный механик;;
ООО Аквамарин;1;главный механик;;
ООО Ал Компани;1;главный механик;;
АЛРОСА.Инженеры;1;главный механик;;
ГК ЭкоЛогика;1;главный механик;;
ООО Европолимер;1;главный механик;;
ООО Синтез ОКА;1;главный механик;;
ООО Кузница;1;главный механик;;
АО Торговый дом СпецСтройГрупп;1;главный механик;;
HR - агентство Detkin Co;1;главный механик;да;
ПрофиКонсалт Груп;1;главный механик;;
ООО Пневмо-Автоматика;1;главный механик;;
ООО Стул Груп;1;главный механик;;
ООО Золотой Актив;1;главный механик;;
Завод железобетонных изделий;1;главный механик;;да
ООО ШИВАР;1;главный механик;;
ООО ТехноСтройГрупп1;1;главный механик;;
СпецАзияГрупп;1;главный механик;;
АО Бумажная фабрика Коммунар;1;главный механик;;да
ООО СпецТранс-Омск;1;главный механик;;
ООО Собрание;1;главный механик;;
ООО Компрессор Газ;1;начальник компрессорной станции;;да
Российские Коммунальные Системы;1;начальник компрессорной станции;;
ФГУП ПО Маяк;1;начальник компрессорной станции;;
ООО Научное Производственное Объединение Гипрогаз;1;начальник компрессорной станции;;да
ТехИнвестСтрой;1;начальник компрессорной станции;;
АО Гринатом. Вакансии в атомной отрасли;1;начальник компрессорной станции;;
ООО РН-Комсомольский НПЗ;1;начальник компрессорной станции;;
ООО 4с Сервис Плюс;1;начальник компрессорной станции;;
Норникель;1;начальник компрессорной станции;;
ПАО Абрау-Дюрсо, Русский Винный Дом;1;начальник компрессорной станции;;
ООО Адсорбционные Газовые Системы;1;начальник компрессорной станции;;да
АО Газпром газораспределение Екатеринбург;1;начальник компрессорной станции;;да
Байкитская нефтегазоразведочная экспедиция;1;начальник компрессорной станции;;да
ООО Технологический транспорт;1;начальник компрессорной станции;;
АО НПО СПЛАВ им. А. Н. Ганичева;1;начальник компрессорной станции;;
ПАО «Газпром нефть» Разведка и добыча;1;начальник компрессорной станции;;да
АО Волгацеммаш;1;начальник компрессорной станции;;
МУП КОС;1;начальник компрессорной станции;;
АО Ямалкоммунэнерго;1;начальник компрессорной станции;;да
Staffwell;1;начальник компрессорной станции;;
SocioTeam Сonsulting;1;начальник компрессорной станции;;
ООО РН-Морской терминал Архангельск;1;начальник компрессорной станции;;
ООО Центр новой пожарной и специальной техники;1;начальник компрессорной станции;;
Новомет;1;начальник компрессорной станции;;
ООО ГЭХ Теплоэнергоремонт;1;начальник компрессорной станции;;да
