seriya;princip;vid;vstrech;innov;ssylok;ssylki;citata
Ц10-28;центробежный;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-06157-2019;15466 5905018998 есть Ц10-28 | В-301 центробежная воздух 08.02.2019 заключение ЭПБ № 48-ТУ-06157-2019 воздуходувка Ц10-28 №2,5, зав. № 726, поз. В-3
ТВ80/1,6;центробежный;воздуходувка;4;1;2;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-43236-2016 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-43232-2016;15492 5905018998 есть ТВ 80/1,6, | В-2А центробежная воздух 19.12.2016 заключение ЭПБ № 48-ТУ-43232-2016 турбовоздуходувка ТВ 80/1,6, зав. № 301, поз. 
ТВ-200-1,4-01;центробежный;воздуходувка;4;1;2;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-32348-2017 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-04108-2018;15494 5905018998 есть ТВ-200-1,4-01, | ТВ-74/2, центробежная воздух 30.01.2018 заключение ЭПБ № 48-ТУ-04108-2018 Турбовоздуходувка марки ТВ-200-1,4-01, поз
ГПА-25-03;не установлен;ГПА;4;1;2;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2f603c02-0456-4069-8c31-50b0e030f441_7fbbeb20-b032-4fd0-9b85-18ed800ae97f&infoGuid=2f603c02-0456-4069-8c31-50b0e030f441 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2f603c02-0456-4069-8c31-50b0e030f441_8b4826e7-2c21-45b2-861c-307bdafd643c&infoGuid=2f603c02-0456-4069-8c31-50b0e030f441;16216 5907001774 планировал ГПА-25-03 тип не установлен газ 09.2022 план 2210534965 позиция 1253, сумма 87 568 827,51 ₽ Выполнение работ по досборке оборудов
К-401;центробежный;компрессор;4;3;2;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-20509-2021 | https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-13575-2022;17940 6320004728 есть К-401 центробежная среда не названа 15.11.2021 заключение ЭПБ № 53-ТУ-20509-2021 центробежный компрессор синтез-газа 103J, те
ТВ-42-1,01.У;центробежный;компрессор;4;1;1;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08656-2020;18449 6320005915 есть ТВ-42-1,01.У центробежная газ или иная среда 09.06.2020 заключение ЭПБ № 53-ТУ-08656-2020 Турбокомпрессор воздушный ТВ-42-1,01.У тех
ЦК-8;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-18246-2020 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-23066-2015;воздух 09.09.2020 заключение ЭПБ № 53-ТУ-18246-2020 Центробежный компрессор марки 32ВЦ-100/9 М1, технологический индекс ЦК-8, заводской № 006, цех Энергопроизводства, участок по эк
ТВ-115/1;центробежный;воздуходувка;4;1;2;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-26346-2024 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07199-2019;19382 6330017980 есть ТВ-175-1,6 | ТВ-115/1, центробежная воздух 02.10.2024 заключение ЭПБ № 53-ТУ-26346-2024 Турбовоздуходувка марки ТВ-175-1,6 Технологический ин
К-3/1,2,3;центробежный;компрессор;4;1;1;https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-29938-2022;19398 6330017980 есть К-3/1,2,3 | Е-59 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 09.02.2022 заключение ЭПБ № 53-ЗС-29
ТВ-42-1,4-01;центробежный;компрессор;4;1;1;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-34706-2023;19416 6377005317 есть ТВ-42-1,4-01, центробежная среда не названа 12.12.2023 заключение ЭПБ № 53-ТУ-34706-2023 Турбокомпрессор ТВ-42-1,4-01, технологическ
ГПА-750-6;центробежный;ГПА;4;1;2;https://monitor-pb.ru/conclusion/51-%D0%97%D0%A1-04572-2021 | https://monitor-pb.ru/conclusion/50-%D0%97%D0%A1-04737-2021;19571 6453010110 есть ГПА-750-6 объект — трубопровод или сооружение, машина лишь упомянута газ 15.03.2021 заключение ЭПБ № 50-ЗС-04737-2021 Заключение 
ТВ-80-1,4-01УЗ;центробежный;компрессор;4;1;2;https://www.tender.pro/api/tender/288098/view_public | https://www.tender.pro/api/tender/269387/view_public;20978 6670061296 покупает ТВ-80-1,4-01УЗ центробежная 20.09.2017 тендер 288098 Закупка турбокомпрессора многоступенчатого ТВ-80-1,4-01УЗ для ЗАО "Карабашмедь" h
ТВ-80-1,6-0.1УЗ;центробежный;компрессор;4;1;2;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e600e7e8-4465-4212-8892-a67db0587a9a_105416db-d456-4ae6-93d8-d031342a2532&infoGuid=e600e7e8-4465-4212-8892-a67db0587a9a | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=00e192d8-b672-461a-a7de-0a25eac0ff8f_0d116b83-63b4-7798-e063-07548d0a2f5c&infoGuid=00e192d8-b672-461a-a7de-0a25eac0ff8f;23543 7536064538 планировал ТВ-80-1,6-0.1УЗ центробежная 12.2023 план 2230720270 позиция 6, сумма 4 267 630,00 ₽ Поставка турбокомпрессора ТВ-80-1,6-0.1УЗ с электр
ЦК-402/3;центробежный;компрессор;4;1;3;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-06442-2022 | https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-05990-2024 | https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-12133-2017;23601 7601001107 есть АТКП-435-1600, | ЦК-402/3 центробежная среда не названа 12.08.2024 заключение ЭПБ № 18-ТУ-05990-2024 ЗАКЛЮЧЕНИЕ №070/ТУ/7/2024 экспертизы промышл
К-28;центробежный;компрессор;4;2;2;https://www.tender.pro/api/tender/1105465/view_public | https://www.tender.pro/api/tender/379327/view_public;24967 7704758153 покупает К-28 центробежная по серии 24.05.2019 тендер 379327 ПРОВЕДЕНИЕ ОТКРЫТОГО КОНКУРЕНТНОГО ОТБОРА В ЭЛЕКТРОННОЙ ФОРМЕ ( МАСЛО КО
ТВ250-1,12;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06371-2018 | https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06430-2018;26002 7718018279 есть ТВ 250-1,12 центробежная воздух 18.06.2018 заключение ЭПБ № 01-ТУ-06430-2018 Турбокомпрессор воздушный ТВ 250-1,12 зав. №413, тех. 
ТВ-80-1.2;центробежный;воздуходувка;4;1;2;https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-00626-2021 | https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-00624-2021;26021 7718220196 есть ТВ-80-1.2 центробежная воздух 21.01.2021 заключение ЭПБ № 10-ТУ-00624-2021 турбокомпрессор (турбовоздуходувку) ТВ-80-1.2 (Инв. № 
АК001-007;не установлен;компрессор;4;1;2;https://www.tender.pro/api/tender/431675/view_public | https://www.tender.pro/api/tender/430449/view_public;26546 7718560636 покупает АК 001-007 тип не установлен 23.03.2020 тендер 431675 Запчасти на Компрессорные агрегаты АК 001-007 для АО "Куриное Царство" (id43
ЦК-201/2;центробежный;компрессор;4;3;4;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-46551-2014 | https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-01328-2019 | https://monitor-pb.ru/conclusion/61-%D0%A2%D0%9F-22035-2019;26904 7723006328 есть ЦК-201/2, | Г-43-107, центробежная среда не названа 15.08.2024 заключение ЭПБ № 01-ТУ-22474-2024 Заключение экспертизы промышлен
К-21-MINI;центробежный;компрессор;4;1;2;https://zakupki.mos.ru/auction/9840928 | https://zakupki.mos.ru/auction/10213852;27327 7727260438 покупает К-21-Mini центробежная по серии 28.05.2026 процедура 10213852 Ингалятор компрессорный Алмаз К-21-Mini https://zakupki.mos.ru/auct
ГПА32;не установлен;ГПА;4;2;2;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-03842-2020 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=138fa9c9-9c3f-43f7-b0e0-dfacda2afe6d_deb1a586-0c52-4502-a030-28f111c34e56&infoGuid=138fa9c9-9c3f-43f7-b0e0-dfacda2afe6d;28872 7806151791 планировал ГПА 32 тип не установлен газ 04.2023 план 2220616802 позиция 234, сумма 28 224 000,00 ₽ Выполнение работ по замене и доработке
ВП-0;винтовой;генератор азота/кислорода;4;1;1;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-01237-2017;29541 8401005730 есть ВП-0,9/0,8 | К 1500-62-2 поршневая или винтовая газ или иная среда 15.03.2017 заключение ЭПБ № 70-ТУ-01237-2017 Влагоотделит
К-1700-62-2;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-06010-2018 | https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-05547-2022;29557 8401005730 есть К-1700-62-2, центробежная воздух 30.05.2018 заключение ЭПБ № 70-ТУ-06010-2018 компрессор центробежный, воздушный К-1700-62-2, ст. №
К64;не установлен;нагнетатель;4;1;1;https://monitor-pb.ru/conclusion/58-%D0%97%D0%A1-08335-2018;30238 8602060555 есть К 64 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 01.03.2018 заключение ЭПБ № 58-ЗС-08335-201
К-42;не установлен;нагнетатель;4;1;1;https://monitor-pb.ru/conclusion/58-%D0%97%D0%A1-30338-2022;30650 8605003932 есть ВТ-0193.06 | К-42 | ВТ-0042.05М | К-42-Б, объект — трубопровод или сооружение, машина лишь упомянута среда не названа 05.08.2022 заключен
ТВ42-1,1М1-01.УЗ;центробежный;компрессор;4;1;2;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=b369782d-df72-468b-b214-a30b2b70990d_f1a99d36-8c5a-d9c4-e053-06548d0a80f8&infoGuid=b369782d-df72-468b-b214-a30b2b70990d | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e656de22-9ada-43c4-9a14-ff182e88ddba_32767296-4ffb-4f99-8d92-67f9794b25f4&infoGuid=e656de22-9ada-43c4-9a14-ff182e88ddba;30674 8605013419 планировал ТВ 42-1,1М1-01.УЗ центробежная 12.2022 план 2230665846 позиция 29, сумма 2 433 413,00 ₽ Поставка турбокомпрессора ТВ 42-1,1М1-01.УЗ с эле
ТВ-80-1,8-М1-01;центробежный;воздуходувка;4;1;2;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=c2e47029-7e7c-4e4b-96ce-e7adab2cc9ad_a5ae2b99-2594-4ec0-b113-94bd544521b5&infoGuid=c2e47029-7e7c-4e4b-96ce-e7adab2cc9ad | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=16ae082a-55c5-44f4-a4ca-e47f6e0fb41c_36522805-92fa-4212-a165-8fbd2cc9543f&infoGuid=16ae082a-55c5-44f4-a4ca-e47f6e0fb41c;30932 8612007896 планировал ТВ-80-1,8-М1-01 центробежная воздух 05.2016 план 2150124766 позиция 42, сумма 750 000,00 ₽ Турбовоздуходувка ТВ-80-1,8-М1-01 https://za
ГПА-226;не установлен;ГПА;4;1;2;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24394-2016 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24386-2016;32814 8904034777 есть ГПА-226 тип не установлен газ 27.07.2016 заключение ЭПБ № 59-ТУ-24386-2016 взрывозащищенные электродвигатели ГПА-226 ГП-2 филиа
ГПА-225;не установлен;ГПА;4;1;2;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24402-2016 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24392-2016;32816 8904034777 есть ГПА-225 тип не установлен газ 27.07.2016 заключение ЭПБ № 59-ТУ-24392-2016 взрывозащищенные электродвигатели ГПА-225 ГП-2 филиа
ГПА-222;не установлен;ГПА;4;1;2;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24399-2016 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24393-2016;32827 8904034777 есть ГПА-222 тип не установлен газ 27.07.2016 заключение ЭПБ № 59-ТУ-24393-2016 взрывозащищенные электродвигатели ГПА-222 ГП-2 филиа
ГПА-224;не установлен;ГПА;4;1;2;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24396-2016 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24400-2016;32828 8904034777 есть ГПА-224 тип не установлен газ 27.07.2016 заключение ЭПБ № 59-ТУ-24396-2016 взрывозащищенные электродвигатели ГПА-224 ГП-2 филиа
Ц-16/56;центробежный;нагнетатель;4;1;4;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-44691-2019 | https://monitor-pb.ru/conclusion/20-%D0%A2%D0%A3-17192-2024 | https://monitor-pb.ru/conclusion/20-%D0%A2%D0%A3-25377-2024;ленной безопасности № 8477-ЗЭ-2024 на техническое устройство: Центробежный нагнетатель газоперекачивающего агрегата ГПА-Ц-16/56, зав.No 20, техн.No ГПА-5, инв.No 212538 https://mon
ГПА1-4;не установлен;нагнетатель;4;1;2;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-38864-2016 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-38968-2016;33208 8904034784 есть ГПА1-4 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 12.12.2016 заключение ЭПБ № 59-ТУ-38864-201
ВЦ-100-9М3;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08790-2014 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-08786-2014;34257 0258005638 есть ВЦ-100-9М3, | К-1-1-3 центробежная воздух 14.03.2014 заключение ЭПБ № 41-ТУ-08786-2014 Центробежный компрессор типа 32 ВЦ-100-9М3,
ТВ-80-1,4М01;центробежный;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-93762-2023;34363 0266033685 есть ТВ-80-1,4М01 | ОС-96 центробежная, вид по слову воздух 07.12.2023 заключение ЭПБ № 41-ТУ-93762-2023 воздуходувка марки ТВ-80-1,4М01,
ТВ-80-1,4М-01;центробежный;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-93770-2023;34364 0266033685 есть ТВ-80-1,4М-01, | ОС-96 центробежная, вид по слову воздух 07.12.2023 заключение ЭПБ № 41-ТУ-93770-2023 воздуходувка марки ТВ-80-1,4М-0
ТВ200-1-1,25;центробежный;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09080-2024;35438 2631015563 есть ТВ 200-1-1,25, центробежная, вид по слову воздух 19.03.2024 заключение ЭПБ № 01-ТУ-09080-2024 Воздуходувка типа ТВ 200-1-1,25, поз. 5
ТВ80-1,25;центробежный;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02133-2018;35448 2631015563 есть ТВ 80-1,25, центробежная, вид по слову воздух 22.03.2018 заключение ЭПБ № 35-ТУ-02133-2018 воздуходувку типа ТВ 80-1,25, поз. 506/
К2-946;центробежный;компрессор;4;1;1;https://fabrikant.ru/trades/osk/ProposalRequest/?action=view&id=7969#lot_1;35553 2902059091 покупает К2-946 | К2-945 тип не установлен (марка не опознана) воздух 01.10.2014 Фабрикант, процедура 2160544-131401563447 (ИНН по спра
К2-945;центробежный;компрессор;4;1;1;https://fabrikant.ru/trades/osk/ProposalRequest/?action=view&id=7969#lot_1;35553 2902059091 покупает К2-946 | К2-945 тип не установлен (марка не опознана) воздух 01.10.2014 Фабрикант, процедура 2160544-131401563447 (ИНН по справочнику Е
ТВ-80-1,8-01;центробежный;воздуходувка;4;2;2;https://www.tender.pro/api/tender/768100/view_public | https://www.tender.pro/api/tender/697410/view_public;36235 4715030610 покупает ТВ-80-1,8-01 | ОЛ 458 центробежная, вид по слову воздух 18.11.2022 тендер 697410 Закупка ООО "ПГЛЗ" Многоступенчатая воздуходувка ТВ
К-222;не установлен;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%9F-01861-2015;36615 5250051800 есть К-222 тип не установлен (марка не опознана) воздух 15.06.2015 заключение ЭПБ № 40-ТП-01861-2015 Документацию на техническое п
К350-62-1;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06161-2015 | https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06156-2015;37522 6625004271 есть К350-62-1 центробежная воздух 16.07.2015 заключение ЭПБ № 54-ТУ-06156-2015 турбокомпрессор типа К350-62-1 станционный № 2 зав. № 
ТВ-80-1-1,4М1-01;центробежный;воздуходувка;4;1;1;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-07920-2022;37806 7017075536 есть ТВ-80-1-1,4М1-01, центробежная, вид по слову воздух и газ названы оба 10.03.2022 заключение ЭПБ № 62-ТУ-07920-2022 техническое устройств
ТГ170-1,7;центробежный;компрессор;4;1;1;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-07976-2021;38159 7601001107 есть ТГ170-1,7 | М1-В1 | 20В-1 тип не установлен (марка не опознана) воздух 25.05.2021 заключение ЭПБ № 18-ТУ-07976-2021 на техническо
ТГ170-1,7М1-В1;центробежный;компрессор;4;1;1;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-15892-2021;38160 7601001107 есть ТГ170-1,7М1-В1, | 30В-1 тип не установлен (марка не опознана) воздух 05.10.2021 заключение ЭПБ № 18-ТУ-15892-2021 на техническое устро
ТВ-350-М1-01;не установлен;воздуходувка;4;1;1;https://fabrikant.ru/market/view.html?action=view_pdo&type=3060&id=51631;39378 7839395419 покупает ТВ-350-М1-01 тип не установлен (марка не опознана) воздух 23.03.2011 Фабрикант, процедура (ИНН по справочнику ЕГРЮЛ) Воздуходувки Т
К-500-61;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-10532-2018 | https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-10542-2018;40426 1004001744 в работе (заключение ЭПБ действует) К-500-61 центробежный, одноцилиндровый, одновальный, шестиступенчатый 23.07.2018 заключение ЭПБ 24-ТУ-10532-2018 от 23.07.2018,
ТВ150-1.12-02У3;центробежный;воздуходувка;4;1;2;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-04805-2023 | https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-04810-2023;42148 5249002485 в работе (заключение ЭПБ действует) ТВ 150-1.12-02У3 турбовоздуходувка (центробежная) 14.07.2023 заключение ЭПБ 40-ТУ-04805-2023 от 14.07.2023, ООО "ЭКСПЕРТ-ГАРАНТ
ТВ150-1.12-01.У3;центробежный;воздуходувка;4;1;2;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-04820-2023 | https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-04817-2023;42157 5249002485 в работе (заключение ЭПБ действует) ТВ 150-1.12-01.У3 турбовоздуходувка (центробежная) 14.07.2023 заключение ЭПБ 40-ТУ-04817-2023 от 14.07.2023, ООО "ЭКСПЕРТ-ГАРАН
ТГ300-45;центробежный;компрессор;4;1;4;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24380-2024 | https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-858859-2026 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24379-2024;4, ООО "ПЭБ", вывод: соответствует центробежность: названа в тексте заключения Турбокомпрессор одноступенчатый газовый ТГ 300-45 ДХ зав. № 463892, инв. № 48001 https://monitor-pb.r
К-890-400;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-54839-2020 | https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-13021-2017;43161 7202116628 в работе (заключение ЭПБ действует) К-890-400 центробежный компрессор (турбокомпрессор) 31.03.2017 заключение ЭПБ 57-ТУ-13021-2017 от 31.03.2017, АО НДЦ НПФ "РУССК
К500-61-5М;центробежный;компрессор;4;1;2;https://monitor-pb.ru/conclusion/69-%D0%A2%D0%A3-00262-2015 | https://monitor-pb.ru/conclusion/69-%D0%A2%D0%A3-01227-2014;43404 7530000048 в работе (заключение ЭПБ действует) К500-61-5М центробежный компрессор (турбокомпрессор) 10.03.2015 заключение ЭПБ 69-ТУ-00262-2015 от 10.03.2015, АНО "Забайкальск
ВМ10-63/9;не установлен;компрессор;4;1;0;;etpgpb ГП706868 компрессор 7811122323 312150001 МЕТАЛЛ-ГРУПП Приобретение запасных частей для Компрессора ВМ 10-63/9. 2026-08-07 08:16:02
К1290-121-1М2;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-567062-2025;ная среда не названа 24.12.2025 заключение ЭПБ № 2-ТУ-567062-2025 техническое устройство, центробежный компрессор марки К1290-121-1М2, поз. 402, зав. № 7763, установка компрессии, 
К-151;центробежный;компрессор;3;2;3;https://etpgpb.ru/procedures/etp/270310-vypolnenie-rabot-po-okraske-sten-krovel-osk-po-ul-kombinatskaya-50-metallicheskiy-angar-u-sklada-hlora-9914985a-zdanie-mat-sklada-6-krovlya-u-bomboubezhischa-99 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-03115-2021 | https://etpgpb.ru/procedures/etp/349816-okraska-krovel-po-ul-kombinatskaya-50-metal-angar-u-skl-hlora-9914985a-zdanie-mater-sklada-6-krovlya-k-703-zd-e-na-plosch-tsmo-3010069a-truboprovod-peskoprovoda;2049 0274051582 есть RB4B | К-151 центробежная среда не названа 26.01.2021 заключение ЭПБ № 41-ТУ-03115-2021 Центробежный компрессор марки RB4B, техн. № 
ТВ-80/1,4М1-01;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-04105-2021;3284 1103019252 есть ТВ-80/1,4М1-01, центробежная воздух 22.09.2021 заключение ЭПБ № 25-ТУ-04105-2021 турбокомпрессор воздушный ТВ-80/1,4М1-01, заводской №
ТГ-65-1,06М1-В1;центробежный;воздуходувка;3;1;1;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-14081-2020;43-ТУ-14081-2020 заключение экспертизы промышленной безопасности № 2020/0030/ТУ на техническое устройство: Воздуходувка ТГ-65-1,06М1-В1, техн.№Т-702В, зав.№35, применяемого на опас
К-250-6-61-5;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-317527-2023;4554 1651000041 есть К-250-6-61-5 центробежная по серии среда не названа 15.12.2023 заключение ЭПБ № 43-ТУ-317527-2023 Компрессор К-250-6-61-5 зав.№ 1616
К-210-62;центробежный;компрессор;3;1;3;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-15667-2020 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-279941-2022 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-20669-2018;4796 1658008723 есть К-210-62 центробежная среда не названа 08.11.2022 заключение ЭПБ № 43-ТУ-279941-2022 Компрессор центробежный горизонтальный К-21
ТВ-175-1,6-01-УЗ;центробежный;воздуходувка;3;1;1;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-20334-2018;4893 1658008723 есть ТВ-175-1,6-01-УЗ, центробежная воздух 19.12.2018 заключение ЭПБ № 43-ТУ-20334-2018 Турбовоздуходувка марки ТВ-175-1,6-01-УЗ, Зав.№ 6 Те
ТВ-300-1,6-О2.У1-М;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-12623-2022;.У1 центробежная среда не названа 16.09.2022 заключение ЭПБ № 66-ТУ-12623-2022 Техническое устройство – турбокомпрессор ТВ-300-1,6-О2.У1-м зав. № 1800-08, хоз. № 1 https://monitor-
ТВ-300-1,6-О2.У3-М;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-12629-2022;.У3 центробежная среда не названа 16.09.2022 заключение ЭПБ № 66-ТУ-12629-2022 Техническое устройство – турбокомпрессор ТВ-300-1,6-О2.У3-м зав. № 2061-11, хоз. № 3 https://monitor-
АК-3;поршневой;компрессор;3;1;3;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24907-2023 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-17350-2017 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-17311-2017;тва на опасном производственном объекте, №327-0107-2023, Компрессор поршневой марки 2СНМ4-24/9С, технологический индекс АК-3, заводской № б/н, АО «АНПЗ ВНК», цех №1, установка АКС,
К-505/525;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-01716-2022;6594 2457061937 есть К-505/525 | СТД 3150-2. центробежная среда не названа 03.02.2022 заключение ЭПБ № 66-ТУ-01716-2022 техническое устройство - Компр
К-15-41-1;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-00337-2024;9383 3627000397 есть ЭПБ-2023 | К1290-121-1 | К-15-41-1 центробежная среда не названа 16.01.2024 заключение ЭПБ № 12-ТУ-00337-2024 ЗЭПБ №1033/ЭПБ-2023 на техническое устройств
ЦК-135-8С;центробежный;компрессор;3;1;1;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-871272-2026;10182 3801009466 есть ЦК-135-8С, центробежная среда не названа 15.06.2026 заключение ЭПБ № 38-ТУ-871272-2026 Центробежный компрессор ЦК-135-8С, поз. 7/
К-111;центробежный;воздуходувка;3;2;3;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-626644-2026 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-14595-2015 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-11689-2014;10330 3801046700 есть 10R3 | К-111 центробежная воздух 20.01.2026 заключение ЭПБ № 38-ТУ-626644-2026 Воздуходувка 10R3 поз. К-111, зав. № 107 (цех 167, об
ТВ-15;центробежный;воздуходувка;3;1;3;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-06756-2019 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-55570-2025 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-16298-2022;10388 3801046700 есть ТВ-80-1,6 | ТВ-15 центробежная воздух 11.07.2025 заключение ЭПБ № 67-ТУ-55570-2025 Турбовоздуходувка ТВ-80-1,6 поз. ТВ-15, зав. № 873-177
ТВ-10;центробежный;воздуходувка;3;1;3;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-21455-2024 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01470-2021 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-05864-2017;10389 3801046700 есть А67-00348, | ТВ-50-1,6 | ТВ-10 не применимо воздух 17.12.2024 заключение ЭПБ № 67-ТУ-21455-2024 техническое устройство, применяемое на опасном произво
ТВ-11;центробежный;воздуходувка;3;1;3;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-21486-2024 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01465-2021 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-05869-2017;10391 3801046700 есть А67-00348, | ТВ-80-1,6 | ТВ-11 не применимо воздух 17.12.2024 заключение ЭПБ № 67-ТУ-21486-2024 техническое устройство, применяемое на опасном произво
