seriya;princip;vid;vstrech;innov;ssylok;ssylki;citata
ЦК-1;центробежный;компрессор;83;11;55;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-60485-2020 | https://monitor-pb.ru/conclusion/03-%D0%A2%D0%9F-01843-2017 | https://monitor-pb.ru/conclusion/35-%D0%A2%D0%9F-14891-2022;ти сооружения: Технологический трубопровод «Очищенный циркулирующий ВСГ от сепаратора С-5а до центробежного компрессора ЦК-1» (рег. №102),установка Л-24-5, площадка газокаталитичес
К-1500;центробежный;компрессор;80;7;29;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-07697-2017 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-05467-2021 | https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06299-2023;7157 2631015563 покупает К-1500 центробежная по серии воздух 28.08.2008 тендер 51362 839 Пучок трубный воздухоохладителя компрессора К-1500 для ОАО Нев
К-1;центробежный;компрессор;75;23;61;https://monitor-pb.ru/conclusion/34-%D0%A2%D0%A3-796617-2026 | https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-00799-2018 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-26222-2020;установлен среда не названа 28.07.2016 заключение ЭПБ № 41-ТУ-27645-2016 Газокаталитическое производство,Л-24-5,Колонна К-1, рег. №3750-н https://monitor-pb.ru/conclusion/41-%D0%A2
К905;центробежный;компрессор;72;1;18;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34384-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34530-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34508-2015;155 0266008329 есть К-905-61-1, | К905.1 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 17.09.2015 заключение ЭПБ № 41-ТУ-34384-2
ЗИФ-1;центробежный;компрессор;72;1;35;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-13910-2017 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-02711-2024 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-02708-2024;40, тех. поз. №27-10 применяемое на опасном производственном объекте АО «Полюс Красноярск»: «Площадка извлечения золота ЗИФ-1, 2, 3», рег.№А66-00394-0001, класс опаснос https://mon
К500-61-1;центробежный;компрессор;72;10;34;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-00160-2016 | https://www.roseltorg.ru/procedure/B1211241518061/1 | https://zakupki.mos.ru/need/5125719;есть на площадке тип не установлен 23.03.2026 процедура 5982708 Маслонасос главный шестеренный У350.70.СБ к компрессору К 500-61-1 https://zakupki.mos.ru/need/5982708 Портал постав
К-1700;центробежный;компрессор;70;7;29;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-18141-2023 | https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-720301-2026 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-16070-2023;402 0266048970 есть Т-318 | К-1700 не установлен среда не названа 27.11.2017 заключение ЭПБ № 41-ТУ-43976-2017 Tеплообменник, поз. Т-318, зав. № 4-906, ре
К-0;центробежный;ВРУ;68;5;35;https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-05952-2015 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-09928-2014 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-05947-2015;5167 2124009521 есть ЧХП-4393 | К-0,4 не установлен воздух 03.08.2015 заключение ЭПБ № 44-ТУ-06033-2015 влагоотделитель № 1 рег. № ЧХП-4393 воздухоразделит
К250;центробежный;компрессор;68;7;29;https://www.tender.pro/api/tender/568795/view_public | https://www.tender.pro/api/tender/644918/view_public | https://www.tender.pro/api/tender/641556/view_public;10505 3804039638 покупает К250 | ИМ 04.70 центробежная по серии 13.05.2022 тендер 628312 АО "РУСАЛ-Новокузнецк". Выполнение электромонтажных и пускона
К890-121-1;центробежный;компрессор;68;2;32;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-11552-2023 | https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-24062-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72840-2023;22293 7202116628 есть ПМН-2/1, | К890-121-1, | КЦ-101/2 центробежная среда не названа 03.10.2023 заключение ЭПБ № 41-ТУ-72840-2023 техническое устройство Пусковой 
