marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
Halberg 3TBs 3,15/14-1/12;HALBERG3TBS3.15/141/12;Halberg 3TBs 3,15/14-1/12;Л ЦЛ Ц,Ц/Ц-Ц/Ц;нет;1;1;компрессор;провайдер;"Поршневой компрессор ""Halberg"" 3TBs 3,15/14-1/12 поз. №К-521В, применяемый на опасном производственном объекте ""Площадка производства капролактама"" рег. №А68-00013-0018 (I класс опасности), расположен";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-74838-2024
КДК-10;КДК10;КДК-10;К-Ц;да;1;1;компрессор;провайдер;технические устройства: Компрессор дожимающий типа КДК - 10 зав. №26/55. АЭ.16.02568.004 АЭ.19.05970.002;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-17027-2021
Шторм-2400;ШТОРМ2400;Шторм 2400 | Шторм-2400;К-Ц;да;1;1;компрессор;провайдер;насосы центробежные многоступенчатые секционные ЦНСн 180-85 заводские №№ 158, 159, 160, компрессор винтовой «Шторм-2400» заводской № 07340102, компрессор винтовой «Шторм-2400» заводской № 07600202, бл;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-05107-2025
Вихрь;ВИХРЬ;Вихрь;К;да;1;1;воздуходувка;провайдер;технические устройства, применяемые на опасном производственном объекте: инжекторный нагнетатель «Вихрь» производства ООО «СИБ - ДАМЕЛЬ»;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-15605-2024
Вихрь-2;ВИХРЬ2;Вихрь-2;К-Ц;да;1;1;воздуходувка;провайдер;технические устройства, применяемые на опасном производственном объекте: инжекторный нагнетатель «Вихрь-2» производства ООО «СИБ - ДАМЕЛЬ»;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-27901-2024
Hofer 150MK40;HOFER150MK40;Hofer 150MK40;Л ЦЛЦ;нет;1;1;компрессор;провайдер;компрессор мембранный Hofer 150MK40 техн. поз.115/3, зав. №742192/1, инв. №6058, цех 24 (к. 144);https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-27374-2014
TIDI 30D-50;TIDI30D50;TIDI 30D-50;Л ЦЛ-Ц;нет;1;1;компрессор;провайдер;Техническое устройство, применяемое на опасном производственном объекте «Цех компрессорный» (рег. №А07-06331-0004, IV класса опасности) - Компрессор воздушный TIDI 30D-50, зав. №312164 Эксплуатирующая;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-12575-2022
Белуга;БЕЛУГА;Белуга;К;да;1;1;не машина;провайдер;сосуда (Воздухоохладитель компрессора), зав. №161/13144, входящего в состав воздухоразделительной установки «Белуга», установленного по адресу:143900, Московская область, г. Балашиха, ул. Белякова, д.;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-00843-2018
3000-61-1;3000611;3000-61-1;Ц-Ц-Ц;да;1;1;компрессор;провайдер;Паровая турбина ВКВ-22-1 с компрессором 3000-61-1 № 6 инв. № 45682 площадки воздухоразделительных установок № 1 кислородного цеха;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-09292-2020
ВАО 82-6;ВАО826;ВАО 82-6;К Ц-Ц;да;1;1;не машина;провайдер;взрывозащищённый электродвигатель ВАО 82-6, зав. №б/н, станционный № 9-1, установленный в ООО «Газпром ПХГ» Касимовское УПХГ, Касимовская промплощадка КЦ-3, установка регенерации диэтиленгликоля к уст;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-12518-2019
НЦВ-6,3/125-2,2;НЦВ6.3/1252.2;НЦВ-6,3/125-2,2;К-Ц,Ц/Ц-Ц,Ц;нет;1;1;компрессор;провайдер;Техническое устройство: Центробежный нагнетатель НЦВ – 6,3/125-2,2 зав. No13, ст. No33, инв. No110428;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-606056-2025
Солар;СОЛАР;Солар;К;да;1;1;не машина;провайдер;"Кран шаровой зав. № 160004 агрегатный №1А Ду-200, Ру8 Мпа, инв. № 110429, установлен в составе агрегатной обвязки ГПА «Солар» ст.№6 Касимовское ПХГ филиал ООО ""Газпром ПХГ"" Касимовское УПХГ. Входной к";https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-01816-2017
Kaeser;KAESER;Kaeser;Л;да;1;1;ресивер;провайдер;Ресивер компрессора «Kaeser» зав. № 1.7608.5 рег. № 44;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25164-2017
1050-13-1;1050131;1050-13-1;Ц-Ц-Ц;да;1;1;воздуходувка;провайдер;нагнетателей типа 1050-13-1 поз. № 10/2 и поз. № 10/3, применяемых на опасном производственном объекте «Цех по производству серной кислоты» рег. № А28-02793-0066, I класса опасности, АО «Апатит» по ад;https://monitor-pb.ru/conclusion/20-%D0%A2%D0%A3-04449-2021
Tamrock 440 ЕА;TAMROCK440ЕА;Tamrock 440 ЕА;Л Ц К;да;1;1;компрессор;провайдер;Компрессор Tamrock 440 ЕА № 1, инв. № 14316, фабрика обогатительная цветных металлов, АО «Кольская ГМК», Мурманская область, г. Заполярный.;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-11373-2023
РЗ-БНВ;РЗБНВ;РЗ-БНВ;К-К;да;1;1;воздуходувка;провайдер;техническое устройство: «Нагнетатель винтовой РЗ-БНВ поз. № 7702», применяемое на опасном производственном объекте «Цех по производству муки», рег. № А40-17011-0003, (класс опасности III), расположенн;https://monitor-pb.ru/conclusion/45-%D0%A2%D0%A3-04104-2021
к-5;К5;К-5 | к-5;К-Ц;да;1;1;компрессор;провайдер;Компрессор ацетиленовый к-5 заводской №346;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-06765-2017
900-31-4;900314;900-31-4;Ц-Ц-Ц;да;1;1;компрессор;провайдер;техническое устройство – центробежный компрессор 900-31-4, зав. № 7515, тех. № В-2б, применяемый на опасном производственном объекте – площадке установки каталитического крекинга 43-103 Производства №;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-14383-2018
