inn;predpriyatie;nomer;predmet;zakazchik;vid;summa;data;data_konca;stadiya;region;vid_kartochki;need_id;tender_id;auction_id;ssylka;ssylka_vneshnyaya
5103070023;"АО ""АПАТИТ""";5362336;Модернизация ЛВФ-3 с установкой новой дренажной ленты;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;28.02.2025;13.03.2025;Прием предложений завершен;;потребность;5362336;;;https://zakupki.mos.ru/need/5362336;https://business.roseltorg.ru/lk/orders/all/46156?ppauth=1
5103070023;"АО ""АПАТИТ""";5361230;«Капитальный ремонт ограждающих конструкций и перекрытий главного корпуса цеха фосфорных удобрений на отм.+0,000:+28,000 в осях А-Н/4-32 согласно ведомости дефектов № ЦФУ-01/12-2024»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;27.02.2025;13.03.2025;Отменена;;потребность;5361230;;;https://zakupki.mos.ru/need/5361230;https://business.roseltorg.ru/lk/orders/all/46015?ppauth=1
5103070023;"АО ""АПАТИТ""";5379466;«Капитальный ремонт ограждающих конструкций и перекрытий главного корпуса цеха фосфорных удобрений на отм.+0,000:+28,000 в осях А-Н/4-32 согласно ведомости дефектов № ЦФУ-01/12-2024»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;27.02.2025;20.03.2025;Прием предложений завершен;;потребность;5379466;;;https://zakupki.mos.ru/need/5379466;https://business.roseltorg.ru/lk/orders/all/46015?ppauth=1
5103070023;"АО ""АПАТИТ""";5360527;Предельная стоимость работ по ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;27.02.2025;13.03.2025;Прием предложений завершен;;потребность;5360527;;;https://zakupki.mos.ru/need/5360527;https://business.roseltorg.ru/lk/orders/all/45933?ppauth=1
5103070023;"АО ""АПАТИТ""";5376487;«На выполнение работ на опытно-промышленное испытание по реагентной обработке водооборотного цикла технологической системы СК20/1 СКП Балаковского филиала АО «Апатит»»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;27.02.2025;12.03.2025;Прием предложений завершен;;потребность;5376487;;;https://zakupki.mos.ru/need/5376487;https://business.roseltorg.ru/lk/orders/all/45907?ppauth=1
5103070023;"АО ""АПАТИТ""";5360384;«На выполнение работ на опытно-промышленное испытание по реагентной обработке водооборотного цикла технологической системы СК20/1 СКП Балаковского филиала АО «Апатит»»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;27.02.2025;12.03.2025;Отменена;;потребность;5360384;;;https://zakupki.mos.ru/need/5360384;https://business.roseltorg.ru/lk/orders/all/45907?ppauth=1
5103070023;"АО ""АПАТИТ""";5358874;На выполнение строительно-монтажных и пуско-наладочных работ в рамках выполнения мероприятий «Увеличение давления подачи воды на омасливание уплотнительных ремней ЛВФ-5, при одновременной работе с ЛВФ-7, снижению зарастания вакуум коробок» и «Техническое;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;26.02.2025;12.03.2025;Прием предложений завершен;;потребность;5358874;;;https://zakupki.mos.ru/need/5358874;https://business.roseltorg.ru/lk/orders/all/45681?ppauth=1
5103070023;"АО ""АПАТИТ""";5358756;Справочно общая стоимость стоимость выполнения работ по техническому обслуживанию облучателей-рециркуляторов, АЗОТНЫЙ КОМПЛЕКС;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;26.02.2025;05.03.2025;Прием предложений завершен;;потребность;5358756;;;https://zakupki.mos.ru/need/5358756;https://business.roseltorg.ru/lk/orders/all/45668?ppauth=1
5103070023;"АО ""АПАТИТ""";5358758;Справочно общая стоимость стоимость выполнения работ по техническому обслуживанию облучателей-рециркуляторов, ФОСФОРНЫЙ КОМПЛЕКС;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;26.02.2025;05.03.2025;Прием предложений завершен;;потребность;5358758;;;https://zakupki.mos.ru/need/5358758;https://business.roseltorg.ru/lk/orders/all/45668?ppauth=1
5103070023;"АО ""АПАТИТ""";5357512;Общая предельная стоимость за весь комплекс работ по ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;25.02.2025;18.04.2025;Прием предложений завершен;;потребность;5357512;;;https://zakupki.mos.ru/need/5357512;https://business.roseltorg.ru/lk/orders/all/45540?ppauth=1
5103070023;"АО ""АПАТИТ""";5357412;Общая предельная стоимость выполнения работ по ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;25.02.2025;11.03.2025;Прием предложений завершен;;потребность;5357412;;;https://zakupki.mos.ru/need/5357412;https://business.roseltorg.ru/lk/orders/all/45533?ppauth=1
5103070023;"АО ""АПАТИТ""";5356207;Ремонт автодорог ВФ АО Апатит;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;24.02.2025;07.03.2025;Прием предложений завершен;;потребность;5356207;;;https://zakupki.mos.ru/need/5356207;https://business.roseltorg.ru/lk/orders/all/45373?ppauth=1
5103070023;"АО ""АПАТИТ""";5355907;"На выполнение демонтажных работ в рамках выполнения мероприятия «Техническое пе-ревооружение резервуара для хранения серной кислоты Е5» на БФ АО ""Апатит""";АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;24.02.2025;07.03.2025;Прием предложений завершен;;потребность;5355907;;;https://zakupki.mos.ru/need/5355907;https://business.roseltorg.ru/lk/orders/all/45335?ppauth=1
5103070023;"АО ""АПАТИТ""";5354954;Общая предельная стоимость работ в рамках ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;24.02.2025;06.03.2025;Отменена;;потребность;5354954;;;https://zakupki.mos.ru/need/5354954;https://business.roseltorg.ru/lk/orders/all/45251?ppauth=1
5103070023;"АО ""АПАТИТ""";5353784;Выполнение общестроительных работ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;21.02.2025;07.03.2025;Отменена;;потребность;5353784;;;https://zakupki.mos.ru/need/5353784;https://business.roseltorg.ru/lk/orders/all/45004?ppauth=1
5103070023;"АО ""АПАТИТ""";5350141;Ремонт помещений цеха электроснабжения;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;19.02.2025;04.03.2025;Прием предложений завершен;;потребность;5350141;;;https://zakupki.mos.ru/need/5350141;https://business.roseltorg.ru/lk/orders/all/44442?ppauth=1
5103070023;"АО ""АПАТИТ""";5371874;Стоимость монтажа 1 п.м. перил в горных выработках;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;19.02.2025;14.03.2025;Прием предложений завершен;;потребность;5371874;;;https://zakupki.mos.ru/need/5371874;https://business.roseltorg.ru/lk/orders/all/44439?ppauth=1
5103070023;"АО ""АПАТИТ""";5350127;Стоимость монтажа 1 п.м. перил в горных выработках;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;19.02.2025;04.03.2025;Отменена;;потребность;5350127;;;https://zakupki.mos.ru/need/5350127;https://business.roseltorg.ru/lk/orders/all/44439?ppauth=1
5103070023;"АО ""АПАТИТ""";5348353;Антикоррозийная защита трубопроводов;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;18.02.2025;26.02.2025;Прием предложений завершен;;потребность;5348353;;;https://zakupki.mos.ru/need/5348353;https://business.roseltorg.ru/lk/orders/all/44176?ppauth=1
5103070023;"АО ""АПАТИТ""";5347525;"ЛОТ 1:Общая предельная стоимость выполнения работ на объекте:«Техническое перевооружение оборудования с заменой РВС-700 № 6(22) на участке ""Нефтебаза"" ТСЦ КФ АО ""Апатит""» в т.ч.:";АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;27.02.2025;Прием предложений завершен;;потребность;5347525;;;https://zakupki.mos.ru/need/5347525;https://business.roseltorg.ru/lk/orders/all/44046?ppauth=1
5103070023;"АО ""АПАТИТ""";5347526;"ЛОТ 3:Общая предельная стоимость выполнения работ на объекте :«Техническое перевооружение оборудования с заменой РВС-700 № 6(22) на участке ""Нефтебаза"" ТСЦ КФ АО ""Апатит""»в т.ч.:";АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;27.02.2025;Прием предложений завершен;;потребность;5347526;;;https://zakupki.mos.ru/need/5347526;https://business.roseltorg.ru/lk/orders/all/44046?ppauth=1
5103070023;"АО ""АПАТИТ""";5347522;"ЛОТ 2:Общая предельная стоимость выполнения работ ""Вынос технологических трубопроводов на поверхность с модернизацией железнодорожной эстакады фронта слива дизельного топлива"" по разделам рабочей документации А-1193-1АС,А-1193-1-ТХ,КФА -09-0000257-ПТ"" в т";АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;27.02.2025;Прием предложений завершен;;потребность;5347522;;;https://zakupki.mos.ru/need/5347522;https://business.roseltorg.ru/lk/orders/all/44046?ppauth=1
5103070023;"АО ""АПАТИТ""";5347524;ЛОТ 4:Предельная стоимость проведения экспертизы промышленной безопасности технического сооружения -Железнодорожного фроната слива;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;27.02.2025;Прием предложений завершен;;потребность;5347524;;;https://zakupki.mos.ru/need/5347524;https://business.roseltorg.ru/lk/orders/all/44046?ppauth=1
5103070023;"АО ""АПАТИТ""";5347179;Предельная стоимость выполнения работ с учетом ТМЦ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;27.02.2025;Прием предложений завершен;;потребность;5347179;;;https://zakupki.mos.ru/need/5347179;https://business.roseltorg.ru/lk/orders/all/43994?ppauth=1
5103070023;"АО ""АПАТИТ""";5347168;Капитальный ремонт кирпичной кладки и фундамента силосного склада № 1 ПЭФК согласно ведомости дефектов № ПЭФК 10-04-2024;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;28.02.2025;Отменена;;потребность;5347168;;;https://zakupki.mos.ru/need/5347168;https://business.roseltorg.ru/lk/orders/all/43992?ppauth=1
5103070023;"АО ""АПАТИТ""";5367340;Капитальный ремонт кирпичной кладки и фундамента силосного склада № 1 ПЭФК согласно ведомости дефектов № ПЭФК 10-04-2024;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;04.03.2025;Прием предложений завершен;;потребность;5367340;;;https://zakupki.mos.ru/need/5367340;https://business.roseltorg.ru/lk/orders/all/43992?ppauth=1
5103070023;"АО ""АПАТИТ""";5346199;Предельная стоимость выполнения работ с учетом ТМЦ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;17.02.2025;27.02.2025;Прием предложений завершен;;потребность;5346199;;;https://zakupki.mos.ru/need/5346199;https://business.roseltorg.ru/lk/orders/all/43892?ppauth=1
5103070023;"АО ""АПАТИТ""";5343880;Предельная стоимость разработки схемы внешнего электроснабжения энергопринимающих устройств с целью увеличения мощности по ПС-76 на 80 МВт и ПС-74 на 20 МВт;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;13.02.2025;28.02.2025;Прием предложений завершен;;потребность;5343880;;;https://zakupki.mos.ru/need/5343880;https://business.roseltorg.ru/lk/orders/all/43430?ppauth=1
5103070023;"АО ""АПАТИТ""";5343879;Предельная стоимость разработки и согласования ТЗ на разработку схемы внешнего электроснабжения;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;13.02.2025;28.02.2025;Прием предложений завершен;;потребность;5343879;;;https://zakupki.mos.ru/need/5343879;https://business.roseltorg.ru/lk/orders/all/43430?ppauth=1
5103070023;"АО ""АПАТИТ""";5356762;Капитальный ремонт промышленная выхлопная труба СК-650, СКП, 0.000/+120.000, СК-17, 0.000/+95.000, СК-20, 0.000/+180.000;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;13.02.2025;10.03.2025;Прием предложений завершен;;потребность;5356762;;;https://zakupki.mos.ru/need/5356762;https://business.roseltorg.ru/lk/orders/all/43401?ppauth=1
5103070023;"АО ""АПАТИТ""";5343366;Сервисное обслуживание зданий и сооружений БФ АО «Апатит»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;13.02.2025;26.02.2025;Прием предложений завершен;;потребность;5343366;;;https://zakupki.mos.ru/need/5343366;https://business.roseltorg.ru/lk/orders/all/43365?ppauth=1
5103070023;"АО ""АПАТИТ""";5341667;Общая предельная (по сметам) стоимость работ в рамках ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.02.2025;24.02.2025;Прием предложений завершен;;потребность;5341667;;;https://zakupki.mos.ru/need/5341667;https://business.roseltorg.ru/lk/orders/all/43147?ppauth=1
5103070023;"АО ""АПАТИТ""";5341232;Ремонт помещений и благоустройство внутреннего двора МОБУ «Волховская средняя общеобразовательная школа № 1;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.02.2025;14.02.2025;Прием предложений завершен;;потребность;5341232;;;https://zakupki.mos.ru/need/5341232;https://business.roseltorg.ru/lk/orders/all/43102?ppauth=1
5103070023;"АО ""АПАТИТ""";5369592;Общая предельная стоимость выполнения работ в рамках ТЗ.;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;10.02.2025;17.03.2025;Прием предложений завершен;;потребность;5369592;;;https://zakupki.mos.ru/need/5369592;https://business.roseltorg.ru/lk/orders/all/42709?ppauth=1
5103070023;"АО ""АПАТИТ""";5338995;Общая предельная стоимость выполнения работ в рамках ТЗ.;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;10.02.2025;24.02.2025;Отменена;;потребность;5338995;;;https://zakupki.mos.ru/need/5338995;https://business.roseltorg.ru/lk/orders/all/42709?ppauth=1
5103070023;"АО ""АПАТИТ""";5338938;Общая предельная стоимость выполнения работ в рамках ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;10.02.2025;24.02.2025;Отменена;;потребность;5338938;;;https://zakupki.mos.ru/need/5338938;https://business.roseltorg.ru/lk/orders/all/42699?ppauth=1
5103070023;"АО ""АПАТИТ""";5338998;Общая предельная стоимость выполнения работ в рамках ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;10.02.2025;24.02.2025;Прием предложений завершен;;потребность;5338998;;;https://zakupki.mos.ru/need/5338998;https://business.roseltorg.ru/lk/orders/all/42699?ppauth=1
5103070023;"АО ""АПАТИТ""";5330554;Капитальный ремонт односекционной и двухсекционной градирен ВОС-5;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;03.02.2025;17.02.2025;Прием предложений завершен;;потребность;5330554;;;https://zakupki.mos.ru/need/5330554;https://business.roseltorg.ru/lk/orders/all/41350?ppauth=1
5103070023;"АО ""АПАТИТ""";5329790;"Выполнение работ по объекту 
«Техническое перевооружение сборника кислоты поз. Е70/1»";АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;03.02.2025;17.02.2025;Прием предложений завершен;;потребность;5329790;;;https://zakupki.mos.ru/need/5329790;https://business.roseltorg.ru/lk/orders/all/41260?ppauth=1
5103070023;"АО ""АПАТИТ""";5326751;Капитальный ремонт строительных конструкций здания насосной (станции перекачки кислых стоков) от. +0,000 - +15,000 ось Д-Ж/5-8 согласно ведомости дефектов № ПЭФК 29/11-2024;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;30.01.2025;13.02.2025;Прием предложений завершен;;потребность;5326751;;;https://zakupki.mos.ru/need/5326751;https://business.roseltorg.ru/lk/orders/all/40764?ppauth=1
5103070023;"АО ""АПАТИТ""";5324277;ОБЩАЯ ПРЕДЕЛЬНАЯ СТОИМОСТЬ за весь комплекс работ с учетом всех расходов в рамках ТЗ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;29.01.2025;12.02.2025;Прием предложений завершен;;потребность;5324277;;;https://zakupki.mos.ru/need/5324277;https://business.roseltorg.ru/lk/orders/all/40394?ppauth=1
