inn;predpriyatie;nomer;predmet;zakon;summa;stadiya;data;data_konca;ssylka;ssylka_eis
6608001915;"МУП ""ВОДОКАНАЛ""";32616235191;363-К(ЭЛ)(СМП) Выполнение проектно-изыскательских работ (выполнение комплексных инженерных изысканий, разработка рабочей документации и сметной документации) по объекту: «Строительство сетей водоснабжения к жилому комплексу с наземной многоуровневой автостоянкой, расположенный в границах улиц Решетс;223-ФЗ;2320779.16;Подача заявок;24.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616235191-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616235191
6608001915;"МУП ""ВОДОКАНАЛ""";32616235119;357-ЗП(ЭЛ)(ЕД) Оказание комплекса юридических услуг;223-ФЗ;9900000.00;Подача заявок;24.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616235119-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616235119
6608001915;"МУП ""ВОДОКАНАЛ""";32616234079;362-ЗК(ЭЛ) Поставка расходных материалов к спектрометру АЭС с ИСП Прометей;223-ФЗ;982222.00;Подача заявок;24.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616234079-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616234079
6608001915;"МУП ""ВОДОКАНАЛ""";32616232039;297-ЗК(ЭЛ) Поставка запасных частей для установки ультрафиолетового обеззараживания Wedeco;223-ФЗ;17443362.00;Подача заявок;23.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616232039-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616232039
6608001915;"МУП ""ВОДОКАНАЛ""";32616228013;349-ЗК(ЭЛ)(СМП) Поставка проволоки и сеток;223-ФЗ;547013.00;Подача заявок;22.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616228013-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616228013
6608001915;"МУП ""ВОДОКАНАЛ""";32616227695;346-К(ЭЛ) Оказание консультационных услуг по совершенствованию системы менеджмента качества аккредитованной центральной лаборатории МУП «Водоканал»;223-ФЗ;3900000.00;Подача заявок;22.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616227695-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616227695
6608001915;"МУП ""ВОДОКАНАЛ""";32616227549;328-К(ЭЛ)(СМП) Выполнение работ по капитальному ремонту всасывающего трубопровода Д 1200 мм расположенного по адресу: ГСВ, ул. Водонасосная, 29;223-ФЗ;18882989.60;Подача заявок;22.07.2026;12.08.2026;https://www.rts-tender.ru/poisk/id/l32616227549-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616227549
6608001915;"МУП ""ВОДОКАНАЛ""";32616227498;308-К(ЭЛ)(СМП) Выполнение проектно-изыскательских работ по объекту: «Строительство канализационного коллектора от точки сброса промывных вод с Западной фильтровальной станции до системы магистральных коллекторов. Строительство канализационной насосной станции промывных вод (технологических сточных в;223-ФЗ;16188527.70;Подача заявок;22.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616227498-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616227498
6608001915;"МУП ""ВОДОКАНАЛ""";32616207747;338-К(ЭЛ)(СМП) Выполнение строительно-монтажных работ по объекту: «Строительство сетей водоотведения к многоквартирным жилым домам со встроенными нежилыми помещениями на 1 этаже (№ 1В-1Г по ПЗУ) по адресу: Свердловская обл., г. Екатеринбург, ул. Тенистая» (Заказчик: ООО «СЗ «Ком-Билдинг»);223-ФЗ;51394503.23;Подача заявок;15.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616207747-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616207747
7204205739;"ООО ""ТЭО""";32616256536;147/2026 Проведение технического обслуживания (ТО) дизель-генераторных установок (ДГУ);223-ФЗ;1255763.50;Прием заявок;31.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616256536-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616256536
7204205739;"ООО ""ТЭО""";32616254171;145/2026 Поставка хозяйственных товаров;223-ФЗ;1914686.90;Прием заявок;31.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616254171-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616254171
7204205739;"ООО ""ТЭО""";32616253707;148/2026 Поставка воды в г. Ишим;223-ФЗ;184971.43;Прием заявок;31.07.2026;07.08.2026;https://www.rts-tender.ru/poisk/id/l32616253707-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616253707
7204205739;"ООО ""ТЭО""";32616247581;146/2026 Поставка очистительной головки СС 5-3 2.0 высокого давления;223-ФЗ;840000.00;Прием заявок;29.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616247581-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616247581
7204205739;"ООО ""ТЭО""";32616198033;133/2026 Оказание услуг по финансовой аренде (лизинга) для нужд ООО «ТЭО» (Бульдозер гусеничный);223-ФЗ;14619469.81;Прием заявок;13.07.2026;14.08.2026;https://www.rts-tender.ru/poisk/id/l32616198033-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616198033
