inn;predpriyatie;region;tip_mashiny;sreda;sostoyanie;marki;data_fakta;chto_za_data;chem_dokazano;citata;ssylka_na_istochnik;istochnik;sayt;telefony_predpriyatiya;lyudej_tehnicheskih
2801091892;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМУРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""";;центробежная;воздух;планировал;;08.2018;когда планируют разместить закупку;план 2170255359 позиция 174, сумма 2 822 372,00 ₽;Турбокомпрессор (воздуходувка) (ЕБ);https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a85a9f09-75e9-4c21-9bdf-dbed9ff42740_a9504fc9-bf30-da59-818e-386ea7c94fa5&infoGuid=a85a9f09-75e9-4c21-9bdf-dbed9ff42740;план закупки 223-ФЗ, ЕИС;;;0
3329000842;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЦЕНТР АГРОХИМИЧЕСКОЙ СЛУЖБЫ ""ВЛАДИМИРСКИЙ""";;центробежная;воздух;планировал;АВ-07;03.2022;когда планируют разместить закупку;план 2210547634 позиция 5, сумма 66 900,00 ₽;Автономная воздуходувка с набором пробоотборников АВ-07;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=72ca1194-ca76-4537-bafc-d19834d94c1f_04c8f788-9810-4607-9cfa-a80c1a837f32&infoGuid=72ca1194-ca76-4537-bafc-d19834d94c1f;план закупки 223-ФЗ, ЕИС;;;0
3414504304;"ООО ""ЛУКОЙЛ-КГПЗ""";;центробежная;воздух;есть;К-401А;04.05.2018;дата заключения экспертизы;заключение ЭПБ № 39-ТУ-07202-2018;Техническое устройство – воздуходувка поз. К-401А заводской № 977344, применяемое на ОПО – площадка газоперерабатывающего завода, рег. № А39-03590-0001, II класс опасности, ООО «ЛУКОЙЛ-Коробковский газоперерабатывающий завод» 403805, Волгог;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-07202-2018;реестр заключений ЭПБ, monitor-pb.ru;;;0
3435900186;"АО ""ВТЗ""";;центробежная;воздух;есть;К-500-61-5,;29.08.2025;дата заключения экспертизы;заключение ЭПБ № 34-ТУ-19521-2025;техническое устройство: Компрессор центробежный К-500-61-5, зав. № 9127, инв. 140127, ККУ, ЭНЦ-2. ОПО – Установка воздухоразделительная Энергетического цеха № 2, рег. № А39-00790-0007, III класс опасности. АО «Волжский трубный завод», Волго;https://monitor-pb.ru/conclusion/34-%D0%A2%D0%A3-19521-2025;реестр заключений ЭПБ, monitor-pb.ru;;;0
3528191736;"АО ""ФосАгро-Череповец""";;центробежная;воздух и газ названы оба;есть;К 1290-121-1 | К15-41-1,;21.10.2015;дата заключения экспертизы;заключение ЭПБ № 28-ТУ-23877-2015;"Турбокомпрессорный агрегат технологического воздуха в составе компрессора К 1290-121-1 и приводной паровой турбины К15-41-1, поз. 402, цеха ""Аммиак-2"" АО ""ФосАгро-Череповец""";https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-23877-2015;реестр заключений ЭПБ, monitor-pb.ru;;;0
4218000951;"АО ""ЕВРАЗ ЗСМК""";;центробежная;воздух;есть;;30.11.2016;дата заключения экспертизы;заключение ЭПБ № 68-ТУ-22705-2016;техническое устройство: воздухопровод от турбокомпрессора станционный № 4;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-22705-2016;реестр заключений ЭПБ, monitor-pb.ru;;;0
4317002773;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГАЗСТРОЙ""";;центробежная;воздух;планировал;МТ 08-М1С-5,5;03.2016;когда планируют разместить закупку;план 2150150993 позиция 1, сумма 134 000,00 ₽;Воздуходувка МТ 08-М1С-5,5;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=5212f2ed-0fde-469e-aeff-fda0fbde79ad_93b25ae7-7716-4248-a5e2-1c495ca24387&infoGuid=5212f2ed-0fde-469e-aeff-fda0fbde79ad;план закупки 223-ФЗ, ЕИС;;;0
4823052555;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЛИПЕЦКИЙ ОБЛАСТНОЙ ВОДОКАНАЛ""";;центробежная;воздух;покупает;;10.08.2020 08:00;дата процедуры;процедура 32009374681;Поставка новой воздуходувки для очистных сооружений Комплекса «Лебедянский» ОГУП «Липецкоблводоканал»;https://www.roseltorg.ru/procedure/32009374681/1;Росэлторг;;;0
5004028359;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ТЕРЯЕВСКОЕ КОМПЛЕКСНОЕ БЛАГОУСТРОЙСТВО""";;центробежная;воздух;покупает;;03.09.2024;дата процедуры;процедура 5113795;поставка воздуходувки;https://zakupki.mos.ru/need/5113795;Портал поставщиков Москвы;;;0
5004028415;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА БЛАГОУСТРОЙСТВА ЯРОПОЛЕЦКОГО ПОСЕЛЕНИЯ""";;центробежная;воздух;покупает;;21.03.2023;дата процедуры;процедура 4450652;Поставка воздуходувки;https://zakupki.mos.ru/need/4450652;Портал поставщиков Москвы;;;0
5005000148;"АО ""Воскресенские минеральные удобрения""";;центробежная;воздух;есть;СК-48;13.02.2017;дата заключения экспертизы;заключение ЭПБ № 02-ТУ-02494-2017;"воздуходувка 1111-3725/04 поз.6.01А; насос масла поз.6.05А; насос масла поз.6.05В; главный сборник масла поз.6.06А; фильтр масла поз.6.07А; холодильник масла поз.6.08А; вспомогательный сборник масла поз.6.09А на установке СК-48 цеха контакт";https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-02494-2017;реестр заключений ЭПБ, monitor-pb.ru;;;0
5007088701;Муниципальное учреждение «Синьковское благоустройство»;;центробежная;воздух;покупает;;23.04.2024;дата процедуры;процедура 4965155;Поставка опрыскивателей (воздуходувка- распылитель);https://zakupki.mos.ru/need/4965155;Портал поставщиков Москвы;;;0
5007104537;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БЛАГОУСТРОЙСТВА КОСТИНСКОЕ """;;центробежная;воздух;покупает;;12.08.2022;дата процедуры;процедура 4154248;Поставка воздуходувки;https://zakupki.mos.ru/need/4154248;Портал поставщиков Москвы;;;0
5020032786;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КЛИНСКИЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ ДЕТ";;центробежная;воздух;покупает;;09.04.2020;дата процедуры;процедура 238318;Воздуходувка;https://zakupki.mos.ru/need/238318;Портал поставщиков Москвы;;;0
5022037187;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОЛОМЕНСКОЕ БЛАГОУСТРОЙСТВО""";;центробежная;воздух;покупает;;29.06.2023;дата процедуры;процедура 4570056;Закупка и поставка хозяйственного инвентаря и бензомоторной воздуходувки;https://zakupki.mos.ru/need/4570056;Портал поставщиков Москвы;;;0
5050037781;ФРЯНОВСКОЕ МП ЖКХ ГОЩ;;центробежная;воздух;покупает;;21.12.2022;дата процедуры;процедура 4342525;Поставка запасных частей для ремонта воздуходувки;https://zakupki.mos.ru/need/4342525;Портал поставщиков Москвы;;;0
5838000953;"федеральное государственное унитарное предприятие федеральный научно-производственный центр ""Производственное объединени";;центробежная;воздух;планировал;;07.2016;когда планируют разместить закупку;план 2150121371 позиция 941500007, сумма 749 300,00 ₽;Сертификация автоматизированной системы управления воздуходувками АСУВ-1;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=58630b62-b81a-0540-e100-80000a7c1050_5775c3ab-e13e-14c0-e100-80000a7c106e&infoGuid=58630b62-b81a-0540-e100-80000a7c1050;план закупки 223-ФЗ, ЕИС;;;0
6142025298;"ООО ТУ ""Шолоховское""";;центробежная;воздух;есть;ТВ-200-1,4-01.УЗ,;11.12.2017;дата заключения экспертизы;заключение ЭПБ № 29-ТУ-16865-2017;воздуходувка многоступенчатая ТВ-200-1,4-01.УЗ, зав.№ 537, поз.№ ТВ 2;https://monitor-pb.ru/conclusion/29-%D0%A2%D0%A3-16865-2017;реестр заключений ЭПБ, monitor-pb.ru;;;0
6450007198;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И ПРОЕКТНО-ТЕХНОЛОГИЧЕСКИЙ";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Поставка воздуходувки;https://www.tektorg.ru/44-fz/procedures/11670017;ТЭК-Торг;;;0
7116145470;Новомосковский хлор;;центробежная;воздух;покупает;ТВ-500;19.04.2012;дата процедуры;тендер 114669;Приобретение воздуходувки ТВ-500;https://www.tender.pro/api/tender/114669/view_public;Tender.pro;;;0
7206025040;"ООО ""СИБУР Тобольск""";;центробежная;воздух;есть;П-4/1, | АК-15П-1;22.06.2018;дата заключения экспертизы;заключение ЭПБ № 57-ТУ-22834-2018;Газовый турбокомпрессор поз. 16/4, типа 2ТГ-80-1,6М-В1, зав. № 226, ООО «СИБУР Тобольск», г. Тобольск, цех АКП, отделение П-4/1, установка разделения воздуха АК-15П-1 №2;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-22834-2018;реестр заключений ЭПБ, monitor-pb.ru;;;0
7456019804;НПО МеталлЭнерго;;центробежная;воздух;есть на площадке;;19.12.2025;дата процедуры;тендер 1129915;оборудование для стенда опрессовки( насосы, воздуходувка, манометры, фитинги) (id1129915);https://www.tender.pro/api/tender/1129915/view_public;Tender.pro;;;0
7701568891;"ООО ГРК ""Быстринское""";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Ключи и воздуходувка;ссылки нет: факт «организация есть в выгрузке площадки», отдельной страницы у него не существует;ТЭК-Торг;;;0
7707311363;"ЦЕНТРАЛЬНЫЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ""УПРАВЛЕНИЕ ВЕДОМСТВЕННОЙ ОХРАНЫ МИНИСТЕРСТВА ТР";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Поставка воздуходувки;https://www.tektorg.ru/market/procedures/18678214;ТЭК-Торг;;;0
7712040285;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Головки ударные, Кабелерез, Гайковерт, Держатель магнитный, Воздуходувка, Домкрат, Струбцина, Зубило;https://www.tektorg.ru/market/procedures/6688762;ТЭК-Торг;;;0
7718018279;"ОАО ""Мелькомбинат в Сокольниках""";;центробежная;воздух;есть;ТВ 250-1,12;18.06.2018;дата заключения экспертизы;заключение ЭПБ № 01-ТУ-06430-2018;Турбокомпрессор воздушный ТВ 250-1,12 зав. №413, тех. №145;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06430-2018;реестр заключений ЭПБ, monitor-pb.ru;;;0
7728171283;"ФГУП ""НПЦАП""";;центробежная;воздух;покупает;;2021-03-12;дата процедуры;процедура 32110076544;Воздуходувка;https://etpgpb.ru/procedures/etp/457605-vozduhoduvka/;ЭТП ГПБ;;;0
7729071411;Государственное унитарное предприятие города Москвы «Медицинский центр Управления делами Мэра и Правительства Москвы»;;центробежная;воздух;покупает;;27.12.2017;дата процедуры;процедура 0573200016317000229;"Поставка компрессора (воздуходувки) на КНС санатория ""Звенигород"" ГУП ""Медицинский центр""";https://zakupki.mos.ru/tender/1468328;Портал поставщиков Москвы;;;0
7730052050;"Федеральное государственное унитарное предприятие ""Государственный космический научно-производственный центр имени М.В.Х";;центробежная;воздух;планировал;НСВ-130 | ТУ 3468-001;01.2015;когда планируют разместить закупку;план 2140074368 позиция 762, сумма 588 402,00 ₽;НАГНЕТАТЕЛЬ ВОЗДУХА НСВ-130 ТУ 3468-001-12250201-2005;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=61e4c8ee-dd1c-4c8d-9905-5db0bcaa346c_5b33a809-a954-457c-85d7-4be120f71e21&infoGuid=61e4c8ee-dd1c-4c8d-9905-5db0bcaa346c;план закупки 223-ФЗ, ЕИС;;;0
7731263174;"АО ""ГПТП ""Гранит""";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Поставка воздуходувки;https://www.tektorg.ru/market/procedures/5264411;ТЭК-Торг;;;0
7734374725;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГИДРОСПЕЦГЕОЛОГИЯ""";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Прибор для измерения или контроля уровня жидкостей и газов, автономная воздуходувка;https://www.tektorg.ru/44-fz/procedures/19311562;ТЭК-Торг;;;0
8607100272;"ЛАНГЕПАССКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОВОДОКАНАЛ""";;центробежная;воздух;планировал;ТВ-80-1,6;04.2016;когда планируют разместить закупку;план 2160166176 позиция 8, сумма 670 000,00 ₽;Воздуходувка ТВ-80-1,6;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a0461e4a-21a8-481a-9e13-6329bb6b3f23_08952d88-e8ce-4122-abb4-aa0a86a86b59&infoGuid=a0461e4a-21a8-481a-9e13-6329bb6b3f23;план закупки 223-ФЗ, ЕИС;;;0
