nazvanie;inn;istochnik;prichina
Владислав Иванович Журихин;361600038283;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПУШКИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ ""ПУШКИНСКИЙ ""ВОДОКАНАЛ""";5038057693;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""БАЗАЛЬТ""";6432003698;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ООО ""КЭД""";5012103592;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""КЭД""";5012103592;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АО ""ОВЭ""";1902007292;Фабрикант;кандидатов 3, ИНН не подтверждён второй стороной
"АО""ЭЛЕКТРОАГРЕГАТ""";5401103595;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""ПУЛЬСАР""";7735144107;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""ПУЛЬСАР""";7735144107;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Харитонов Павел Михайлович;632149179760;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Харитонов Павел Михайлович;632149179760;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Харитонов Павел Михайлович;632149179760;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Харитонов Павел Михайлович;632149179760;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Харитонов Павел Михайлович;632149179760;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Харитонов Павел Михайлович;632149179760;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИЗОТОП""";7704674312;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ПАО ""ЗВЕЗДА""";1420041450;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ПАО ""ЗВЕЗДА""";1420041450;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ООО ""Управляющая юридическая компания""";2540263819;Фабрикант;юрлицо ликвидировано (LIQUIDATING)
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
ОАО Первоуральский новотрубный завод;6625037252;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Струк Евгений Даниилович;421200274903;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Общество с ограниченной ответственностью ""Интер-Лайн""";7709969824;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКИЙ ЗАВОД - СУДОСТРОЕНИЕ""";7801560631;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Открытое Акционерное Общество ""УАЗ""";4825028950;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
ОАО ПНТЗ;6625037252;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ОАО ""Заволжский моторный завод""";5248004137;Фабрикант;кандидатов 2, ИНН не подтверждён второй стороной
"Акционерное Общество ""Сибирский антрацит""";5443103452;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ОАО ""Заволжский моторный завод""";5248004137;Фабрикант;кандидатов 2, ИНН не подтверждён второй стороной
"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""";5406238317;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
АО Аккую Нуклеар;9909341290;Фабрикант;кандидатов 2, ИНН не подтверждён второй стороной
АО Аккую Нуклеар;9909341290;Фабрикант;кандидатов 2, ИНН не подтверждён второй стороной
"Товарищество с ограниченной ответственностью ""SVETOCH""";2301011391;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Товарищество с ограниченной ответственностью ""SVETOCH""";2301011391;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ПАО ""ИРКУТСКЭНЕРГО""";3808038191;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ПАО ""ИРКУТСКЭНЕРГО""";3808038191;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АО ""ОТЭК""";5003117888;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АО ""ОТЭК""";5003117888;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Телегина Светлана;771371063003;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Телегина Светлана;771371063003;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Акционерное общество ""Сибирский энергетический научно-технический центр""";5407103263;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АСЭ""";5260214123;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ОАО ""СИБЭКО""";5404000118;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АСЭ""";5260214123;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ОАО ""ПРиС""";5404135362;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ЗАО ""Сибирский ЭНТЦ""";5407103263;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ООО ""КМЗ""";9721252900;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""КМЗ""";9721252900;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""ПРИРОДНЫЕ РЕСУРСЫ""";3128047181;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Куприянов В. В.;7721657243;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Лебедев Юрий Андреевич;280117088758;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Куприянов Вячеслав Вячеславович;781907963238;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Василий Анатольевич Батраков;583400035417;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Василий Анатольевич Батраков;583400035417;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Хвошнянский Олег Семенович;744802015959;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Василий Анатольевич Батраков;583400035417;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Общество с ограниченной ответственностью ""СпецТорг""";9705233522;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
АО «ВНИПИпромтехнологии»;7724683379;Фабрикант;кандидатов 3, ИНН не подтверждён второй стороной
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
АО «ВНИПИпромтехнологии»;7724683379;Фабрикант;кандидатов 3, ИНН не подтверждён второй стороной
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКИЙ ЗАВОД - СУДОСТРОЕНИЕ""";7801560631;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Лариса Владимировна Богачева;666100352756;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
ОАО «СХК»;6603009364;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Открытое акционерное общество ""СГ-транс""";4707021490;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АО ""Завод ""Киров-Энергомаш""";7805060301;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АО ""Завод ""Киров-Энергомаш""";7805060301;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АО ""Завод ""Киров-Энергомаш""";7805060301;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""ССК ""ЗВЕЗДА""";2503032517;Фабрикант;кандидатов 2, ИНН не подтверждён второй стороной
Наталья Викторовна Гринева;641100983083;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕДУЩИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ХИМИЧЕСКОЙ ТЕХНОЛОГИИ""";7724675770;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Гринева Наталья Викторовна;641100983083;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Наталья Викторовна Гринева;641100983083;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Наталья Викторовна Гринева;641100983083;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Наталья Викторовна Гринева;641100983083;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Наталья Викторовна Гринева;641100983083;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АСЭ""";5260214123;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Группа «АЛРОСА»;6731040514;Фабрикант;кандидатов 3, ИНН не подтверждён второй стороной
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКИЙ ЗАВОД - СУДОСТРОЕНИЕ""";7801560631;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКИЙ ЗАВОД - СУДОСТРОЕНИЕ""";7801560631;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ФКП ""Бийский Олеумный Завод""";2204001528;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Московская печатная фабрика Гознака;7725038251;Фабрикант;юрлицо ликвидировано (LIQUIDATING)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХЭНЕРГОСТРОЙ""";1831158616;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ОАО ""Заволжский моторный завод""";5248004137;Фабрикант;кандидатов 2, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""Энергостройснабкомплект-Инвест""";5006009697;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Норильский комбинат;2457009990;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ленгаз;4705077384;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Подземгаз;6451015089;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Норильский комбинат;2457009990;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Кузнецкий цементный завод;4217055972;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Электроцинк;6658498530;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Электроцинк;6658498530;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Электроцинк;6658498530;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Главкислород;3426013082;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
ГПЗ N 9;3525371152;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Беловский цинковый завод;4202002329;референс-лист НЗЛ;кандидатов 2, ИНН не подтверждён второй стороной
Бежицкий сталелитейный завод;3232039998;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Омский завод синтетического каучука;5501075895;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Североникель;5107000027;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Карабашский завод;7413023203;референс-лист НЗЛ;кандидатов 3, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Омский завод синтетического каучука;5501075895;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Свердловский МЗ;5903038903;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Норильский комбинат;2457009990;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
1-ГПЗ;2014043978;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Омский завод синтетического каучука;5501075895;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Волжский ХК;3435060480;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Карабашский завод;7413023203;референс-лист НЗЛ;кандидатов 3, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Волжский ХК;3435060480;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Астраханский комбинат;3017001992;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Оргсинтез;5259008239;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Волжский ХК;3435060480;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Иркутский ХК;7202125037;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Электроцинк;6658498530;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новокуйбышевский НХК;6330000345;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный треугольник;7839109636;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Омский завод синтетического каучука;5501075895;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Рязанский литейный завод;6226008468;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Центролит;3664242034;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Норильский комбинат;2457009990;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Красный треугольник;7839109636;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Тюментрансгаз;7730564570;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Омский завод синтетического каучука;5501075895;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Тюментрансгаз;7730564570;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ленметрострой;7841085365;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Орловский завод;6820041799;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Качканарский ГОК;6674128174;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный треугольник;7839109636;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Качканарский ГОК;6674128174;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Качканарский ГОК;6674128174;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Качканарский ГОК;6674128174;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Омский завод синтетического каучука;5501075895;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Северный ГОК;310206669079;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Оргсинтез;5259008239;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Кузнецкий МК;9702078156;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
Оргсинтез;5259008239;референс-лист НЗЛ;кандидатов 5, ИНН не подтверждён второй стороной
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Качканарский ГОК;6674128174;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Красный Октябрь МЗ;3442122498;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Новолипецкий МК;5256135912;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Ангарскнефтеоргсинтез;3801014145;референс-лист НЗЛ;юрлицо ликвидировано (LIQUIDATED)
Салаватнефтеоргсинтез;0266013720;референс-лист НЗЛ;кандидатов 4, ИНН не подтверждён второй стороной
