marka;forma;vstrech;innov;tip;chem_dobyta;primer;ssylka
В-6,3-2-УХЛ1;К-Ц,Ц-Ц-КЦ;21;1;ресивер;провайдер;техническое устройство «Воздухосборник В-6,3-2-УХЛ1 зав. №2505, рег. №49-21-4-15536», применяемое на опасном производственном объекте «Площадка воздухосборников Оренбургской дистанции сигнализации, це;https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-931692-2026
ВА160М2У2,5;КЦКЦКЦ,Ц;21;1;не машина;провайдер;"Электродвигатель взрывозащищенного исполнения тип ВА160М2У2,5 зав. № 110602806, техн. № ВОД-1; ДКС Ямсовейская, цех №1, ГПА-1, инв. № 003633 Площадка промысловой компрессорной станции Ямсовейского мес";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05408-2022
4HR3KN-200/210-5-249 WL;ЦЛЦЛ-Ц/Ц-Ц-Ц Л;18;1;компрессор;регулярка;Компрессор поршневой 4HR3KN-200/210-5-249 WLK, зав. № 51763, техн. № КУ-2 (в составе компрессорной установки 4HR3KN-200/210-5-249 WLK);https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-507277-2025
4HR3KN-200-210-5-249 WL;ЦЛЦЛ-Ц-Ц-Ц-Ц Л;18;1;компрессор;регулярка;техническое устройство, применяемое на опасном производственном объекте Техническое устройство: Компрессор поршневой 4HR3KN-200-210-5-249 WLK Заводской №: 51793 Опасный производственный объект (ОПО): ;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-39490-2024
2HB 2K 160/100 S1;ЦЛ ЦЛ Ц/Ц ЛЦ;16;1;компрессор;провайдер+регулярка;компрессор зав. №2/1527/941/11, поз. № КУ-2 (в составе компрессорной установки типа 2HB 2K 160/100 S1), эксплуатируемый на АГНКС-1 г. Острогожск филиала ООО «Газпром газомоторное топливо» в г. Москва;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-22504-2019
В2g-25/6.3z;КЦЛ-Ц/Ц.ЦЛ;16;1;компрессор;провайдер+регулярка;Компрессор типа В2g-25/6.3z., поз. ВI, зав.№5428 Производство полиэтилена, объект 202-205;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12922-2015
ТКР/Д;К/К;15;1;компрессор;провайдер+регулярка;Турбокомпрессор «Дана» тип ТКР/Д, технологический №205-3, заводской №805193;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-17777-2018
А-8—1;К-Ц—Ц;15;1;не машина;провайдер;фильтр (кубовой жидкости) поз. 1-29, рег. № ЧХП-3262, зав. № 3267 воздухоразделительной установки А-8—1 зав. № 16, инв. № 62590 в корп. 851 цеха № 23 ПАО «Химпром» г. Новочебоксарск;https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-05733-2015
ГСС1-1-10,0-25У-001;КЦ-Ц-Ц,Ц-ЦК-Ц;14;1;компрессорная станция;провайдер+регулярка;«Автомобильная газонаполнительная компрессорная станция №1 г. Смоленск» (рег. № А19-09686-0060, IV класс опасности) Влагомаслоотделитель, зав. № 045, инв. № 000007519 применяемое на опасном производст;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-01952-2022
Буркхардт В;К К;14;1;не машина;провайдер+регулярка;Гаситель колебаний 2 ст. всаса компрессора «Буркхардт В» зав. № 4316, тех. № 3/20.8.2, рег. № 412ТН Местонахождение объекта: Производство полиэтилена 202-205. Отделение компрессии (корп. 203);https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-48576-2019
Дана TKP-D;К Л-Л;14;1;компрессор;провайдер+регулярка;техническое устройство: Компрессор центробежный горизонтальный Дана TKP-D (зав.№ 805.204, техн.№ 205-IV), эксплуатируемый на ПАО «Казаньоргсинтез», завод Этилен, цех 0201-0205;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-283483-2022
АИМ90La2;КЦЛЦ;14;1;не машина;провайдер;«Площадка компрессорной станции Шекснинского ЛПУ МГ» рег. № А25-00261-0641, класс опасности ОПО II - Взрывозащищённый электродвигатель «АИМ90La2», зав. №861, ст. №203, место установки филиал ООО «Газп;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-15848-2019
3-1.6-1000-1.6-1-1-1;Ц-Ц.Ц-Ц-Ц.Ц-Ц-Ц-Ц;12;1;компрессорная станция;провайдер+регулярка;«Автомобильная газонаполнительная компрессорная станция №2 г. Белгород» (рег. № А19-09686-0103, IV класс опасности) Баллон для воздуха уменьшенной длины (Адсорбер блока осушки) 320-25-л ГОСТ 9731-79, ;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-01948-2022
Буркхардт А;К К;12;1;не машина;провайдер+регулярка;"""Гаситель колебаний 2 ступени на всасе компрессора """"Буркхардт А"""", тех. № 3/20.8.1, зав. № 4315, рег. № 635ТН, местонахождение: производство полиэтилена, объект 202-205, отделение компрессии (корпус ";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-77801-2025
F8H230105-LI;ЛЦЛЦ-Л;11;1;компрессор;регулярка;Заключение № КН-1402-24 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте Компрессор поршневой II каскада F8H230105-LI (зав.№27334, техн.№ ;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-31836-2024
2НВ2К-160/100 S1;ЦКЦК-Ц/Ц ЛЦ;10;1;компрессор;провайдер+регулярка;компрессорную установку 2НВ2К-160/100 S1, станц.№ GK-1/2, зав.№ 1527/621/5 инв.№ 000002698, применяемую на опасном производственном объекте «Автомобильная газонаполнительная компрессорная станция №1 г;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-13596-2022
СВОК 4А-1,2/10-250;К ЦК-Ц,Ц/Ц-Ц;10;1;компрессорная станция;провайдер+регулярка;техническое устройство - Система охлаждения СВОК 4А-1,2/10-250 КУ-2 зав. №б/н, инв.№000003374, ООО «Газпром газомоторное топливо», филиал «Южный». ОПО Автомобильная газонаполнительная компрессорная ст;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-16697-2021
10ГК2-1,5/17,4;ЦКЦ-Ц,Ц/Ц,Ц;10;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности на техническое устройство на опасном производственном объекте: Компрессор 10ГК2-1,5/17,4, поз. №6, зав. №117, ГКУ, ООО «Шкаповское ГПП»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-55647-2022
VHRG о442-4S;Л КЦ-ЦЛ;10;1;воздуходувка;провайдер+регулярка;Воздуходувка типа VHRG о442-4S, зав. №559004, тех. №206. 5/48, инв. № 4349 ПАО «Уфаоргсинтез», отделение 205, объект 202-205 Производство полиэтилена ПАО «Уфаоргсинтез»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-04796-2019
ААж-0,6М1;К-Ц,ЦКЦ;10;1;ВРУ;провайдер+регулярка;техническое устройство- воздухоразделительная установка ААж-0,6М1 №1, применяемое на опасном производственном объекте: «Площадка воздухоразделительной установки» (рег.№ А68-02398-0003, класс опасности;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-00720-2020
В-Г-0,33-14;К-К-Ц,Ц-Ц;10;1;ресивер;провайдер+регулярка;Воздухосборник В-Г-0,33-14 зав.№ 498285, Воздухосборник В-Г-0,33-14 зав.№ 911408, Воздухосборник В-Г-0,33-14 зав.№ 911409, Воздухосборник В-Г-0,33-14 зав.№ 911410, Воздухосборник В-Г-0,33-14 зав.№ 911;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-09970-2019
В-6,3-УХЛ-1;К-Ц,Ц-К-Ц;10;1;ресивер;провайдер+регулярка;воздухосборник В-6,3-УХЛ-1,заводской № 0006 к-т 35, учётный № С-10338, установленного на опасном производственном объекте «Площадка воздухосборников на станции Амур»,;https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-00977-2019
ВА180М12УХЛ1;КЦКЦКЦ;10;1;не машина;провайдер;«Площадка компрессорной станции Шекснинского ЛПУ МГ» рег. № А25-00261-0641, класс опасности ОПО II - Взрывозащищённый электродвигатель «ВА180М12УХЛ1» зав. №080203767, ст. №114-6М, место установки фили;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-15492-2019
S-250/1100WA GE;Л-Ц/ЦЛ Л;9;1;компрессор;регулярка;техническое устройство: Газовая компрессорная установка EGS-S-250/1100WA GEA Grasso;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-671686-2026
RHE 4U315 RG;Л ЦЛЦ Л;9;1;воздуходувка;регулярка;технические устройства – газодувки центробежные типа RHE 4U315 RGX, GL360 (поз. P18AS, P18B, P18BS), установки полимеризации пропилена (101), установленные на опасном производственном объекте, площадк;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-18135-2016
В 6,3-09Г2С-УХЛ1;К Ц,Ц-ЦКЦК-КЦ;9;1;ресивер;провайдер;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройства «Воздухосборник В 6,3-09Г2С-УХЛ1, зав. № 72, рег. № 140.12/А», применяемое на опасном производственном объекте «Площадка возду;https://monitor-pb.ru/conclusion/29-%D0%A2%D0%A3-18508-2024
GA-45P A;Л-ЦЛ Л;8;1;компрессор;регулярка;Компрессор воздушный ATLAS COPCO GA-45P A, зав.№ API532139;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-44127-2025
NO.6 SMP (O;Л.Ц Л (Л;8;1;воздуходувка;провайдер+регулярка;Газодувка типа NO.6 SMP (O) поз. № 1TC-301А, зав. № RJ18589-01 ¼ (Площадка производства АО «ПОЛИЭФ», корпус 101);https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-77261-2022
NO. 5 ½ SMP (O;Л. Ц ½ Л (Л;8;1;воздуходувка;провайдер+регулярка;техническое устройство - Газодувка типа NO. 5 ½ SMP (O) техн. № 1РC-401А, зав. № RJ18589-02 1/4 (Площадка производства АО «ПОЛИЭФ», корпус 103);https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01834-2022
BD-1400, ОВ;Л-Ц, К;8;1;осушитель;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ №1396.1124 на техническое устройство, применяемое на опасном производственном объекте Осушитель сжатого воздуха адсорбционный левый BD-1400, ОВ-2, Б-1, ;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02332-2025
В2g 25/6.3Z;КЦЛ Ц/Ц.ЦЛ;8;1;компрессор;провайдер+регулярка;"Поршневой компрессор марки В2g 25/6.3Z, техн. № ЕI 3/4.9, зав. № 5434, инв. №4318 (Площадка ПАО ""Уфаоргсинтез"", Производство полиэтилена, объект 202-205, отделение компрессии (корп.203))";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-77744-2022
SNH811 В11;ЛЦ КЦ;8;1;воздуходувка;регулярка;"Воздуходувка марки SNH811 В11D, техн. № 150В-1/2, зав. № МА15170285, инвентарный № 68012 (Площадка ПАО ""Уфаоргсинтез"", Производство полиэтилена, объект 500-504, отделение 502)";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-48761-2022
50-32-1М;Ц-Ц-ЦК;8;1;компрессор;провайдер+регулярка;ЗАКЛЮЧЕНИЕ № 355-03-НПО/25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Компрессор (нагнетатель) тип 50-32-1М, зав. № 10639, техн. № В-404А», применяемое на опасном производственном;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-391002-2025
GMb 16.f13 HV;Л Ц.ЛЦ Л;8;1;воздуходувка;провайдер+регулярка;Заключение №0288/18-2024 экспертизы промышленной безопасности на техническое устройство: Бустер механический (вакуумная-ротационная газодувка марки GMb 16.f13 HV (зав. №61-206508-00 (870850), техн. №В;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-41169-2025
Дана ТКР-D;К К-Л;8;1;компрессор;провайдер+регулярка;техническое устройство: Компрессор центробежный марки «Дана ТКР-D» зав.№ 805200 тех.№ 205-5;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-17271-2021
553-В9;Ц-КЦ;8;1;компрессор;провайдер+регулярка;«Центробежный компрессор КНД тип 553-В9 (компрессор низкого давления компрессорной установки К-601), технологический индекс К-601 КНД, заводской № 553-9-3281, цех № 01А (1 агрегат)»;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-11401-2017
Р44,4-39,5;КЦ,Ц-Ц,Ц;8;1;компрессор;регулярка;техническое устройство: турбокомпрессор «Анна» ТК-Р44,4-39,5 поз.4 зав. №805/762;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07626-2017
АПТ-М8;К-КЦ;8;1;ВРУ;провайдер+регулярка;"мембранную воздухоразделительную азотную установку АПТ-М8 зав. №32, установленную на площадке компрессорной станции КС №1, принадлежащая УВСИНГ ОАО ""Сургутнефтегаз""";https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-47986-2017
VT-55/62 TW10;Л-Ц/Ц ЛЦ;8;1;генератор азота;провайдер+регулярка;Криогенный поршневой насос марки VT-55/62 TW10, тех. №Р-702D, зав. № 19498 азотной станции опасного производственного объекта «Площадка цеха тепловодоснабжения и канализации»;https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-02664-2024
"5""х8"" RBS";"Ц""КЦ"" Л";8;1;воздуходувка;провайдер;"Воздуходувка марки 5&quot;х8&quot; RBS, техн. № 160В-2, зав. № 9922, инвентарный № 7519 (Площадка ПАО &quot;Уфаоргсинтез&quot;, Производство полиэтилена, объект 500-504, отделение 503)";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-38789-2022
В-10-09Г2С-УХЛ1;К-Ц-ЦКЦК-КЦ;8;1;ресивер;провайдер;Воздухосборник В-10-09Г2С-УХЛ1, заводской номер 0010-40, учетный номер 8295, применяемый на опасном производственном объекте «Площадка воздухосборников участка текущего отцепочного ремонта станции Сух;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-524473-2025
ДЭН «ШАХТЕР» 2145ШМ;К «К» ЦК;8;1;компрессор;провайдер;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ НА ТЕХНИЧЕСКОЕ УСТРОЙСТВО: УСТАНОВКА КОМПРЕССОРНАЯ ВИНТОВАЯ ДЭН «ШАХТЕР» 2145ШМ, С ЗАВОДСКИМ № 322, ПРИМЕНЯЕМАЯ НА ОПАСНОМ ПРОИЗВОДСТВЕННОМ ОБЪЕКТЕ– ШАХ;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-13504-2024
2ВУ1,5-2,5-26М1;ЦКЦ,Ц-Ц,Ц-ЦКЦ;7;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности № БНД/У/8/298/22/ОГМ.3364.2024 на техническое устройство: Воздушный поршневой компрессор 2ВУ1,5-2,5-26М1, зав.№ 601407, - применяемое на опасном произво;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12109-2025
F2S-20/53;ЛЦЛ-Ц/Ц;7;1;компрессор;регулярка;"""Поршневой компрессор марки F2S-20/53, технологический индекс Е 3/2.5, зав. № 5451, применяется на площадке ПАО «Уфаоргсинтез», зарегистрированной в государственном реестре за № А41-00050-0001 как ОПО";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-102044-2023
2P 21 UV;ЦЛ Ц Л;7;1;ресивер;регулярка;Ресивер воздуха КИП, поз. 2P 21 UV 012, зав. № 12242/4, рег. № 256,применяемое на установке У-220 (2Р), филиал Астраханский ГПЗ ООО «Газпром переработка» (опасный производственный объект «Площадка про;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-21052-2022
GMа 11.3 HV;ЛК Ц.Ц Л;7;1;воздуходувка;провайдер+регулярка;техническое устройство, применяемое на опасном производственном объекте: Бустер механический (Вакуумная-ротационная газодувка GMа 11.3 HV зав. № 61-206508-03 (870867), техн. № В-553), эксплуатируемый ;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-282194-2022
Tg2S3K 200/380;ЛЦЛЦЛ Ц/Ц;7;1;компрессор;провайдер+регулярка;Поршневой компрессор Tg2S3K 200/380, тех.№08/01-1, зав.№770801/4;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-19960-2017
6МК-20/12,5-М2;ЦК-Ц/Ц,Ц-КЦ;7;1;компрессор;регулярка;Компрессор мембранный 1,6МК-20/12,5-М2 поз. № М-723/5;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-35380-2018
В-2,7 - 1,0-3-УХЛ1;К-Ц,Ц - Ц,Ц-Ц-КЦ;7;1;ресивер;провайдер;техническое устройство «Воздухосборник В-2,7 - 1,0-3-УХЛ1, зав. №11108», применяемое на опасном производственном объекте Восточно-Сибирского филиала ООО «РН-Бурение»;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-17378-2021
АИМ-А63А2;К-КЦКЦ;7;1;не машина;провайдер;«Площадка компрессорной станции Шекснинского ЛПУ МГ» рег. № А25-00261-0641, класс опасности ОПО II - Взрывозащищённый электродвигатель «АИМ-А63А2», зав. №18359, ст. №214, место установки филиал ООО «Г;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-15827-2019
GRASSO ZB-5B;Л Л-ЦЛ;6;1;узел: ресивер;провайдер+регулярка;"трубопровод жидкого аммиака конденсатор-линейный ресивер-отделитель жидкости (низкого давления) в составе AXY YORK SAB- 85 Холодильного отделения ОАО ""ПК Балтика- ""Балтика Челябинск""";https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-16618-2014
4HR 3KN-200/210-5-249 WL;ЦЛ ЦЛ-Ц/Ц-Ц-Ц Л;6;1;компрессор;регулярка;техническое устройство – Компрессор поршневой, четырехступенчатый, 4HR 3KN-200/210-5-249 WLK, зав.№42258, применяемое на опасном производственном объекте «Автомобильная газонаполнительная компрессорна;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-55280-2025
А19-09686-0182. К;КЦ-Ц-Ц. К;6;1;компрессорная станция;регулярка;Техническое устройство: Электродвигатель ВА 80 А4 У2 зав.№ 28374. Опасный производственный объект (ОПО): Автомобильная газонаполнительная компрессорная станция №1 г. Полевской. Регистрационный номер О;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-03477-2025
2HB2K160/100S1;ЦЛЦЛЦ/ЦЛЦ;6;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ №КН-0182-22 экспертизы промышленной безопасности технического устройства, применяемого на опасном производственном объекте: Компрессорная установка (компрессор поршневой) 2HB2K160/100S1 (за;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-264632-2022
4-320-25Л;Ц-Ц-ЦК;6;1;компрессорная станция;провайдер+регулярка;баллон для воздуха уменьшенной длины 4-320-25Л, зав.№ 1577, рег. № 90179, инв. № А000887, эксплуатируемый на ОПО: автомобильная газонаполнительная компрессорная станция №1 г. Тула, рег.№ А19-09686-009;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09411-2020
4HR 3KN-200/210-5-249;ЦЛ ЦЛ-Ц/Ц-Ц-Ц;6;1;компрессор;регулярка;"техническое устройство ""Компрессорная установка с поршневым компрессором типа 4HR 3KN-200/210-5-249-WLK, зав. № 42258, применяемая на опасном производственном объекте «Автомобильная газонаполнительная";https://monitor-pb.ru/conclusion/60-%D0%A2%D0%A3-23732-2019
МК8М/;КЦК/;6;1;компрессор;регулярка;Газомотокомпрессор МК8М/(15-30)-(40-50), тех. № ГМК8, зав. № 22;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-01097-2020
SVA-57E-26F;Л-ЦЛ-ЦЛ;6;1;компрессор;регулярка;амиачный винтовой компрессор SVA-57E-26F зав. № 108983 рег. № 7;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-20745-2021
РВ 0,9-1,0 V;К Ц,Ц-Ц,Ц Л;6;1;ресивер;регулярка;техническое устройство «Ресивер РВ 0,9-1,0 V=0,9 м³, зав. №1312», применяемое на опасном производственном объекте ООО «РН-Бурение»;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-80937-2023
2ВМ2,5-12/9 УХ;ЦКЦ,Ц-Ц/Ц К;6;1;компрессор;регулярка;"Компрессор воздушный 2ВМ2,5-12/9 УХЛ4Э (3 ед.); Электронасосы центробежные консольные моноблочные типа КМ80-65-160ас (2 ед.); инв. № 105520; техн. №№ ВК-1, ВК-2, ВК-3, Н-2, Н-3; зав. №№ 4563, 5213, 54";https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-883225-2026
АУ-45-II;К-Ц-Л;6;1;компрессор;регулярка;Заключение экспертизы технического устройства: Поршневой компрессор типа АК-АУ-45-II, поз. 33-2, зав.№6936,корпус 3631, цех № 40, производство «Каустик», АО «Башкирская содовая компания»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-33104-2023
C2R1.38;ЛЦЛЦ.Ц;6;1;компрессор;регулярка;"""Поршневой компрессор марки Burchardt C2R1.38, технологический индекс 141C-1, зав. №27300, инв. №4142, местонахождение: производство полиэтилена, Объект 500-504, Отделение компрессии (501), эксплуатир";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-09985-2025
UNLINE 92-0,55/1-09;Л Ц-Ц,Ц/Ц-Ц;6;1;воздуходувка;регулярка;на техническое устройство воздуходувка марки UNLINE 92-0,55/1-09, поз. 3У151К02А, зав. No4007А1 (установка 3У-151, филиал Астраханский ГПЗ ООО «Газпром переработка» опасный производственный объект «Пл;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-351925-2025
ESN 200-8.5 EA;Л Ц-Ц.Ц Л;6;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ НА ТЕХНИЧЕСКОЕ УСТРОЙСТВО:КОМПРЕССОР ВИНТОВОЙ GARDNER DENVER ESN 200-8.5 EANA, С ЗАВОДСКИМ № F018493, ПРИМЕНЯЕМЫЙ НА ОПАСНОМ ПРОИЗВОДСТВЕННОМ ОБЪЕКТЕ - ;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-00729-2025
09Г2С-ХЛ;ЦКЦК-К;6;1;ресивер;регулярка;Ресивер 25-09Г2С-ХЛ, зав.№43054-3, рег.№С-1-073, КЦДНГ-4;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-27261-2023
ФИ8.1, ФИ8;КЦ.Ц, КЦ;6;1;узел: осушитель;регулярка;Фильтры-осушители ФИ8.1, ФИ8.2, зав. №№ 1330, 1340 Автоматической газораспределительной станции «Энергия-1»;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-27855-2025
CSH9583-210Y-70S;ЛЦ-ЦЛ-ЦЛ;6;1;компрессор;регулярка;Винтовой компрессор марки CSH9583-210Y-70S, поз. РК-24701В-К02, зав.№1080900851 (установка экструзии, фасовки и отгрузки, производство полипропилена Инновин, ООО «ЗапСибНефтехим»);https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-615633-2026
50-32-1м;Ц-Ц-ЦК;6;1;воздуходувка;провайдер+регулярка;Нагнетатель центробежный 50-32-1м (зав.№10635, техн.№ В-404C);https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-279935-2022
А3 S1;КЦ ЛЦ;6;1;компрессор;регулярка;"Поршневой компрессор типа А3 S1 K125/210 техн. № 1, зав. № 21415012/19 ,(10.1спец.);";https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08332-2016
1001-J;Ц-Л;6;1;компрессор;провайдер+регулярка;"на аммиачный центробежный компрессор фирмы ""MYCOM"" модель 1001-J тип 42Б поз. 12Б, зав. № 1728 цеха транспортировки аммиака КОАО ""Азот""";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-00242-2014
